Saleyard,Report Date
Powranna,30/07/2024
Powranna,23/07/2024
Powranna,16/07/2024
Powranna,09/07/2024
Powranna,02/07/2024
Powranna,25/06/2024
Powranna,18/06/2024
Powranna,11/06/2024
Powranna,04/06/2024
Powranna,28/05/2024
Powranna,21/05/2024
Powranna,14/05/2024
Powranna,07/05/2024
Powranna,30/04/2024
Powranna,23/04/2024
Powranna,16/04/2024
Powranna,09/04/2024
Powranna,02/04/2024
Powranna,26/03/2024
Powranna,19/03/2024
Powranna,12/03/2024
Powranna,05/03/2024
Powranna,27/02/2024
Powranna,20/02/2024
Powranna,13/02/2024
Powranna,06/02/2024
Powranna,30/01/2024
Powranna,23/01/2024
Powranna,16/01/2024
Powranna,09/01/2024
Roma Store,15/04/2025
Roma Store,08/04/2025
Roma Store,25/03/2025
Roma Store,18/03/2025
Roma Store,11/03/2025
Roma Store,04/03/2025
Roma Store,25/02/2025
Roma Store,18/02/2025
Roma Store,11/02/2025
SA Livestock Exchange,15/04/2025
SA Livestock Exchange,01/04/2025
SA Livestock Exchange,25/03/2025
SA Livestock Exchange,18/03/2025
SA Livestock Exchange,11/03/2025
SA Livestock Exchange,04/03/2025
SA Livestock Exchange,18/02/2025
SA Livestock Exchange,11/02/2025
SA Livestock Exchange,04/02/2025
SA Livestock Exchange,28/01/2025
SA Livestock Exchange,21/01/2025
SA Livestock Exchange,14/01/2025
SA Livestock Exchange,07/01/2025
SA Livestock Exchange,17/12/2024
SA Livestock Exchange,10/12/2024
SA Livestock Exchange,03/12/2024
SA Livestock Exchange,19/11/2024
SA Livestock Exchange,12/11/2024
SA Livestock Exchange,05/11/2024
SA Livestock Exchange,29/10/2024
SA Livestock Exchange,22/10/2024
SA Livestock Exchange,15/10/2024
SA Livestock Exchange,08/10/2024
SA Livestock Exchange,01/10/2024
SA Livestock Exchange,24/09/2024
SA Livestock Exchange,17/09/2024
SA Livestock Exchange,10/09/2024
SA Livestock Exchange,27/08/2024
SA Livestock Exchange,13/08/2024
SA Livestock Exchange,06/08/2024
SA Livestock Exchange,30/07/2024
SA Livestock Exchange,16/07/2024
SA Livestock Exchange,09/07/2024
SA Livestock Exchange,25/06/2024
SA Livestock Exchange,18/06/2024
SA Livestock Exchange,11/06/2024
SA Livestock Exchange,04/06/2024
SA Livestock Exchange,28/05/2024
SA Livestock Exchange,21/05/2024
SA Livestock Exchange,14/05/2024
SA Livestock Exchange,07/05/2024
SA Livestock Exchange,30/04/2024
SA Livestock Exchange,23/04/2024
SA Livestock Exchange,09/04/2024
SA Livestock Exchange,19/03/2024
SA Livestock Exchange,12/03/2024
SA Livestock Exchange,05/03/2024
SA Livestock Exchange,27/02/2024
SA Livestock Exchange,20/02/2024
SA Livestock Exchange,13/02/2024
SA Livestock Exchange,06/02/2024
SA Livestock Exchange,30/01/2024
SA Livestock Exchange,23/01/2024
SA Livestock Exchange,16/01/2024
Scone,11/02/2025
Scone,04/02/2025
Scone,28/01/2025
SELX Yass,06/02/2025
SELX Yass,30/01/2025
SELX Yass,23/01/2025
SELX Yass,16/01/2025
SELX Yass,09/01/2025
SELX Yass,19/12/2024
SELX Yass,12/12/2024
SELX Yass,05/12/2024
SELX Yass,28/11/2024
SELX Yass,21/11/2024
Shepparton,11/02/2025
Shepparton,04/02/2025
Shepparton,28/01/2025
Shepparton,21/01/2025
Shepparton,14/01/2025
Shepparton,07/01/2025
Shepparton,10/12/2024
Shepparton,03/12/2024
Shepparton,26/11/2024
Shepparton,19/11/2024
Shepparton,12/11/2024
Shepparton,05/11/2024
Shepparton,29/10/2024
Shepparton,22/10/2024
Shepparton,15/10/2024
Shepparton,08/10/2024
Shepparton,01/10/2024
Toowoomba,25/03/2024
Toowoomba,18/03/2024
Toowoomba,11/03/2024
Toowoomba,04/03/2024
Toowoomba,26/02/2024
Toowoomba,19/02/2024
Toowoomba,12/02/2024
Toowoomba,05/02/2024
TRLX Tamworth,10/02/2025
TRLX Tamworth,03/02/2025
TRLX Tamworth,20/01/2025
TRLX Tamworth,13/01/2025
TRLX Tamworth,06/01/2025
TRLX Tamworth,16/12/2024
TRLX Tamworth,09/12/2024
TRLX Tamworth,02/12/2024
TRLX Tamworth,18/11/2024
TRLX Tamworth,11/11/2024
TRLX Tamworth,04/11/2024
TRLX Tamworth,28/10/2024
TRLX Tamworth,21/10/2024
TRLX Tamworth,14/10/2024
TRLX Tamworth,30/09/2024
TRLX Tamworth,23/09/2024
TRLX Tamworth,16/09/2024
TRLX Tamworth,09/09/2024
TRLX Tamworth,02/09/2024
TRLX Tamworth,26/08/2024
TRLX Tamworth,19/08/2024
TRLX Tamworth,12/08/2024
TRLX Tamworth,05/08/2024
TRLX Tamworth,29/07/2024
TRLX Tamworth,22/07/2024
TRLX Tamworth,15/07/2024
TRLX Tamworth,08/07/2024
TRLX Tamworth,01/07/2024
TRLX Tamworth,24/06/2024
TRLX Tamworth,17/06/2024
TRLX Tamworth,03/06/2024
TRLX Tamworth,27/05/2024
TRLX Tamworth,20/05/2024
TRLX Tamworth,13/05/2024
TRLX Tamworth,06/05/2024
TRLX Tamworth,29/04/2024
TRLX Tamworth,22/04/2024
TRLX Tamworth,15/04/2024
Wagga,10/02/2025
Wagga,03/02/2025
Wagga,20/01/2025
Wagga,13/01/2025
Wagga,06/01/2025
Wagga,16/12/2024
Wagga,09/12/2024
Wagga,02/12/2024
Warwick,04/02/2025
Warwick,28/01/2025
Warwick,21/01/2025
Warwick,14/01/2025
Warwick,26/11/2024
Warwick,19/11/2024
Warwick,12/11/2024
Warwick,05/11/2024
Armidale,07/12/2023
Armidale,23/11/2023
Armidale,09/11/2023
Armidale,26/10/2023
Armidale,12/10/2023
Armidale,28/09/2023
Armidale,14/09/2023
Armidale,31/08/2023
Armidale,17/08/2023
Armidale,03/08/2023
Armidale,20/07/2023
Armidale,06/07/2023
Armidale,22/06/2023
Armidale,08/06/2023
Armidale,25/05/2023
Armidale,11/05/2023
Armidale,27/04/2023
Armidale,13/04/2023
Armidale,30/03/2023
Armidale,16/03/2023
Armidale,02/03/2023
Armidale,16/02/2023
Armidale,02/02/2023
Armidale,19/01/2023
Bairnsdale,14/12/2023
Bairnsdale,30/11/2023
Bairnsdale,16/11/2023
Bairnsdale,02/11/2023
Bairnsdale,19/10/2023
Bairnsdale,05/10/2023
Bairnsdale,14/09/2023
Bairnsdale,31/08/2023
Bairnsdale,17/08/2023
Bairnsdale,03/08/2023
Bairnsdale,20/07/2023
Bairnsdale,06/07/2023
Bairnsdale,29/06/2023
Bairnsdale,15/06/2023
Bairnsdale,01/06/2023
Bairnsdale,25/05/2023
Bairnsdale,18/05/2023
Bairnsdale,04/05/2023
