Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 11/02/2025
Comparison Date: 
Total Yarding: 2910 (NQ)
Commentary
"There were approximately 2500 export and 410 young cattle penned representing a decrease of 36 head week-on-week. The usual buying group was present and operating in a dearer market. Quality was good with fewer dairy lots in the bullocks while the trade offering was very mixed. Well finished trade cattle lilted 10c to 15c/kg while secondary lots were cheaper. Grown steers sold firm while bullocks gained 5c/kg. Heavy Friesian manufacturing steers improved 15c to 23c with the crossbred portion firm to 8c/kg dearer. Heavy beef cows gained 5c to 10c while light conditioned dairy lots kicked 20c to 30c/kg. Heavy bulls lifted 5c/kg. 

Vealers sold from 250c to 408c/kg. Yearling trade steers made between 335c and 370c/kg. Yearling heifers to the trade sold between 310c and 355c/kg. Grown steers made from 335c to 380c/kg. Bullocks sold from 350c to 403c/kg. 

Heavy Friesian manufacturing steers made between 272c and 342c with the crossbred portion between 280 and 372c/kg. Most light and medium weight cows sold between 205c and 256c/kg. Heavy weight cows made mostly from 243c to 298c/kg. Heavy bulls sold from 270c to 316c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Heifer,330+,Restocker,C,2,4,NQ,346.0,346.0,346,NQ,617.9,617.9,617.9,1211.0,1211.0,1211
Manufacturing Steer,0-540,Dairy,E,2,5,2,255.0,255.0,255,35.0,531.3,531.3,531.3,1275.0,1275.0,1275
Manufacturing Steer,0-540,Processor,D,2,9,NQ,300.0,308.0,300.8888888888889,NQ,576.9,581.1,577.4,1386.0,1425.0,1420.6666666666667
Manufacturing Steer,0-540,Processor,D,3,2,NQ,328.0,328.0,328,NQ,607.4,607.4,607.4,1771.2,1771.2,1771.199951171875
Manufacturing Steer,0-540,Restocker,D,2,5,2,290.0,300.0,298,14.0,557.7,600.0,582.3,1450.0,1500.0,1490
Manufacturing Steer,540+,Dairy,D,1,56,-48,272.0,290.0,278.94642857142856,14.5,566.7,580.0,574.3,1564.0,1995.0,1846.2767857142858
Manufacturing Steer,540+,Dairy,D,2,130,-165,278.0,322.0,304.2846153846154,23.2,534.6,619.2,586.8,1668.0,2173.5,1989.8884615384616
Manufacturing Steer,540+,Dairy,D,3,10,-38,282.0,282.0,282,19.2,532.1,532.1,532.1,2256.0,2256.0,2256
Manufacturing Steer,540+,Dairy,E,2,21,11,265.0,300.0,275.5238095238095,11.5,552.1,600.0,572.8,1457.5,1650.0,1600.2857142857142
Manufacturing Steer,540+,Processor,D,1,1,NQ,290.0,290.0,290,NQ,580.0,580.0,580.0,1740.0,1740.0,1740
Manufacturing Steer,540+,Processor,D,2,188,105,280.0,342.0,323.8404255319149,8.0,538.5,645.3,617.2,1540.0,2512.5,2137.0218096793965
Manufacturing Steer,540+,Processor,D,3,84,-2,325.0,372.0,342.3452380952381,-0.1,611.1,688.9,638.1,1868.8,2604.0,2334.186285109747
Manufacturing Steer,540+,Processor,D,4,12,-3,250.0,333.0,271.5,-29.3,463.0,616.7,500.4,2250.0,2830.5,2388.9166666666665
Manufacturing Steer,540+,Restocker,D,1,6,NQ,281.0,281.0,281,NQ,562.0,562.0,562.0,1615.8,1615.8,1615.75
