Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Bairnsdale
Report Date: 20/11/2024
Comparison Date: 13/11/2024
Total Yarding: 287 (-343)
Commentary
"There were approximately 250 export and 40 young cattle penned representing a decrease of 340 head week-on-week. The usual buying group was present and operating in a cheaper market in places. Quality declined with fewer prime lots and a larger proportion of secondary cattle. Trade cattle eased 10c/kg and more in places where quality was lacking. Manufacturing steers lost 12c/kg. Grown steers and bullocks sold firm. Cows eased 3c to 5c/kg on most sales. Heavy bulls lost 10c to 20c/kg. 

Yearling trade steers sold from 310c to 328c/kg. Yearling heifers to the trade sold between 292c and 310c/kg. Grown steers and bullocks made from 310c to 323c/kg. Manufacturing steers sold from 266c to 310c/kg. Most light and medium weight cows made between 189c and 236c/kg. Heavy weight cows sold mostly between 215c and 276c/kg. Heavy bulls made from 260c to 288c/kg. 

Market reporter: Brendan Fletcher."
Manufacturing Steer,540+,Processor,D,3,13,11,293.0,310.0,302.7692307692308,-12.2,542.6,574.1,561.5,1725.0,2212.5,2002.2115384615386
Manufacturing Steer,540+,Restocker,D,2,2,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,1610.0,1610.0,1610
Grown Steer,500-600,Processor,C,2,1,NC,315.0,315.0,315,NC,583.3,583.3,583.3,1653.8,1653.8,1653.75
Grown Steer,500-600,Processor,C,3,2,-7,323.0,323.0,323,-9.0,587.3,587.3,587.3,1938.0,1938.0,1938
Grown Steer,500-600,Restocker,C,2,1,-1,310.0,310.0,310,10.0,574.1,574.1,574.1,1627.5,1627.5,1627.5
Grown Steer,600-750,Processor,C,4,3,-13,320.0,320.0,320,7.0,571.4,571.4,571.4,2240.0,2240.0,2240
Grown Steer,750+,Processor,C,4,4,NQ,311.0,311.0,311,NQ,555.4,555.4,555.4,2410.3,2410.3,2410.25
Grown Heifer,0-540,Processor,D,2,5,1,260.0,268.0,261.6,11.6,520.0,536.0,523.2,911.2,1300.0,1222.2400024414062
Grown Heifer,540+,Processor,D,3,5,-15,310.0,322.0,314.8,4.7,574.1,596.3,583.0,1736.0,1851.5,1782.2
Grown Heifer,540+,Processor,D,4,6,3,280.0,312.0,301.3333333333333,16.0,538.5,600.0,579.5,1610.0,1716.0,1680.6666666666667
Cows,0-400,Dairy,E,1,2,NQ,189.0,189.0,189,NQ,472.5,472.5,472.5,642.6,642.6,642.5999755859375
Cows,0-400,Dairy,E,2,1,NQ,210.0,210.0,210,NQ,477.3,477.3,477.3,787.5,787.5,787.5
Cows,0-400,Processor,E,1,1,NQ,209.0,209.0,209,NQ,475.0,475.0,475.0,794.2,794.2,794.2000122070312
Cows,0-400,Restocker,D,2,1,NQ,224.0,224.0,224,NQ,476.6,476.6,476.6,896.0,896.0,896
Cows,400-520,Dairy,E,2,5,NQ,222.0,222.0,222,NQ,504.5,504.5,504.5,976.8,976.8,976.8
Cows,400-520,Processor,D,1,6,-4,222.0,222.0,222,6.0,493.3,493.3,493.3,1054.5,1054.5,1054.5
Cows,400-520,Processor,D,2,3,-24,235.0,258.0,250.33333333333334,6.9,500.0,537.5,525.0,1175.0,1225.5,1208.6666666666667
Cows,400-520,Restocker,D,1,2,-9,198.0,198.0,198,-27.5,440.0,440.0,440.0,891.0,891.0,891
Cows,400-520,Restocker,D,2,3,-1,236.0,236.0,236,-22.8,502.1,502.1,502.1,1062.0,1062.0,1062
Cows,520+,Dairy,D,1,8,NQ,228.0,235.0,231.5,NQ,495.7,510.9,503.3,1351.3,1368.0,1359.625
Cows,520+,Dairy,D,2,3,-7,258.0,258.0,258,18.0,526.5,526.5,526.5,1677.0,1677.0,1677
Cows,520+,Dairy,E,1,12,-4,198.0,220.0,208.16666666666666,-3.8,471.4,500.0,483.8,1039.5,1210.0,1111.2083333333333
Cows,520+,Dairy,E,2,2,-2,227.0,227.0,227,-8.0,493.5,493.5,493.5,1248.5,1248.5,1248.5
Cows,520+,Processor,D,1,2,-25,215.0,215.0,215,-14.0,467.4,467.4,467.4,1204.0,1204.0,1204
Cows,520+,Processor,D,2,17,-45,235.0,265.0,257,-1.6,489.6,541.7,530.1,1292.5,1689.6,1473.2852926815258
Cows,520+,Processor,D,3,15,-36,264.0,268.0,265.6,-4.7,528.0,540.8,537.0,1457.5,1608.0,1563.6466796875
Cows,520+,Processor,D,4,24,-16,260.0,276.0,270.9583333333333,-3.6,520.0,552.0,537.5,1560.0,1848.0,1684.4791666666667
Cows,520+,Processor,D,5,6,3,249.0,265.0,254.5,2.5,498.0,530.0,509.0,1457.5,1875.0,1607.5833333333333
Cows,520+,Restocker,D,1,13,NQ,190.0,255.0,234.23076923076923,NQ,431.8,554.3,513.5,1292.0,1344.0,1329.9807692307693
Cows,520+,Restocker,D,3,3,NQ,274.0,274.0,274,NQ,559.2,559.2,559.2,1507.0,1507.0,1507
Cows,520+,Restocker,E,1,1,NQ,220.0,220.0,220,NQ,500.0,500.0,500.0,1188.0,1188.0,1188
Bulls,0-450,Processor,C,2,3,2,280.0,280.0,280,12.0,509.1,509.1,509.1,1232.0,1232.0,1232
Bulls,0-450,Restocker,C,2,2,NQ,226.0,230.0,228,NQ,418.5,425.9,422.2,1017.0,1035.0,1026
Bulls,450-600,Processor,C,2,8,6,248.0,262.0,257.5,-17.0,459.3,476.4,471.4,1211.3,1495.0,1408.6875
Bulls,600+,Processor,B,2,1,NC,286.0,286.0,286,-37.0,493.1,493.1,493.1,2288.0,2288.0,2288
Bulls,600+,Processor,C,1,1,NQ,263.0,263.0,263,NQ,487.0,487.0,487.0,2104.0,2104.0,2104
Bulls,600+,Processor,C,2,4,-3,260.0,280.0,269.5,-18.8,456.1,500.0,479.2,2100.0,2600.0,2318.5
Bulls,600+,Processor,C,3,2,-7,284.0,288.0,286,-9.3,489.7,496.6,493.1,2880.0,3124.0,3002
