Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 11/03/2025
Comparison Date: 
Total Yarding: 1700 (NQ)
Commentary
"There were 1085 exports and 585 trade cattle offered, amongst the exports were 480 cows. It was noticeable that several feedlotters and store buyers were absent and some processors were present but not operating. 

The trade quality was very mixed with weights also highly variable. Prices for the heavy cattle with cover and shape sold at stronger rates as C4 bullocks rebounded 10 to 20c/kg. Both beef and dairy cows lifted slightly after last weeks heavy falls to be 5 to 10c/kg dearer. 

Top calves lifted, the best of the vealers reached 400c/kg. The B & C muscled yearling steers ranged from 320c to 408c/kg to average 386c/kg. The better end of the yearling heifer portion made from 320c to 417c/kg to average 350c/kg. 

The finished grown steers were not in abundance but still had some good lines presented. The 400 to 500kg steers made from 270c to 369c/kg. The 500 to 600kg C3 and C4 steers ranged from 374c to 390c/kg, with the 600kg plus steers C3 and C4 made from 360c to 390c/kg.

The heavy beef cows made from 265c to 310c/kg and the heavy dairy cows made from 228c to 265c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Dairy,D,3,11,NQ,315.0,315.0,315,NQ,605.8,605.8,605.8,1527.8,1527.8,1527.75
Grown Heifer,0-540,Feeder,D,2,24,NQ,252.0,266.0,255.75,NQ,494.1,521.6,501.5,982.8,1064.0,1009.3874918619791
Grown Heifer,0-540,Processor,C,4,9,NQ,355.0,355.0,355,NQ,669.8,669.8,669.8,1899.3,1899.3,1899.25
Grown Heifer,0-540,Processor,D,1,8,NQ,280.0,280.0,280,NQ,549.0,549.0,549.0,1260.0,1260.0,1260
Grown Heifer,0-540,Processor,D,2,6,-10,265.0,265.0,265,-10.0,519.6,519.6,519.6,1152.8,1152.8,1152.75
Grown Heifer,0-540,Processor,D,3,27,-22,280.0,310.0,298.8888888888889,-12.9,538.5,596.2,574.8,1246.0,1395.0,1338.6666666666667
Grown Heifer,0-540,Restocker,D,1,3,NQ,250.0,250.0,250,NQ,510.2,510.2,510.2,1087.5,1087.5,1087.5
Grown Heifer,540+,Dairy,D,1,12,NQ,281.0,281.0,281,NQ,551.0,551.0,551.0,1643.8,1643.8,1643.8499348958333
Grown Heifer,540+,Dairy,D,2,18,NQ,285.0,285.0,285,NQ,606.4,606.4,606.4,1838.3,1838.3,1838.25
Grown Heifer,540+,Processor,C,3,6,NQ,320.0,320.0,320,NQ,603.8,603.8,603.8,1760.0,1760.0,1760
Grown Heifer,540+,Processor,C,4,15,7,335.0,360.0,350,35.0,632.1,666.7,652.8,1842.5,1980.0,1925
Grown Heifer,540+,Processor,D,3,6,3,300.0,310.0,305,-12.0,576.9,596.2,586.5,1650.0,1705.0,1677.5
Grown Heifer,540+,Processor,D,5,4,NQ,259.0,259.0,259,NQ,498.1,498.1,498.1,1502.2,1502.2,1502.199951171875
Cows,400-520,Processor,D,1,23,-14,240.0,271.0,254.43478260869566,-7.1,510.6,589.1,543.5,1124.7,1188.0,1156.6347868546195
Cows,400-520,Processor,D,2,11,-78,260.0,260.0,260,-4.7,530.6,530.6,530.6,1287.0,1287.0,1287
Cows,400-520,Restocker,D,1,24,NQ,226.0,280.0,249.625,NQ,480.9,583.3,531.2,994.4,1386.0,1163.2396036783855
Cows,520+,Dairy,D,1,48,-3,228.0,265.0,251.75,5.8,506.7,602.3,563.6,1254.0,1574.4,1439.8312581380208
Cows,520+,Dairy,E,1,18,-4,236.0,242.0,239,39.0,548.8,576.2,562.5,1368.8,1403.6,1386.199978298611
Cows,520+,Processor,C,1,1,NQ,280.0,280.0,280,NQ,560.0,560.0,560.0,1680.0,1680.0,1680
Cows,520+,Processor,C,3,6,NQ,288.0,310.0,299,NQ,564.7,584.9,574.8,1958.4,2247.5,2102.9500325520835
Cows,520+,Processor,D,1,17,11,265.0,275.0,269.70588235294116,14.7,552.1,561.2,556.4,1443.8,1457.5,1451.0294117647059
Cows,520+,Processor,D,2,8,-7,280.0,280.0,280,5.0,571.4,571.4,571.4,1540.0,1540.0,1540
Cows,520+,Processor,D,3,27,-46,288.0,298.0,294.22222222222223,10.5,553.8,584.3,575.7,1595.0,1958.4,1742.6000072337963
Cows,520+,Processor,D,4,23,-26,290.0,307.0,300.7826086956522,7.3,557.7,590.4,578.4,1566.0,1780.6,1709.2347995923913
Cows,520+,Restocker,D,3,8,NQ,288.0,288.0,288,NQ,553.8,553.8,553.8,1555.2,1555.2,1555.199951171875
Bulls,0-450,Processor,B,1,4,NQ,330.0,330.0,330,NQ,622.6,622.6,622.6,1171.5,1171.5,1171.5
Bulls,0-450,Processor,C,1,6,NQ,340.0,340.0,340,NQ,653.8,653.8,653.8,1309.0,1309.0,1309
