Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Processor,C,3,20,-17,240.0,276.0,272.85,8.2,461.5,530.8,523.8,1032.0,1214.4,1190.9024597167968
Grown Heifer,0-540,Processor,D,2,68,15,157.0,260.0,213.14705882352942,34.3,314.0,520.0,422.4,528.0,897.0,737.4205950568704
Grown Heifer,0-540,Processor,D,3,27,20,173.0,264.0,229.7037037037037,39.7,346.0,507.7,454.3,605.5,1082.4,911.257410120081
Grown Heifer,0-540,Processor,E,2,2,NC,131.0,131.0,131,-79.0,267.3,267.3,267.3,379.9,379.9,379.8999938964844
Grown Heifer,0-540,Processor,E,3,1,NQ,173.0,173.0,173,NQ,346.0,346.0,346.0,588.2,588.2,588.2000122070312
Grown Heifer,0-540,Restocker,E,2,11,NQ,182.0,182.0,182,NQ,371.4,371.4,371.4,555.1,555.1,555.0999644886364
Cows,0-400,Feeder,D,2,38,NQ,174.0,176.0,175.10526315789474,NQ,378.3,382.6,380.7,633.6,635.1,634.2710217927631
Cows,0-400,Processor,C,2,11,NQ,211.0,211.0,211,NQ,448.9,448.9,448.9,844.0,844.0,844
Cows,0-400,Processor,D,1,63,33,150.0,183.0,165.85714285714286,19.2,333.3,406.7,368.6,510.0,649.7,572.208728608631
Cows,0-400,Processor,D,2,244,92,130.0,220.0,173.20491803278688,-16.2,288.9,478.3,375.3,429.0,836.0,635.4303268682761
Cows,0-400,Processor,D,3,73,6,173.0,220.0,196.93150684931507,-19.7,368.1,458.3,417.4,673.2,869.0,753.1602741398224
Cows,0-400,Processor,E,2,1,-2,140.0,140.0,140,20.0,311.1,311.1,311.1,455.0,455.0,455
Cows,400-520,Processor,C,2,36,20,212.0,220.0,216.88888888888889,-12.5,441.7,458.3,451.9,869.2,968.0,929.5777723524305
Cows,400-520,Processor,C,3,82,13,225.0,244.0,235.4512195121951,-17.2,459.2,488.0,477.1,1023.8,1251.4,1151.5005805783155
Cows,400-520,Processor,C,4,17,-38,230.0,242.0,237.76470588235293,-11.3,460.0,484.0,475.5,1173.0,1258.4,1228.258846507353
Cows,400-520,Processor,D,2,2,-12,160.0,160.0,160,-17.7,340.4,340.4,340.4,648.0,648.0,648
Cows,400-520,Processor,D,3,371,17,180.0,248.0,226.80862533692724,-13.5,375.0,506.1,469.1,765.0,1239.3,1056.0245310328398
Cows,400-520,Processor,D,4,2,1,236.0,238.0,237,-23.0,462.7,466.7,464.7,1213.8,1227.2,1220.5
Cows,520+,Processor,C,3,22,-42,232.0,232.0,232,-28.5,464.0,464.0,464.0,1241.2,1241.2,1241.1999289772727
Cows,520+,Processor,C,4,4,-8,230.0,252.0,241,-16.0,451.0,494.1,472.5,1288.0,1537.2,1356.9749755859375
Cows,520+,Processor,D,3,26,20,240.0,245.0,244.42307692307693,-10.6,489.8,500.0,498.8,1296.0,1298.5,1298.2115384615386
Cows,520+,Processor,D,4,16,12,236.0,240.0,237,-23.0,472.0,480.0,474.0,1250.8,1296.0,1262.1000366210938
Calves,80+,Restocker,D,2,21,-154,130.0,130.0,130,-0.5,250.0,250.0,250.0,221.0,221.0,221
Bulls,0-450,Feeder,C,2,49,20,222.0,268.0,257.8775510204082,56.6,426.9,515.4,495.9,768.0,1045.8,951.5204305843431
Bulls,0-450,Feeder,D,1,2,-3,172.0,172.0,172,62.8,337.3,337.3,337.3,748.2,748.2,748.2000122070312
Bulls,0-450,Feeder,D,2,125,114,150.0,286.0,235.208,33.9,288.5,550.0,452.3,459.0,1244.1,803.7796103515625
Bulls,0-450,Feeder,E,2,4,3,248.0,248.0,248,108.0,476.9,476.9,476.9,967.2,967.2,967.2000122070312
Bulls,0-450,Processor,C,2,1,-28,190.0,190.0,190,-23.7,365.4,365.4,365.4,370.5,370.5,370.5
Bulls,0-450,Processor,D,2,3,-47,250.0,250.0,250,41.6,480.8,480.8,480.8,937.5,937.5,937.5
Bulls,0-450,Processor,E,2,1,NQ,184.0,184.0,184,NQ,353.8,353.8,353.8,708.4,708.4,708.4000244140625
Bulls,0-450,Restocker,C,2,115,85,230.0,288.0,240.0695652173913,0.0,442.3,553.8,461.7,452.4,950.4,583.4826086956522
Bulls,0-450,Restocker,D,2,19,-68,200.0,260.0,225.1578947368421,62.4,384.6,500.0,433.0,500.0,615.6,521.0578934518915
Bulls,450-600,Feeder,C,2,11,10,190.0,218.0,202.72727272727272,-37.3,358.5,419.2,386.1,988.0,1013.7,999.6818181818181
Bulls,450-600,Feeder,C,3,2,-3,256.0,288.0,272,17.6,474.1,533.3,503.7,1331.2,1468.8,1400
Bulls,450-600,Feeder,D,2,6,4,147.0,288.0,261.1666666666667,141.2,282.7,553.8,502.2,705.6,1540.8,1354.7333577473958
Bulls,450-600,Feeder,D,3,1,NC,250.0,250.0,250,70.0,471.7,471.7,471.7,1200.0,1200.0,1200
Bulls,450-600,Live Export,C,2,5,NQ,274.0,290.0,279.8,NQ,517.0,547.2,525.9,1363.0,1664.6,1443.9600341796875
Bulls,450-600,Live Export,C,3,9,NQ,290.0,292.0,291.22222222222223,NQ,537.0,550.9,542.7,1503.8,1725.5,1633.861083984375
Bulls,450-600,Live Export,D,3,8,4,290.0,290.0,290,24.0,537.0,537.0,537.0,1624.0,1624.0,1624
Bulls,450-600,Processor,C,2,5,NQ,248.0,248.0,248,NQ,467.9,467.9,467.9,1264.8,1264.8,1264.8
Bulls,450-600,Processor,D,2,1,NQ,222.0,222.0,222,NQ,426.9,426.9,426.9,1198.8,1198.8,1198.800048828125
Bulls,450-600,Processor,D,3,2,NQ,199.0,199.0,199,NQ,375.5,375.5,375.5,1034.8,1034.8,1034.800048828125
Bulls,600+,Feeder,C,2,4,NQ,242.0,289.0,265.5,NQ,456.6,545.3,500.9,1476.2,1762.9,1619.5499877929688
Bulls,600+,Feeder,C,3,1,-2,250.0,250.0,250,-14.0,454.5,454.5,454.5,1775.0,1775.0,1775
Bulls,600+,Live Export,C,3,1,NC,258.0,258.0,258,-12.0,469.1,469.1,469.1,1960.8,1960.8,1960.800048828125
Bulls,600+,Processor,C,2,5,4,290.0,292.0,290.8,70.8,537.0,550.9,542.6,1825.0,1943.0,1895.8
Bulls,600+,Processor,C,3,2,NC,224.0,246.0,235,9.0,414.8,447.3,431.0,1657.6,2238.6,1948.1000366210938
