Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 22/04/2024
Comparison Date: 15/04/2024
Total Yarding: 1545 (-1180)
Commentary
"There was a sharp drop in the overall numbers with cows making up a large percentage. Young cattle were also well supplied however export weight grown steers and heifers were scarce. The quality of the offering was fair to good while condition varied. Not all the regular feedlot and restockers were in attendance while not all processors operated.

There were varying trends through the young cattle with weaners to restockers selling to dearer trends, odd pens of steers showing strong gains. Light and medium weight yearling steers to restock and feed also sold to dearer trends with some quality related price change. Heavy feeder steers sold to a dearer trend with the preferred lines improving by 4c/kg. Yearlings heifers to restock and feed sold on a firm to dearer 
 trend for the most part. The leaner medium weights were cheaper with breed and quality contributing. Once again the preferred lines experienced the best of prices.

An improved quality penning of heavy grown steers to process were considerably dearer while the well finished grown heifers to process sold to a cheaper trend. A large percentage of the cows presented in store condition and were keenly sought by fatteners with the trend dearer. The quality and breed of the cows contributed to strong gains. Processor demand was weaker with cheaper trends resulting in all classes."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,400-520,Processor,D,3,48,24,185.0,203.0,194.04166666666666,-7.2,393.6,422.9,409.0,902.4,1014.0,967.5333353678385
Cows,400-520,Processor,D,4,4,-5,190.0,190.0,190,-35.0,380.0,380.0,380.0,988.0,988.0,988
Cows,400-520,Restocker,D,2,262,238,140.0,194.0,182.5114503816794,21.5,311.1,431.1,405.6,616.0,907.3,836.3282442748092
Cows,400-520,Restocker,D,3,24,NQ,195.0,195.0,195,NQ,414.9,414.9,414.9,926.3,926.3,926.25
Cows,520+,Processor,D,3,67,-33,176.0,219.0,197,-8.0,374.5,438.0,408.2,975.2,1270.2,1116.0328460237872
Cows,520+,Processor,D,4,95,65,190.0,216.0,206.1578947368421,-6.0,395.8,432.0,414.5,1045.0,1470.0,1202.3273643092105
Cows,520+,Processor,D,5,4,-1,180.0,190.0,183.75,-13.1,360.0,395.8,379.1,1134.0,1425.0,1251
Cows,520+,Restocker,D,3,24,NQ,176.0,185.0,183.5,NQ,374.5,393.6,390.4,968.0,1017.5,1009.25
Cows,520+,Restocker,D,4,7,NQ,187.0,187.0,187,NQ,397.9,397.9,397.9,991.1,991.1,991.0999581473214
Bulls,0-450,Processor,C,2,4,-6,180.0,180.0,180,-30.5,346.2,346.2,346.2,468.0,468.0,468
Bulls,0-450,Restocker,C,2,6,NQ,276.0,276.0,276,NQ,530.8,530.8,530.8,883.2,883.2,883.2000325520834
Bulls,600+,Processor,B,2,9,7,244.0,256.0,250,24.5,435.7,457.1,446.4,1713.6,2122.8,1813.911159939236
Bulls,600+,Processor,C,2,7,-6,170.0,224.0,208.85714285714286,2.2,314.8,414.8,386.8,1105.0,1680.0,1545
Bulls,600+,Processor,D,2,2,-1,166.0,186.0,176,16.0,319.2,357.7,338.5,1328.0,1395.0,1361.5
