Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,500-600,Live Export,D,3,9,NQ,310.0,310.0,310,NQ,584.9,584.9,584.9,1581.0,1581.0,1581
Grown Steer,500-600,Processor,C,3,25,NQ,320.0,322.0,320.88,NQ,592.6,596.3,594.2,1787.1,1888.0,1843.603984375
Grown Steer,500-600,Processor,D,3,18,NQ,282.0,312.0,310.3333333333333,NQ,532.1,577.8,575.2,1452.3,1622.4,1612.9500461154514
Grown Heifer,0-540,Feeder,D,1,10,NQ,150.0,150.0,150,NQ,306.1,306.1,306.1,457.5,457.5,457.5
Grown Heifer,0-540,Feeder,D,2,1,NQ,106.0,106.0,106,NQ,216.3,216.3,216.3,243.8,243.8,243.8000030517578
Grown Heifer,0-540,Processor,C,3,48,NQ,264.0,272.0,268.3333333333333,NQ,505.7,513.2,509.3,1240.8,1305.6,1268.0249837239583
Grown Heifer,0-540,Processor,D,2,35,NQ,216.0,240.0,233.14285714285714,NQ,432.0,480.0,466.3,680.4,888.0,812.8000069754464
Grown Heifer,0-540,Processor,D,3,69,NQ,252.0,268.0,265.5652173913044,NQ,484.6,521.6,511.9,1024.1,1234.8,1086.6463463824728
Grown Heifer,0-540,Processor,D,4,7,NQ,270.0,270.0,270,NQ,509.4,509.4,509.4,1377.0,1377.0,1377
Grown Heifer,0-540,Processor,E,2,1,NQ,200.0,200.0,200,NQ,400.0,400.0,400.0,620.0,620.0,620
Grown Heifer,0-540,Restocker,D,1,1,NQ,50.0,50.0,50,NQ,102.0,102.0,102.0,135.0,135.0,135
Grown Heifer,0-540,Restocker,D,2,1,NQ,180.0,180.0,180,NQ,360.0,360.0,360.0,603.0,603.0,603
Cows,0-400,Feeder,D,2,109,NQ,214.0,232.0,225.4862385321101,NQ,465.2,504.3,490.2,779.7,893.2,823.1064206744553
Cows,0-400,Feeder,E,1,1,NQ,134.0,134.0,134,NQ,304.5,304.5,304.5,388.6,388.6,388.6000061035156
Cows,0-400,Processor,D,1,74,NQ,146.0,204.0,167.83783783783784,NQ,324.4,453.3,373.0,496.4,676.2,562.6283734295819
Cows,0-400,Processor,D,2,463,NQ,160.0,244.0,199.89200863930884,NQ,352.2,530.4,433.6,536.0,932.2,732.0732245228976
Cows,0-400,Processor,D,3,8,NQ,192.0,228.0,219,NQ,408.5,485.1,466.0,720.0,900.6,852.375
Cows,0-400,Processor,E,1,5,NQ,120.0,150.0,132,NQ,272.7,340.9,300.0,324.0,465.0,380.4
Cows,0-400,Processor,E,2,4,NQ,174.0,182.0,180,NQ,378.3,404.4,397.9,530.7,564.2,555.8250274658203
Cows,0-400,Restocker,E,1,1,NQ,60.0,60.0,60,NQ,136.4,136.4,136.4,156.0,156.0,156
Cows,400-520,Feeder,D,2,2,NQ,180.0,220.0,200,NQ,391.3,478.3,434.8,765.0,891.0,828
Cows,400-520,Processor,C,3,1,NQ,268.0,268.0,268,NQ,546.9,546.9,546.9,1380.2,1380.2,1380.199951171875
Cows,400-520,Processor,C,4,1,NQ,280.0,280.0,280,NQ,549.0,549.0,549.0,1456.0,1456.0,1456
Cows,400-520,Processor,D,3,349,NQ,200.0,266.0,250.2464183381089,NQ,434.8,554.2,524.4,820.0,1303.4,1123.754740105659
Cows,520+,Processor,C,4,29,NQ,260.0,266.0,263.44827586206895,NQ,509.8,524.0,521.5,1365.0,1489.6,1436.9654498922414
Cows,520+,Processor,D,4,6,NQ,264.0,268.0,267.3333333333333,NQ,528.0,536.0,534.7,1420.4,1425.6,1421.2666625976562
Bulls,0-450,Feeder,C,2,13,NQ,264.0,264.0,264,NQ,507.7,507.7,507.7,818.4,858.0,848.8615534855769
Bulls,0-450,Feeder,D,2,197,NQ,148.0,260.0,185.80710659898477,NQ,284.6,500.0,357.3,336.0,1079.0,595.0228426395939
Bulls,0-450,Feeder,E,2,83,NQ,152.0,195.0,177.7710843373494,NQ,292.3,382.4,347.6,272.0,440.8,330.87891213290663
Bulls,0-450,Live Export,C,2,1,NQ,268.0,268.0,268,NQ,515.4,515.4,515.4,924.6,924.6,924.5999755859375
Bulls,0-450,Live Export,D,2,238,NQ,224.0,282.0,275.781512605042,NQ,430.8,542.3,530.3,649.6,1134.0,936.4272896902902
Bulls,0-450,Processor,D,2,51,NQ,140.0,226.0,190.31372549019608,NQ,269.2,434.6,366.0,357.0,965.7,685.7176441865809
Bulls,0-450,Processor,E,2,20,NQ,120.0,196.0,154,NQ,235.3,376.9,299.2,318.0,813.4,587.110009765625
Bulls,0-450,Restocker,C,2,11,NQ,220.0,250.0,227.27272727272728,NQ,423.1,480.8,437.1,513.0,805.0,547.7727272727273
Bulls,0-450,Restocker,D,2,10,NQ,228.0,250.0,232.4,NQ,438.5,480.8,446.9,512.5,513.0,512.9
Bulls,0-450,Restocker,E,2,1,NQ,140.0,140.0,140,NQ,269.2,269.2,269.2,210.0,210.0,210
Bulls,450-600,Feeder,D,2,39,NQ,226.0,254.0,239.94871794871796,NQ,434.6,488.5,461.4,1062.2,1436.4,1193.530764848758
Bulls,450-600,Feeder,D,3,1,NQ,230.0,230.0,230,NQ,434.0,434.0,434.0,1069.5,1069.5,1069.5
Bulls,450-600,Live Export,C,2,1,NQ,274.0,274.0,274,NQ,517.0,517.0,517.0,1342.6,1342.6,1342.5999755859375
Bulls,450-600,Live Export,C,3,2,NQ,290.0,298.0,294,NQ,537.0,551.9,544.4,1421.0,1579.4,1500.2000122070312
Bulls,450-600,Live Export,D,2,5,NQ,258.0,278.0,266,NQ,496.2,534.6,509.5,1292.7,1417.8,1378.019921875
