Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Moss Vale
Report Date: 05/02/2025
Comparison Date: 29/01/2025
Total Yarding: 692 (-524)
Commentary
"Numbers almost halved for a total yarding of 692, fair to good quality cattle.  There were some good lines of well-bred yearling heifers, attracting strong competition from both the restockers and feedlot buyers, along with a few runs of prime yearlings. There was a limited supply of grown cattle and 105 cows. Yearling heifers were dearer, and all other categories sold for cheaper trends.

Yearlings to suit the trade made from 260c to 412c/kg. Feeder steers were up to 30c cheaper on last week’s higher prices, selling from 280c to 358c/kg. Heifers over 400kg to feed lifted 5c, averaging 298c, and those returning to the paddock were considerably dearer, reaching 322c/kg. Weaners were cheaper, quality related, with the steers ranging from 270c to 398c, and the heifers made from 210c to 270c/kg. 

Heavy grown steers topped at 338c, and the best heifers made 316c/kg. 3 and 4 score cows slipped 8c, selling from 260c to 288c/kg. Heavy bulls to process topped at 311c/kg. 
David Kent Market Reporter"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,600-750,Processor,D,3,1,NQ,290.0,290.0,290,NQ,547.2,547.2,547.2,1769.0,1769.0,1769
Grown Heifer,0-540,Feeder,C,2,2,-17,300.0,300.0,300,4.1,555.6,555.6,555.6,1575.0,1575.0,1575
Grown Heifer,0-540,Processor,C,3,5,-2,290.0,290.0,290,-17.9,537.0,537.0,537.0,1435.5,1435.5,1435.5
Grown Heifer,0-540,Processor,D,3,1,NC,260.0,260.0,260,-25.0,490.6,490.6,490.6,1248.0,1248.0,1248
Grown Heifer,540+,Processor,C,3,14,-5,300.0,316.0,309.85714285714283,-9.2,555.6,585.2,573.1,1680.0,1959.2,1833.3285609654017
Grown Heifer,540+,Processor,D,3,15,8,278.0,310.0,296.06666666666666,-0.9,524.5,645.8,578.9,1556.8,1813.5,1725.8466471354166
Cows,0-400,Processor,D,2,1,-1,200.0,200.0,200,20.0,444.4,444.4,444.4,800.0,800.0,800
Cows,400-520,Processor,D,2,10,5,210.0,240.0,231.8,-8.4,466.7,521.7,504.9,913.0,1164.0,1076.0900024414063
Cows,400-520,Processor,D,3,19,8,240.0,262.0,257.4736842105263,-9.1,533.3,569.6,557.8,1164.0,1349.3,1303.5368780838817
Cows,520+,Processor,D,3,18,-12,260.0,288.0,272.94444444444446,-3.1,552.1,591.5,580.0,1391.0,1944.0,1572.6778021918403
Cows,520+,Processor,D,4,50,-10,272.0,282.0,278.12,-7.1,561.2,587.5,577.1,1573.2,1890.0,1745.09998046875
Calves,80+,Restocker,C,2,3,NQ,220.0,220.0,220,NQ,415.1,415.1,415.1,308.0,308.0,308
Bulls,450-600,Processor,C,1,8,7,220.0,255.0,238.25,-16.8,392.9,447.4,421.6,1012.0,1326.0,1152.5899963378906
Bulls,600+,Processor,B,1,8,5,268.0,288.0,280.625,-10.0,462.1,488.1,476.6,1661.6,2635.2,2205.4000091552734
Bulls,600+,Processor,B,2,2,-2,305.0,312.0,308.5,12.5,508.3,511.5,509.9,2730.0,3278.8,3004.375
Bulls,600+,Processor,C,2,1,-2,258.0,258.0,258,-17.0,437.3,437.3,437.3,1560.9,1560.9,1560.9000244140625
Bulls,600+,Restocker,B,2,1,NQ,312.0,312.0,312,NQ,520.0,520.0,520.0,2371.2,2371.2,2371.199951171875
