Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Moss Vale
Report Date: 12/02/2025
Comparison Date: 05/02/2025
Total Yarding: 768 (+76)
Commentary
"Prime vealers reaching 460c, and high yielding yearlings to process, topping at 456c/kg, were the highlights of the 773 good to outstanding cattle, a slight increase on last week’s sale. There were some good runs of feeder steers, along with some well-bred yearling heifers suiting both the feedlot buyers and the restockers. There was an increased number of grown cattle and 90.cows.  There was strong competition from all the usual buyers, along with extra restocker interest, selling to a considerably dearer market.

Yearlings to suit the trade lifted 20c, selling from 280c to 456c/kg. Feeder steers were 25c better, making from 313c to 370c/kg. Yearling heifers to feed up to 20c dearer, averaging 318c, and those returning to the paddock topped at 347c/kg. Weaner steers jumped 60c, selling from 290c to 456c, and the heifer portion were up to 80c better, ranging from 246c to 394c/kg.

Heavy grown steers lifted 10c, making from 310c to 355c, and grown heifers were price unchanged, selling from 284c to 333c/kg. Heavy prime cows were 12c better, topping at 304c/kg. The best heavy weight bull to process made 313c/kg.
David Kent Market Reporter"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,600-750,Processor,B,3,1,NQ,355.0,355.0,355,NQ,612.1,612.1,612.1,2325.3,2325.3,2325.25
Grown Steer,600-750,Processor,C,3,23,13,312.0,344.0,336.3478260869565,10.8,567.3,625.5,611.5,1923.9,2218.8,2155.626072095788
Grown Heifer,0-540,Processor,D,2,8,NQ,255.0,260.0,257.5,NQ,490.4,500.0,495.2,1157.0,1236.8,1196.875
Grown Heifer,0-540,Processor,D,3,4,3,280.0,284.0,282.5,22.5,528.3,535.8,533.0,1372.0,1491.0,1444.5249938964844
Grown Heifer,540+,Processor,C,3,23,9,308.0,332.0,323.82608695652175,14.0,570.4,614.8,597.3,1700.4,2263.2,1933.6173891813858
Grown Heifer,540+,Processor,D,3,6,-9,284.0,305.0,294.8333333333333,-1.2,535.8,575.5,556.3,1576.2,1860.5,1762.6166585286458
Cows,0-400,Processor,D,2,1,NC,170.0,170.0,170,-30.0,395.3,395.3,395.3,510.0,510.0,510
Cows,400-520,Processor,D,3,4,-15,240.0,255.0,243.75,-13.7,533.3,566.7,541.7,1080.0,1109.3,1087.3125
Cows,520+,Processor,C,4,6,NQ,287.0,304.0,301.1666666666667,NQ,597.9,608.0,606.3,1750.7,2112.8,2052.449991861979
Cows,520+,Processor,D,3,9,-9,264.0,280.0,276.44444444444446,3.5,573.9,595.7,592.3,1438.8,1610.0,1562.6222330729167
Cows,520+,Processor,D,4,68,18,288.0,296.0,290.5735294117647,12.5,600.0,612.5,605.0,1624.0,2072.0,1799.7117614746094
Bulls,450-600,Processor,C,1,1,-7,222.0,222.0,222,-16.3,396.4,396.4,396.4,1043.4,1043.4,1043.4000244140625
Bulls,600+,Processor,B,1,2,-6,292.0,292.0,292,11.4,494.9,494.9,494.9,2146.2,2555.0,2350.5999755859375
Bulls,600+,Processor,B,2,5,3,295.0,313.0,304.2,-4.3,491.7,513.3,505.3,2507.5,3064.6,2776.010009765625
Bulls,600+,Processor,C,1,1,NQ,240.0,240.0,240,NQ,421.1,421.1,421.1,1608.0,1608.0,1608
Bulls,600+,Processor,C,2,1,NC,272.0,272.0,272,14.0,469.0,469.0,469.0,1768.0,1768.0,1768
