Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Moss Vale
Report Date: 22/01/2025
Comparison Date: 15/01/2025
Total Yarding: 1562 (+35)
Commentary
"Numbers remained similar,  for a total yarding of 1547 fair, to outstanding quality cattle. Young cattle suiting the restockers were well supplied, along with a few good pens of feeder steers, and there were some outstanding runs of high yielding yearlings to suit the trade. There were a few good pens of heavy grown cattle, and there were 210 cows. All the usual buyers were operating, selling to a cheaper market.

Prime yearlings were up to 12c cheaper, making from 285c to 436c/kg. Feeder steers slipped 10c overall, despite topping at 418c, to average 348c/kg. Heifers to feed were slightly cheaper, ranging from 285c to 358c, to average 298c/kg.  There was still strong competition for well-bred weaners returning to the paddock, with the steers selling from 296c to  438c, and the heifers sold from 272c to 440c/kg.

Heavy grown steers were back 10c, making from 290c to 346c, and grown heifers, price unchanged, made from 275c to 344c/kg. Lighter and leaner cows were firm to few cents better, to average 250c, and heavy 3 and 4 score cows slipped 8c, selling from 265c to 313c/kg. There were 60 bulls to process, ranging from 240c to 320c/kg.
David Kent Market Reporter"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Feeder,D,2,1,NQ,285.0,285.0,285,NQ,537.7,537.7,537.7,1368.0,1368.0,1368
Grown Heifer,0-540,Processor,C,3,9,7,328.0,338.0,330,14.0,607.4,625.9,611.1,1705.6,1808.3,1739.9000108506943
Grown Heifer,0-540,Processor,D,2,3,NQ,275.0,275.0,275,NQ,528.8,528.8,528.8,1471.3,1471.3,1471.25
Grown Heifer,0-540,Processor,D,3,4,NQ,290.0,290.0,290,NQ,547.2,547.2,547.2,1522.5,1522.5,1522.5
Grown Heifer,0-540,Restocker,D,2,5,NQ,275.0,275.0,275,NQ,528.8,528.8,528.8,1333.8,1333.8,1333.75
Grown Heifer,540+,Processor,C,3,23,-25,308.0,344.0,334.17391304347825,3.3,581.1,625.9,615.3,1786.4,2167.2,2021.7825927734375
Grown Heifer,540+,Processor,C,4,2,NQ,321.0,321.0,321,NQ,605.7,605.7,605.7,1797.6,1797.6,1797.5999755859375
Grown Heifer,540+,Processor,D,3,2,-8,312.0,312.0,312,-7.1,588.7,588.7,588.7,1872.0,1872.0,1872
Cows,400-520,Processor,D,2,16,10,250.0,255.0,250.625,5.6,543.5,554.3,544.8,1211.3,1225.0,1223.28125
Cows,400-520,Processor,D,3,10,-20,270.0,285.0,275.5,5.4,562.5,606.4,588.9,1347.5,1396.5,1362.1
