Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,400-500,Processor,C,3,21,10,226.0,260.0,235.23809523809524,-2.8,426.4,490.6,443.8,1073.5,1248.0,1119.3428548177083
Grown Steer,400-500,Processor,D,3,14,5,216.0,236.0,221,6.6,407.5,445.3,417.0,939.6,1097.4,1034.9356951032366
Grown Steer,400-500,Restocker,D,2,1,NQ,173.0,173.0,173,NQ,332.7,332.7,332.7,795.8,795.8,795.7999877929688
Grown Steer,500-600,Processor,C,3,2,-10,260.0,260.0,260,17.0,481.5,481.5,481.5,1443.0,1443.0,1443
Grown Heifer,0-540,Feeder,C,3,1,NQ,164.0,164.0,164,NQ,315.4,315.4,315.4,713.4,713.4,713.4000244140625
Grown Heifer,0-540,Feeder,D,3,3,NQ,162.0,206.0,191.33333333333334,NQ,324.0,396.2,372.1,639.9,782.8,735.1666666666666
Grown Heifer,0-540,Processor,C,3,1,-20,186.0,186.0,186,-28.0,350.9,350.9,350.9,725.4,725.4,725.4000244140625
Grown Heifer,0-540,Processor,D,2,9,-10,140.0,190.0,170.88888888888889,-22.6,280.0,380.0,340.3,483.0,703.0,609.0444403754341
Grown Heifer,0-540,Processor,D,3,10,-4,170.0,220.0,201.8,1.5,340.0,415.1,386.8,620.5,924.0,828.9300048828125
Cows,0-400,Feeder,D,1,7,-20,100.0,110.0,101.42857142857143,-20.6,222.2,244.4,225.4,320.0,357.5,335.35714285714283
Cows,0-400,Feeder,D,2,25,-37,100.0,110.0,109.6,-24.2,217.4,239.1,238.3,345.0,390.5,388.68
Cows,0-400,Processor,D,1,30,NQ,80.0,162.0,124.73333333333333,NQ,177.8,360.0,274.7,272.0,599.4,430.81333414713544
Cows,0-400,Processor,D,2,56,-61,140.0,185.0,160.08928571428572,3.0,304.3,402.2,347.5,483.0,712.3,594.4776785714286
Cows,0-400,Processor,D,3,29,-60,150.0,174.0,157.72413793103448,-12.7,319.1,370.2,335.1,547.5,678.6,585.1758612271013
Cows,0-400,Processor,E,2,1,NQ,120.0,120.0,120,NQ,260.9,260.9,260.9,408.0,408.0,408
Cows,0-400,Restocker,E,2,1,NQ,40.0,40.0,40,NQ,90.9,90.9,90.9,104.0,104.0,104
Cows,400-520,Processor,C,3,25,-81,174.0,196.0,189.12,-6.6,355.1,400.0,379.8,835.2,940.8,922.8559985351562
Cows,400-520,Processor,D,2,5,-63,160.0,160.0,160,-17.2,340.4,340.4,340.4,641.6,680.0,649.27998046875
Cows,400-520,Processor,D,3,443,-272,162.0,204.0,184.53950338600453,2.3,334.7,416.3,380.4,672.4,1030.2,856.3664725757883
Cows,520+,Processor,C,4,32,NQ,210.0,219.0,215.0625,NQ,411.8,429.4,421.7,1144.5,1226.4,1190.5687866210938
Cows,520+,Processor,D,3,20,-1,195.0,195.0,195,5.0,390.0,390.0,390.0,1033.5,1033.5,1033.5
Calves,80+,Processor,C,2,4,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,363.0,363.0,363
Calves,80+,Processor,D,2,2,NQ,110.0,110.0,110,NQ,211.5,211.5,211.5,181.5,181.5,181.5
Calves,80+,Restocker,C,2,23,NQ,170.0,180.0,175.65217391304347,NQ,326.9,346.2,337.8,314.5,315.0,314.7826086956522
