Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 17/12/2024
Comparison Date: 10/12/2024
Total Yarding: 2128 (-767)
Commentary
"There were approximately 1,730 export and 400 young cattle penned representing a decrease of 770 head week-on-week. The regular buying group was present and joined by a couple of domestic processors in a cheaper market in places. Quality was very good in the trade and limited in the grown. Well finished trade cattle sold firm while secondary lots eased on some sales. Grown steers and bullocks sold firm to slightly dearer. Manufacturing steers held firm. Heavy grown heifers lifted 14c/kg. Cows sold 5c to 10c/kg cheaper across all grades. Heavy bulls lost 10c/kg. 

Vealers sold from 290c to 370c/kg. Yearling trade steers made between 315c and 380c/kg. Yearling heifers to the trade sold between 295c and 370c/kg. Grown steers made from 334c to 360c/kg. Bullocks sold from 334c to 366c/kg. Heavy grown heifers with finish made between 320c and 350c/kg. 

Heavy Friesian manufacturing steers sold between 272c and 320c with the crossbred portion between 278c and 350c/kg. Most light and medium weight cows made from 200c to 270c/kg. Heavy weight cows sold mostly from 240c to 304c/kg. Heavy bulls made between 230c and 280c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,0-400,Dairy,E,1,8,-7,180.0,210.0,198.75,-9.3,473.7,525.0,505.8,684.0,787.5,748.6875
Cows,0-400,Processor,D,1,1,NQ,200.0,200.0,200,NQ,444.4,444.4,444.4,760.0,760.0,760
Cows,0-400,Restocker,E,1,27,13,150.0,238.0,182.66666666666666,24.0,394.7,566.7,456.3,562.5,892.5,695.4333405671297
Cows,400-520,Dairy,E,1,24,-58,200.0,225.0,215.54166666666666,-9.5,500.0,535.7,521.1,900.0,1110.0,1005
Cows,400-520,Dairy,E,2,26,24,218.0,250.0,239.53846153846155,-20.5,495.5,555.6,536.2,998.8,1250.0,1130.8480694110576
Cows,400-520,Processor,D,1,2,NQ,232.0,240.0,236,NQ,515.6,521.7,518.6,1020.0,1020.8,1020.3999938964844
Cows,400-520,Processor,D,2,21,-16,252.0,270.0,267.7142857142857,5.4,536.2,574.5,569.6,1134.0,1350.0,1326.5714285714287
Cows,400-520,Processor,E,1,1,NQ,232.0,232.0,232,NQ,552.4,552.4,552.4,1044.0,1044.0,1044
Cows,400-520,Restocker,D,1,15,1,240.0,249.0,241.8,3.1,521.7,553.3,536.6,1095.6,1200.0,1179.1199869791667
Cows,520+,Dairy,D,1,43,-31,236.0,252.0,244.6046511627907,-7.1,513.0,547.8,536.3,1298.0,1500.0,1403.7906976744187
Cows,520+,Dairy,D,2,65,-5,245.0,275.0,263.32307692307694,-9.0,521.3,572.9,553.8,1372.0,2055.0,1717.446153846154
Cows,520+,Dairy,E,1,41,-15,222.0,242.0,228.3170731707317,-8.4,504.5,550.0,526.7,1176.0,1332.0,1277.103634717988
Cows,520+,Processor,C,2,7,-7,293.0,293.0,293,-3.5,563.5,563.5,563.5,1684.8,1684.8,1684.75
Cows,520+,Processor,D,1,17,13,248.0,250.0,249.2941176470588,1.3,539.1,543.5,541.9,1302.0,1437.5,1389.6764705882354
Cows,520+,Processor,D,2,58,-87,260.0,278.0,270.9655172413793,-2.0,541.7,583.0,565.2,1430.0,1712.5,1556.5689655172414
Cows,520+,Processor,D,3,86,-12,274.0,302.0,286.2674418604651,-3.5,559.2,604.0,575.7,1621.5,1820.0,1708.7168422965117
Cows,520+,Processor,D,4,223,-5,285.0,304.0,292.9820627802691,-8.0,557.7,592.0,576.3,1661.8,2220.0,1965.304932735426
Cows,520+,Processor,D,5,19,-13,260.0,288.0,280,-10.2,520.0,576.0,560.0,1930.5,2160.0,2066.1315789473683
Cows,520+,Processor,E,2,3,NQ,245.0,245.0,245,NQ,544.4,544.4,544.4,1323.0,1323.0,1323
Cows,520+,Restocker,D,1,8,-8,240.0,240.0,240,-9.5,533.3,533.3,533.3,1320.0,1320.0,1320
Cows,520+,Restocker,E,1,12,NQ,190.0,222.0,208.66666666666666,NQ,475.0,555.0,521.7,1026.0,1276.5,1172.125
Bulls,0-450,Dairy,D,1,1,NQ,215.0,215.0,215,NQ,457.4,457.4,457.4,946.0,946.0,946
Bulls,0-450,Dairy,D,2,6,5,225.0,264.0,257.5,27.5,478.7,507.7,502.9,1012.5,1188.0,1158.75
Bulls,0-450,Processor,C,2,17,13,255.0,268.0,262,31.0,463.6,496.3,483.1,936.0,1139.0,1015.3411757525275
Bulls,450-600,Dairy,D,2,19,7,214.0,236.0,231.68421052631578,-30.6,428.0,491.7,480.7,1230.5,1334.0,1294.9526110197369
Bulls,450-600,Processor,C,2,8,NC,240.0,268.0,249.625,-10.5,436.4,478.6,451.8,1250.0,1466.3,1379.53125
Bulls,450-600,Processor,D,2,1,NQ,230.0,230.0,230,NQ,434.0,434.0,434.0,1265.0,1265.0,1265
Bulls,600+,Dairy,D,2,13,10,230.0,258.0,244.3846153846154,0.4,442.3,481.1,461.6,1592.5,2322.0,1996.3846153846155
Bulls,600+,Processor,B,2,5,1,260.0,280.0,268,-13.8,450.0,482.8,462.1,1690.0,2380.0,2070
Bulls,600+,Processor,C,1,2,NQ,245.0,250.0,247.5,NQ,453.7,471.7,462.7,1837.5,2000.0,1918.75
Bulls,600+,Processor,C,2,17,12,240.0,270.0,257.70588235294116,-11.3,428.6,482.1,460.2,1708.0,2340.0,1939.764705882353
Bulls,600+,Processor,C,3,13,-16,250.0,278.0,266.9230769230769,-12.3,439.7,486.0,463.3,1625.0,2550.0,2266.076923076923
Bulls,600+,Processor,C,4,2,1,242.0,258.0,250,-22.0,417.2,452.6,434.9,1935.0,2178.0,2056.5
Bulls,600+,Processor,D,2,1,NQ,248.0,248.0,248,NQ,459.3,459.3,459.3,1736.0,1736.0,1736
Bulls,600+,Restocker,C,3,1,NQ,284.0,284.0,284,NQ,498.2,498.2,498.2,1988.0,1988.0,1988
