Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Heifer,280-330,Feeder,C,2,2,NQ,280.0,280.0,280,NQ,549.0,549.0,549.0,826.0,826.0,826
Vealer Heifer,280-330,Restocker,C,2,2,-17,320.0,320.0,320,50.2,627.5,627.5,627.5,1030.4,1030.4,1030.4000244140625
Vealer Heifer,280-330,Restocker,D,2,4,NQ,252.2,280.6,265.3000030517578,NQ,494.5,561.2,520.3,819.7,897.9,855.2650146484375
Vealer Heifer,280-330,Restocker,D,3,1,NQ,316.6,316.6,316.6000061035156,NQ,597.4,597.4,597.4,1038.4,1038.4,1038.447998046875
Vealer Heifer,330+,Feeder,C,2,2,NQ,318.0,318.0,318,NQ,600.0,600.0,600.0,1287.9,1287.9,1287.9000244140625
Vealer Heifer,330+,Feeder,D,3,1,NQ,290.0,290.0,290,NQ,547.2,547.2,547.2,1015.0,1015.0,1015
Vealer Heifer,330+,Processor,C,3,22,9,320.6,348.0,339.3000002774325,-4.3,593.7,644.4,627.8,1138.1,1395.5,1300.1072720614347
Vealer Heifer,330+,Processor,D,3,2,NQ,320.6,326.6,323.6000061035156,NQ,593.7,616.2,605.0,1110.4,1138.1,1124.2849731445312
Vealer Heifer,330+,Restocker,D,2,2,NQ,270.6,270.6,270.6000061035156,NQ,541.2,541.2,541.2,960.6,960.6,960.6300048828125
Manufacturing Steer,0-540,Dairy,D,2,22,1,220.0,240.0,232.60909063165838,-6.2,440.0,510.6,490.2,723.8,1166.0,1094.9400024414062
Manufacturing Steer,0-540,Dairy,E,1,2,NQ,170.0,170.0,170,NQ,369.6,369.6,369.6,918.0,918.0,918
Manufacturing Steer,0-540,Dairy,E,2,12,1,180.0,212.0,201.33333333333334,1.3,400.0,471.1,447.4,734.4,932.8,810.1333414713541
Manufacturing Steer,0-540,Processor,D,2,1,-13,278.6,278.6,278.6000061035156,44.7,535.8,535.8,535.8,1225.8,1225.8,1225.8399658203125
Manufacturing Steer,0-540,Processor,D,3,16,NQ,266.6,290.0,284.0375003814697,NQ,512.7,547.2,542.3,1279.7,1438.2,1410.9674911499023
Manufacturing Steer,0-540,Processor,E,2,4,NQ,224.0,224.0,224,NQ,476.6,476.6,476.6,985.6,985.6,985.5999755859375
Manufacturing Steer,0-540,Restocker,D,2,47,29,220.0,282.2,237.62127815408908,-19.7,478.3,553.3,498.6,770.0,1056.0,920.4824738198138
Manufacturing Steer,540+,Dairy,D,2,17,3,270.6,282.2,274.0117761948529,12.6,520.4,542.7,526.9,1531.6,1777.9,1604.0265969669117
Manufacturing Steer,540+,Dairy,D,3,45,44,275.0,310.0,297.18666788736977,17.2,528.8,584.9,564.2,1647.8,2046.0,1890.352001953125
