Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,520+,Processor,D,4,18,NQ,270.0,270.0,270,NQ,529.4,529.4,529.4,1539.0,1539.0,1539
Calves,80+,Processor,D,2,1,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,418.0,418.0,418
Calves,80+,Restocker,C,2,7,-7,198.0,329.0,281.57142857142856,13.6,380.8,632.7,541.5,287.1,658.0,502.6714433942522
Bulls,0-450,Feeder,C,2,11,-7,238.0,242.0,239.8181818181818,33.0,457.7,465.4,461.2,880.6,919.6,898.3272372159091
Bulls,0-450,Feeder,D,2,6,-51,188.0,200.0,190,-6.0,361.5,384.6,365.4,601.6,650.0,609.6666666666666
Bulls,0-450,Processor,D,2,3,-3,180.0,226.0,210.66666666666666,72.3,346.2,434.6,405.1,610.2,747.0,655.8000081380209
Bulls,0-450,Processor,D,3,2,NQ,170.0,170.0,170,NQ,326.9,326.9,326.9,518.5,518.5,518.5
Bulls,0-450,Restocker,C,2,6,-25,220.0,254.0,248.33333333333334,11.9,423.1,488.5,477.6,375.9,583.0,410.433349609375
Bulls,0-450,Restocker,D,2,73,NC,70.0,278.0,224.3835616438356,25.7,137.3,534.6,431.6,182.0,636.3,430.24656447319137
Bulls,450-600,Feeder,D,2,3,-5,120.0,232.0,172.33333333333334,-45.9,230.8,446.2,331.4,564.0,1055.6,845.1166585286459
Bulls,450-600,Processor,C,3,1,NC,276.0,276.0,276,76.0,511.1,511.1,511.1,1600.8,1600.8,1600.800048828125
Bulls,450-600,Processor,D,2,1,NQ,198.0,198.0,198,NQ,373.6,373.6,373.6,1108.8,1108.8,1108.800048828125
Bulls,450-600,Processor,D,3,1,-6,222.0,222.0,222,5.7,426.9,426.9,426.9,1198.8,1198.8,1198.800048828125
Bulls,450-600,Processor,E,2,1,NQ,164.0,164.0,164,NQ,315.4,315.4,315.4,746.2,746.2,746.2000122070312
Bulls,600+,Feeder,C,3,4,3,248.0,248.0,248,8.0,459.3,459.3,459.3,1537.6,1537.6,1537.5999755859375
Bulls,600+,Feeder,D,3,13,7,236.0,266.0,251.84615384615384,33.8,437.0,492.6,473.8,1510.4,1609.3,1540.684560922476
Bulls,600+,Processor,C,4,1,NQ,266.0,266.0,266,NQ,475.0,475.0,475.0,2207.8,2207.8,2207.800048828125
Bulls,600+,Processor,D,3,13,NQ,210.0,280.0,264.9230769230769,NQ,388.9,518.5,495.5,1365.0,1736.0,1661.4769381009614
