Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 15/10/2024
Comparison Date: 08/10/2024
Total Yarding: 2060 (-840)
Commentary
"There was quite a reduction in numbers with rain about and a drop in the market. It was a very mixed quality penning with young cattle well supplied. Heavy weights were in good numbers with processors and feedlots catered for. There was an increased supply of plainer and secondary quality cattle penned while there were also some high quality heavy steers and cows penned. The usual processors were in attendance along with the addition of a couple more while feedlot competition on heavy feeders was reduced.

There was a much more noticeable price differential between to good quality young cattle plain and secondary quality young cattle. Market trends varied and price change was affected by quality variations. Light and medium weight yearling steers to restock and feed sold to a dearer trend of as much as 10c/kg while the plain quality steers were much cheaper. Heavy weight feeders sold on a firm to slightly cheaper trend however price change was assisted by breed and quality. Well finished heavy trade steers sold to a dearer trend and included a couple of pens of very heavy high yielding steers carrying their milk teeth. Light and medium weight yearling heifers to restock and feed sold on a firm to slightly cheaper trend. The heavy trade heifers saw a slightly dearer trend under increased competition.

 Heavy grown steers to process sold to a cheaper trend with some quality related average price improvement. Feeder steers with 2 or more teeth experienced little change. Well finished heavy grown heifers to process saw trends cheaper for the most part. There was a sharp downward correction in the cow market particularly noticeable in the well finished heavy weights. A good selection of heavy weight bulls sold to a dearer trend with an improvement in quality."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,540+,Processor,C,4,14,9,305.0,336.0,316.5,4.5,575.5,622.2,596.3,1780.8,2150.4,1830.8142787388392
Cows,400-520,Processor,D,2,10,-10,230.0,230.0,230,-39.8,511.1,511.1,511.1,966.0,1069.5,997.05
Cows,400-520,Processor,D,3,10,-82,268.0,274.0,269.2,-12.3,558.3,570.8,560.8,1370.0,1393.6,1388.87998046875
Cows,400-520,Restocker,D,2,12,NC,268.0,268.0,268,6.3,595.6,595.6,595.6,1273.0,1273.0,1273
Cows,520+,Processor,D,3,16,-39,268.0,275.0,272.375,-16.0,550.0,558.3,553.1,1447.2,1457.5,1453.637451171875
Cows,520+,Processor,D,4,132,8,268.0,290.0,279.4318181818182,-27.1,544.0,580.0,561.1,1420.4,2073.6,1823.620450106534
Cows,520+,Processor,D,5,13,NQ,240.0,283.0,265.2307692307692,NQ,500.0,566.0,535.1,1754.6,2025.0,1943.5692232572114
Bulls,0-450,Processor,C,2,3,NQ,245.0,250.0,248.33333333333334,NQ,453.7,463.0,459.9,1000.0,1102.5,1034.1666666666667
Bulls,450-600,Processor,C,2,9,NQ,230.0,255.0,252.22222222222223,NQ,425.9,472.2,467.1,1311.0,1479.0,1460.3333333333333
Bulls,600+,Processor,B,2,5,2,272.0,302.0,288.8,27.1,485.7,503.3,494.3,2047.5,2718.0,2437.039990234375
Bulls,600+,Processor,B,3,16,10,270.0,296.0,287,12.8,482.1,528.6,512.5,2182.3,2456.8,2328.762496948242
Bulls,600+,Processor,C,2,11,1,272.0,291.0,276.90909090909093,17.1,503.7,538.9,511.1,1768.0,2245.1,2007.7136452414773
Bulls,600+,Processor,C,3,3,NQ,268.0,280.0,272,NQ,478.6,500.0,485.7,1890.0,2144.0,2059.3333333333335
