Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 10/12/2024
Comparison Date: 03/12/2024
Total Yarding: 2920 (+420)
Commentary
"With just one sale left before the Christmas break there was an increase in supply. That increase was mostly made up of feeder cattle. Young cattle made up by far the largest percentage of the offering with the majority in the medium and heavy weight classes. The quality of the young cattle was generally very good with condition also good. There were limited supplies of well finished export steers and heifers while there was a fair supply of cows. There were a couple of absentees in the buying group.

Strong demand from restockers and feedlotters resulted in dearer trends through the yearling steers with light weights to restock and feed up to 6c/kg dearer. A greater emphasis was placed on the medium and heavy weights with medium weights as much as 14c dearer while heavy weights to background and feed saw improvement of as much as 10c/kg with little in the way of breed premiums. Light weight yearling heifers sold to a slightly cheaper trend with a limited supply and some variation in quality.The medium and heavy weight heifers sold to a dearer trend of as much as 10c/kg. 

Well finished heavy grown steers to process experienced little change while the well finished heavy grown heifers were keenly sought. The best of them were as much as 20c/kg dearer. There was also strong processor demand in the cow market with market trends showing significant improvement."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,520+,Processor,D,3,62,7,282.0,296.0,289.83870967741933,19.2,564.0,616.7,593.4,1551.0,1628.0,1581.241951234879
Cows,520+,Processor,D,4,91,18,285.0,306.0,295.9340659340659,23.4,570.0,612.0,591.9,1595.0,2065.0,1783.5758070054944
Cows,520+,Processor,D,5,1,-1,240.0,240.0,240,-40.0,500.0,500.0,500.0,1560.0,1560.0,1560
Bulls,0-450,Processor,C,2,24,6,290.0,298.0,296.6666666666667,5.1,537.0,551.9,549.4,1276.0,1341.0,1330.1666666666667
Bulls,450-600,Processor,B,2,1,NQ,261.0,261.0,261,NQ,466.1,466.1,466.1,1252.8,1252.8,1252.800048828125
Bulls,450-600,Processor,C,2,7,-11,250.0,292.0,268,29.7,463.0,540.7,496.3,1250.0,1372.4,1302.4571707589287
Bulls,600+,Processor,B,2,9,8,265.0,280.0,268.77777777777777,8.8,473.2,500.0,480.0,1987.5,2324.0,2094.677788628472
Bulls,600+,Processor,B,3,13,4,246.0,277.0,270.38461538461536,9.1,439.3,494.6,482.8,2091.0,2720.0,2294.923058143029
Bulls,600+,Processor,C,2,12,-6,244.0,270.0,264.9166666666667,40.8,451.9,500.0,489.9,1674.0,2210.0,1755.4583333333333
Bulls,600+,Processor,C,3,2,1,250.0,260.0,255,10.0,463.0,472.7,467.8,2210.0,2437.5,2323.75
