Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 16/10/2024
Comparison Date: 09/10/2024
Total Yarding: 2327 (-643)
Commentary
"Numbers decreased by 643 for a yarding of 2327 cattle.  Quality was very mixed comprising of fewer numbers of heavy bullocks and cows, supported by several small lines of store steers and heifers with many lines reflecting the dry season.  All regular processors were in attendance and operating, supported by one live exporter, feeders and opportunity restockers. Demand for heavier well finished lines was firm, however lesser quality and lighter weight lines continued to struggle to attract buyer support. Cattle were drawn from Mt Isa to Richmond, north to Georgetown and south to the local area.

Values for all categories were reflective of quality, with better quality lines improving by up to 30c and lesser types being further discounted. Yearling heifers above 280kg to feed improved 16c to 38c, prime grown steers and bullocks improved 4c to 15c, prime heifers lifted 3c to 9c and prime cows averaged 5c to 6c lower.

Light restocker steers returning to the paddock averaged 268c to 307c, reaching a top of 317c, similar heifers to processors sold to 222c to average 192c/kg. Yearling steers above 200kg to backgrounders reached 300c, a good sample averaging 298c and secondary types averaged 267c/kg. Yearling steers above 280kg to live export sold to 284c to average 274c/kg. Yearling heifers to feed above 200kg averaged 195c to 208c, with heifers above 280kg making to 250c to average 227c to 241c/kg.

Grown steers above 400kg to processors averaged 272c to 299c reaching 306c, feeders averaged 258c/kg. A reduced number of grown heifers reached 286c to average 245c to 266c/kg.  A smaller supply of heavy full mouthed bullocks to export slaughter topped at 320c multiple times to average 286c to 304c/kg. Medium weight 2 score cows made to 218c to average 196c, 3 scores reached 264c to average 239c/kg. Heavy bulls to live export sold to 272c to average 268c/kg.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,500-600,Processor,D,3,17,12,266.0,280.0,271.7647058823529,5.8,501.9,528.3,512.8,1356.6,1414.0,1380.235294117647
Grown Heifer,0-540,Processor,C,3,5,4,266.0,266.0,266,4.0,511.5,511.5,511.5,1117.2,1117.2,1117.2
Grown Heifer,0-540,Processor,D,2,14,-41,192.0,248.0,221.57142857142858,11.3,384.0,496.0,441.8,763.0,967.2,800.1571437290737
Grown Heifer,0-540,Processor,D,3,47,32,224.0,286.0,245,4.2,448.0,572.0,482.2,806.4,1147.5,974.0340628116688
Grown Heifer,0-540,Processor,E,2,5,NQ,110.0,160.0,150,NQ,224.5,320.0,300.9,341.0,480.0,452.2
Cows,0-400,Feeder,D,1,14,-85,100.0,100.0,100,-66.9,222.2,222.2,222.2,325.0,325.0,325
Cows,0-400,Processor,D,1,60,8,100.0,170.0,152.4,-11.2,222.2,377.8,338.7,355.0,603.5,527.7699991861979
Cows,0-400,Processor,D,2,174,-48,140.0,236.0,184.58620689655172,4.6,308.7,502.1,400.3,523.6,928.0,684.1178195997217
Cows,0-400,Processor,D,3,51,39,228.0,244.0,232.4313725490196,41.6,485.1,519.1,494.5,865.8,963.8,901.094129375383
Cows,0-400,Processor,E,1,2,-2,10.0,10.0,10,-27.5,22.7,22.7,22.7,29.0,29.0,29
Cows,0-400,Processor,E,2,9,-43,30.0,146.0,89.55555555555556,-0.1,68.2,317.4,201.9,82.5,481.8,278.5333319769965
Cows,400-520,Feeder,D,2,1,NQ,100.0,100.0,100,NQ,212.8,212.8,212.8,430.0,430.0,430
Cows,400-520,Processor,D,2,47,-34,180.0,218.0,195.31914893617022,-4.6,391.3,473.9,422.3,729.0,882.9,804.8659603037732
Cows,400-520,Processor,D,3,258,-50,190.0,264.0,238.72868217054264,-6.2,404.3,538.8,500.6,820.0,1292.8,1049.9976756960846
Cows,520+,Processor,D,3,1,-13,260.0,260.0,260,NC,530.6,530.6,530.6,1378.0,1378.0,1378
Bulls,0-450,Feeder,D,2,16,-283,140.0,252.0,211.375,13.3,269.2,484.6,406.5,426.0,1116.0,838.9874877929688
Bulls,0-450,Feeder,D,3,9,NQ,250.0,250.0,250,NQ,471.7,471.7,471.7,950.0,950.0,950
Bulls,0-450,Feeder,E,2,4,2,80.0,100.0,95,-25.0,153.8,192.3,182.7,210.0,224.0,213.5
Bulls,0-450,Live Export,D,2,49,NQ,258.0,280.0,270,NQ,496.2,538.5,519.2,767.0,1082.3,946.693885024713
Bulls,0-450,Live Export,D,3,25,NQ,266.0,280.0,273.28,NQ,501.9,528.3,515.6,1085.3,1204.0,1152.4408203125
Bulls,0-450,Processor,D,2,13,1,128.0,238.0,164.92307692307693,4.9,246.2,457.7,324.4,268.8,880.6,509.6615318885216
Bulls,0-450,Processor,D,3,1,NQ,210.0,210.0,210,NQ,446.8,446.8,446.8,735.0,735.0,735
Bulls,0-450,Processor,E,2,2,NQ,86.0,100.0,93,NQ,168.6,192.3,180.5,309.6,420.0,364.8000030517578
Bulls,0-450,Restocker,D,2,30,-58,144.0,278.0,220,19.6,276.9,534.6,423.1,410.4,864.6,579.7700032552083
Bulls,450-600,Feeder,D,1,1,-3,100.0,100.0,100,-77.5,196.1,196.1,196.1,470.0,470.0,470
Bulls,450-600,Feeder,D,2,2,-17,158.0,158.0,158,-52.6,303.8,303.8,303.8,908.5,908.5,908.5
Bulls,450-600,Feeder,D,3,2,-3,258.0,258.0,258,32.8,486.8,486.8,486.8,1173.9,1173.9,1173.9000244140625
