Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,0-400,Processor,D,3,49,NQ,230.0,256.0,243.14285714285714,NQ,489.4,544.7,517.3,889.2,1024.0,961.624491788903
Cows,0-400,Restocker,D,1,22,NQ,120.0,182.0,173.54545454545453,NQ,266.7,404.4,385.7,342.0,591.5,557.4772727272727
Cows,400-520,Processor,D,2,14,-23,234.0,236.0,235.71428571428572,-5.0,497.9,502.1,501.5,947.7,1026.6,1015.3285173688616
Cows,400-520,Processor,D,3,112,-25,238.0,272.0,255.64285714285714,4.4,495.8,566.7,532.1,1012.6,1377.0,1176.463383265904
Cows,400-520,Restocker,D,2,12,NQ,182.0,260.0,253.5,NQ,387.2,553.2,539.4,773.5,1079.0,1053.5416666666667
Cows,520+,Processor,C,3,5,NQ,270.0,272.0,270.4,NQ,544.0,551.0,549.6,1496.0,1525.5,1519.6
Cows,520+,Processor,D,3,10,NQ,268.0,282.0,279.2,NQ,546.9,575.5,569.8,1487.4,1579.2,1560.8399658203125
Cows,520+,Processor,D,4,1,-18,290.0,290.0,290,7.0,580.0,580.0,580.0,1566.0,1566.0,1566
Bulls,0-450,Feeder,C,2,1,-8,260.0,260.0,260,20.0,500.0,500.0,500.0,832.0,832.0,832
Bulls,0-450,Feeder,D,2,30,-36,100.0,278.0,147.6,-72.3,196.1,534.6,286.2,245.0,1098.0,419.5133361816406
Bulls,0-450,Live Export,D,2,2,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,1125.0,1125.0,1125
Bulls,0-450,Processor,C,2,8,-1,230.0,230.0,230,-10.0,442.3,442.3,442.3,644.0,644.0,644
Bulls,0-450,Processor,D,2,5,-51,140.0,230.0,194,-35.5,274.5,442.3,375.2,518.0,724.5,641.9
Bulls,0-450,Processor,E,2,2,-1,200.0,200.0,200,42.7,384.6,384.6,384.6,880.0,880.0,880
Bulls,0-450,Restocker,C,2,24,10,220.0,322.0,252.5,8.9,423.1,619.2,485.6,429.0,701.8,539.8958333333334
Bulls,0-450,Restocker,D,2,47,11,152.0,252.0,205.87234042553192,-11.7,292.3,484.6,395.9,319.2,1083.6,562.391492478391
Bulls,450-600,Feeder,D,2,2,-12,140.0,140.0,140,-62.9,269.2,269.2,269.2,714.0,714.0,714
Bulls,450-600,Live Export,C,2,6,-15,266.0,266.0,266,-12.5,501.9,501.9,501.9,1409.8,1409.8,1409.8001302083333
Bulls,450-600,Live Export,D,3,9,NQ,238.0,294.0,256.44444444444446,NQ,449.1,554.7,478.9,1225.7,1635.6,1420.3999972873264
Bulls,450-600,Processor,C,3,4,NQ,236.0,236.0,236,NQ,429.1,429.1,429.1,1180.0,1180.0,1180
Bulls,450-600,Processor,D,3,1,-4,208.0,208.0,208,-3.6,392.5,392.5,392.5,1081.6,1081.6,1081.5999755859375
Bulls,450-600,Restocker,C,2,1,NQ,180.0,180.0,180,NQ,339.6,339.6,339.6,972.0,972.0,972
Bulls,600+,Feeder,C,2,3,NQ,248.0,248.0,248,NQ,467.9,467.9,467.9,1711.2,1711.2,1711.1998697916667
Bulls,600+,Live Export,C,3,14,10,276.0,280.0,279.7142857142857,32.7,511.1,518.5,518.0,2042.4,2156.0,2141.885716029576
Bulls,600+,Live Export,D,3,7,NQ,260.0,276.0,264.57142857142856,NQ,481.5,511.1,489.9,1659.2,2014.8,1750.6857212611608
Bulls,600+,Processor,C,3,2,-1,208.0,256.0,232,-20.0,378.2,474.1,426.1,1497.6,1920.0,1708.7999877929688
Bulls,600+,Processor,D,3,5,NQ,172.0,242.0,219.6,NQ,318.5,448.1,406.7,1186.8,1500.4,1389.600048828125
