Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 28/01/2025
Comparison Date: 21/01/2025
Total Yarding: 2567 (-689)
Commentary
"There were approximately 2060 export and 500 young cattle penned representing a decrease of 690 head week-on-week. The usual buying group was present and operating in a cheaper market in places. Quality was good with a large proportion of the yarding carrying plenty of finish. Trade cattle sold firm to 4c/kg easier. Grown steers and bullocks sold firm to slightly dearer. Manufacturing steers gave back 4c to 6c/kg. Heavy heifers eased 3c/kg. Cows eased 5c to 15c/kg. Heavy bulls gained 5c to 10c/kg. 

Vealers sold from 297c to 380c/kg. Yearling trade steers made between 330c and 375c/kg. Yearling heifers to the trade sold between 310c and 376c/kg. Grown steers made from 330c to 388c/kg. Bullocks sold from 348c to 396c/kg. 

Heavy Friesian manufacturing steers made between 250c and 325c with the crossbred portion between 300c and 374c/kg. Most light and medium weight cows sold between 200c and 272c/kg. Heavy weight cows made mostly from 234c to 302c/kg. Heavy bulls sold from 275c to 320c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Manufacturing Steer,540+,Dairy,D,2,179,-82,290.0,325.0,305.659217877095,-4.5,556.6,620.0,584.4,1885.0,2437.5,2177.6201117318437
Manufacturing Steer,540+,Dairy,D,3,61,23,250.0,298.0,279.7704918032787,-9.2,471.7,573.1,534.6,2015.0,2309.5,2205.1065573770493
Manufacturing Steer,540+,Dairy,E,2,31,19,286.0,306.0,299.0967741935484,4.8,584.0,612.0,603.6,1573.0,2117.0,1822.8387096774193
Manufacturing Steer,540+,Feeder,D,2,8,NQ,335.0,335.0,335,NQ,632.1,632.1,632.1,1926.3,1926.3,1926.25
Manufacturing Steer,540+,Processor,C,4,3,NQ,350.0,350.0,350,NQ,648.1,648.1,648.1,3325.0,3325.0,3325
Manufacturing Steer,540+,Processor,D,1,14,NQ,295.0,308.0,304.2857142857143,NQ,590.0,592.3,591.6,1652.0,2079.0,1957
Manufacturing Steer,540+,Processor,D,2,90,11,300.0,342.0,320.2,-5.1,576.9,645.3,610.1,1749.0,2565.0,2106.6988891601563
Manufacturing Steer,540+,Processor,D,3,93,-47,343.0,374.0,353.8494623655914,-4.2,635.2,692.6,656.7,1892.0,2790.0,2355.9112903225805
Manufacturing Steer,540+,Processor,D,4,1,NQ,292.0,292.0,292,NQ,584.0,584.0,584.0,2190.0,2190.0,2190
Manufacturing Steer,540+,Processor,D,5,2,NQ,270.0,270.0,270,NQ,500.0,500.0,500.0,2565.0,2565.0,2565
Manufacturing Steer,540+,Processor,E,2,11,NQ,312.0,312.0,312,NQ,624.0,624.0,624.0,1794.0,1794.0,1794
Manufacturing Steer,540+,Restocker,D,2,6,2,320.0,330.0,326.6666666666667,21.9,603.8,622.6,616.4,1840.0,1897.5,1878.3333333333333
