Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Processor,D,4,15,NQ,315.0,331.6,327.17333984375,NQ,594.3,614.1,608.8,1480.5,1525.4,1513.397265625
Grown Heifer,0-540,Processor,E,2,10,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,1056.0,1056.0,1056
Grown Heifer,0-540,Restocker,C,2,11,NQ,314.6,325.6,324.60000055486506,NQ,593.6,614.3,612.5,1497.8,1510.1,1498.879960493608
Grown Heifer,0-540,Restocker,D,2,2,NQ,285.0,285.0,285,NQ,548.1,548.1,548.1,1282.5,1282.5,1282.5
Grown Heifer,0-540,Restocker,D,3,6,NQ,280.0,285.0,281.6666666666667,NQ,528.3,537.7,531.4,1282.5,1344.0,1323.5
Grown Heifer,540+,Processor,C,3,12,NQ,325.0,328.0,327.25,NQ,601.9,607.4,606.0,1836.8,1885.0,1848.85009765625
Grown Heifer,540+,Processor,C,4,25,NQ,320.0,325.0,324.2,NQ,590.9,601.9,599.9,1856.0,2210.0,1893.36
Grown Heifer,540+,Processor,D,3,29,NQ,255.0,322.0,298.4689657277074,NQ,481.1,596.3,558.6,1453.5,1965.4,1726.9669147359914
Grown Heifer,540+,Processor,D,4,27,NQ,294.0,322.0,312.9259259259259,NQ,554.7,596.3,581.0,1690.5,2059.2,1788.0110857928241
Grown Heifer,540+,Restocker,D,3,5,NQ,300.0,300.0,300,NQ,566.0,566.0,566.0,1740.0,1740.0,1740
Cows,0-400,Dairy,D,2,6,NQ,210.0,210.0,210,NQ,446.8,446.8,446.8,798.0,798.0,798
Cows,0-400,Dairy,E,1,10,NQ,150.0,170.0,162,NQ,348.8,395.3,376.7,570.0,646.0,615.6
Cows,0-400,Processor,E,1,1,NQ,80.0,80.0,80,NQ,181.8,181.8,181.8,160.0,160.0,160
Cows,0-400,Restocker,E,2,3,NQ,230.0,230.0,230,NQ,489.4,489.4,489.4,805.0,805.0,805
Cows,400-520,Dairy,E,1,3,-24,150.0,150.0,150,-81.9,357.1,357.1,357.1,750.0,750.0,750
Cows,400-520,Dairy,E,2,28,NQ,195.0,212.0,200.9857177734375,NQ,443.2,480.9,455.3,799.5,1038.8,848.270002092634
Cows,400-520,Processor,D,1,10,1,150.0,215.0,202.5,-62.5,326.1,438.8,418.7,720.0,1096.5,1028.25
Cows,400-520,Processor,D,2,10,-17,240.0,245.6,241.52000122070314,-31.3,470.6,491.2,477.4,1105.2,1248.0,1216.67998046875
Cows,400-520,Processor,D,3,1,-12,210.0,210.0,210,-84.0,411.8,411.8,411.8,1050.0,1050.0,1050
Cows,400-520,Processor,E,1,15,9,165.6,193.6,188.86666870117188,-51.1,368.0,420.9,411.1,794.9,943.5,878.5960042317708
