Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Naracoorte
Report Date: 27/08/2024
Comparison Date: 
Total Yarding: 655 (NQ)
Commentary
" Cattle numbers increased by 200 with 655 yarded this week. Numbers were made up of 411 young cattle, 229 cows 5 grown bulls and a few open auction young cattle. Quality was mixed with well finished processing cattle in limited numbers, but with a few pens of grain assisted steers and heifers penned. The usual buying group attended and operated in a similar market on the grown steers and heifers, dearer on the few quality pens off grain to be up by 10c to 20/kg. Vealers and yearlings sold to the trade from 260c to 405c for the better types. Cows generally eased 10c to 20c on last week’s high levels with bulls selling to 300c to be a little dearer. 

Young cattle sold to the trade from 260 to 405c with feeders paying from 240c to 406c/kg. Plainer types sold from 80c to 180c/kg. 

Light and medium weight grown steers sold from 340c to 392c with feeders paying from 345c to 365c. Heavy steers sold to the trade from 382c to 400c. Medium weight grown heifers sold from 270c to 388c with heavy weights selling from 318c to 388c/kg. Feeders and restockers paid from 265f to 365c/kg. 

Light 1 and 2 score cows sold from 100c to 170c. Medium weight 2 and 3 score cows sold from 130 to 240c with the heavy 3 and 4 score cows selling from 308c to 350c, and  the 1 and 2 scores selling from 140c to 306c/kg. Medium bulls sold from 140c to 162, heavy weights sold from 290c to 300c with feeders paying from 140c to 270c/kg. 


Market Reporter - Graham Pymer."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,600-750,Processor,C,4,14,NQ,382.0,400.0,392.2857142857143,NQ,694.5,727.3,713.2,2387.5,2620.0,2520.3571428571427
Grown Heifer,0-540,Feeder,D,2,5,3,255.0,255.0,255,-91.0,490.4,490.4,490.4,1083.8,1083.8,1083.75
Grown Heifer,0-540,Feeder,D,3,1,NQ,330.0,330.0,330,NQ,622.6,622.6,622.6,1650.0,1650.0,1650
Grown Heifer,0-540,Processor,C,3,9,NQ,376.0,376.0,376,NQ,709.4,709.4,709.4,1974.0,1974.0,1974
Grown Heifer,0-540,Processor,D,2,6,-5,270.0,270.0,270,-18.6,540.0,540.0,540.0,1350.0,1417.5,1361.25
Grown Heifer,0-540,Restocker,D,2,13,9,304.0,304.0,304,59.0,608.0,608.0,608.0,1444.0,1444.0,1444
Grown Heifer,540+,Feeder,C,3,6,NQ,365.0,365.0,365,NQ,663.6,663.6,663.6,2098.8,2098.8,2098.75
Grown Heifer,540+,Processor,C,3,34,NQ,318.0,380.0,355.29411764705884,NQ,588.9,703.7,662.4,1860.3,2223.0,2038.8411362591912
Grown Heifer,540+,Processor,C,4,77,NQ,331.0,388.0,357.2597402597403,NQ,613.0,705.5,659.3,1989.0,2289.2,2146.220779220779
Cows,0-400,Processor,D,1,2,NQ,170.0,170.0,170,NQ,404.8,404.8,404.8,510.0,510.0,510
Cows,0-400,Processor,E,1,16,10,100.0,132.0,130,-65.0,238.1,314.3,309.5,385.0,528.0,519.0625
Cows,400-520,Processor,D,1,11,5,130.0,222.0,183.63636363636363,-66.4,325.0,500.0,413.4,585.0,1090.0,851.3272816051136
