Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Dalby
Report Date: 06/11/2024
Comparison Date: 
Total Yarding: 5943 (NQ)
Commentary
"The number of cattle penned at Dalby increased by 1,782 head to 5,943. Once again this week there was another large run of 642 head from one vendor in New South Wales. Large numbers of heavy bullocks continued to come forward. A fair panel of buyers covering all classes was present and active however the southern export processors were absent.

Young cattle varied in price according to the quality penned however most were firm to slightly better. Despite the large supply all classes of bullocks experienced strong competition. Cows were firm to 3c to 4c/kg better.

Light weight yearling steers returning to the paddock made to 440c with most sales from 383c to 386c/kg. Yearling steers to feed for the domestic market made to 395c to average from 361c to 381c/kg. Heavy weight yearling steers to feed averaged 356c with a few pens to 374c/kg. Light weight yearling heifers to restockers made to 334c with most from 292c to 310c/kg. Medium weight yearling heifers to feed made to 344c to average from 310c to 315c/kg. Heavy weight yearling heifers to feed averaged 312c with sales to 342c/kg.

Heavy grown steers to export processors averaged 341c and sold to 344c/kg. Bullocks made to 344c to average 339/kg. A large run of full mouth bullocks made to 330c to average 311c/kg some returning $2,389/head.   Medium weight 2 score cows averaged 250c and made to 266c/kg. Heavy weight 3 score cows averaged 275c and the best of the cows made to 295c to average 287c/kg. Heavy weight bulls made to 315c/kg.      

Market Reporter, Trevor Hess."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Processor,C,4,50,NQ,320.0,325.0,322.08,NQ,603.8,613.2,607.7,1664.0,1716.0,1691.5912109375
Grown Heifer,540+,Processor,C,4,6,2,320.2,322.2,321.8666687011719,-0.3,604.2,607.9,607.3,1761.1,1884.9,1864.2415974934895
Cows,0-400,Processor,D,1,8,-2,220.2,220.2,220.1999969482422,0.2,500.5,500.5,500.5,847.8,847.8,847.77001953125
Cows,0-400,Processor,D,2,8,-13,238.2,238.2,238.1999969482422,8.0,517.8,517.8,517.8,948.0,948.0,948.0360107421875
Cows,0-400,Processor,E,1,1,NQ,130.0,130.0,130,NQ,295.5,295.5,295.5,478.4,478.4,478.3999938964844
Cows,0-400,Restocker,D,1,82,NQ,210.0,220.0,219.7560975609756,NQ,477.3,500.0,492.0,772.2,847.0,799.395126714939
Cows,0-400,Restocker,D,2,48,NQ,230.2,238.2,236.53333028157553,NQ,517.8,523.2,518.9,778.9,917.1,820.4698893229166
Cows,0-400,Restocker,E,1,3,-1,118.2,122.2,120.86666361490886,8.7,268.6,277.7,274.7,425.5,439.9,435.12000528971356
Cows,400-520,Processor,D,1,26,7,170.0,232.2,216.95384216308594,6.6,386.4,527.7,493.1,765.0,986.8,921.2670616736779
Cows,400-520,Processor,D,2,213,140,223.2,266.2,249.80563619550963,-3.8,469.4,578.7,531.8,948.6,1291.1,1106.2969661229092
Cows,400-520,Processor,D,3,12,4,266.2,273.2,270.28334554036456,-1.7,543.3,557.6,551.6,1229.4,1237.8,1232.9125162760417
Cows,400-520,Processor,D,4,9,-7,281.0,281.0,281,-1.3,551.0,551.0,551.0,1348.8,1348.8,1348.800021701389
Cows,400-520,Restocker,D,1,11,NQ,138.2,212.2,176.54545454545453,NQ,314.1,482.3,401.2,621.9,901.8,765.1590909090909
Cows,400-520,Restocker,D,2,14,NQ,258.2,258.2,258.2000209263393,NQ,561.3,561.3,561.3,1200.6,1200.6,1200.630161830357
Cows,520+,Processor,D,2,5,-19,245.0,265.0,257,-3.1,532.6,576.1,558.7,1310.8,1391.3,1354.15
Cows,520+,Processor,D,3,188,100,270.0,278.2,275.4468127311544,4.0,551.0,567.8,562.1,1428.0,1766.6,1582.4970131732048
Cows,520+,Processor,D,4,162,86,280.0,295.2,286.86297306013694,3.1,549.0,578.8,562.5,1470.0,2095.2,1857.4752604166667
Bulls,0-450,Feeder,C,2,30,-3,278.0,310.2,295.98667602539064,15.7,505.5,564.0,538.2,1181.5,1318.3,1257.943359375
Bulls,0-450,Feeder,D,2,2,NQ,182.2,182.2,182.1999969482422,NQ,331.3,331.3,331.3,774.3,774.3,774.3499755859375
Bulls,0-450,Restocker,C,2,36,28,240.0,352.2,284.0055643717448,19.8,436.4,640.4,516.4,528.0,853.8,682.5880533854166
Bulls,450-600,Feeder,C,2,5,-79,280.0,301.2,289.12000732421876,12.2,509.1,547.6,525.7,1358.0,1460.8,1396.3880126953125
Bulls,600+,Feeder,C,3,16,NQ,292.0,292.0,292,NQ,521.4,521.4,521.4,2000.2,2000.2,2000.199951171875
Bulls,600+,Processor,C,2,2,NC,256.2,256.2,256.20001220703125,12.6,465.8,465.8,465.8,1601.3,1601.3,1601.25
Bulls,600+,Processor,C,3,95,-22,260.0,315.0,296.3221120733964,9.1,472.7,571.3,534.1,1651.0,3059.6,2383.319188168174
