Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 10/04/2024
Comparison Date: 03/04/2024
Total Yarding: 1650 (+706)
Commentary
"Numbers increased by 660 for a yarding of 1610 cattle.  Quality improved throughout, comprising of several good lines of heavy prime cows along with some good quality store steers and heifers. Buyer demand improved with two additional processors operating along with one live exporter, a regular feeder and several opportunity restockers and backgrounders.  Cattle were drawn from Richmond to Tully, with many from the local area.

Light steers returning to the paddock sold to 320c, while similar heifers reached 238c to average 232c/kg and processor types averaged 226c/kg. Yearling steers above 200kg to restockers made to 314c to average 273c, those above 280kg averaged 261c/kg.  Yearling steers above 330kg to feed averaged 258c, a small number of similar weight yearling heifers averaged 248c/kg.  Good quality heavy grown steers to the trade sold to 276c to average 270c/kg.  Heavy grown heifers to the trade reached 250c to average from 228c to 245c/kg.

A small sample of heavy bullocks to export slaughter sold to 258c. Medium weight 3 score cows sold to 232c to average 213c/kg. Prime heavyweight cows topped at 234c to average from 219c to 230c/kg.  Heavy bulls to live export sold to 278c, most from 260c to 266c/kg.

Cows and calves sold from $860 to $980 per unit.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,520+,Processor,D,3,2,-3,218.0,218.0,218,-10.0,427.5,427.5,427.5,1209.9,1209.9,1209.9000244140625
Calves,80+,Restocker,D,2,15,NQ,280.0,314.0,295.8666666666667,NQ,538.5,603.8,569.0,308.0,376.8,340.1066569010417
Bulls,0-450,Feeder,C,3,1,NQ,240.0,240.0,240,NQ,452.8,452.8,452.8,996.0,996.0,996
Bulls,0-450,Feeder,D,2,20,NQ,180.0,268.0,252.9,NQ,346.2,515.4,486.3,369.0,1148.1,711.035009765625
Bulls,0-450,Feeder,D,3,2,NQ,252.0,252.0,252,NQ,475.5,475.5,475.5,1071.0,1071.0,1071
Bulls,0-450,Feeder,E,2,3,NQ,170.0,170.0,170,NQ,333.3,333.3,333.3,578.0,578.0,578
Bulls,0-450,Live Export,C,3,1,NQ,266.0,266.0,266,NQ,492.6,492.6,492.6,1090.6,1090.6,1090.5999755859375
Bulls,0-450,Live Export,D,2,1,-45,250.0,250.0,250,-10.3,480.8,480.8,480.8,687.5,687.5,687.5
Bulls,0-450,Restocker,C,2,26,22,180.0,296.0,262.6923076923077,12.7,346.2,569.2,505.2,358.8,724.5,524.8961463341346
Bulls,0-450,Restocker,D,2,32,24,210.0,280.0,251.6875,118.9,403.8,538.5,484.0,377.0,644.0,491.9562530517578
Bulls,450-600,Feeder,C,2,1,NQ,260.0,260.0,260,NQ,490.6,490.6,490.6,1482.0,1482.0,1482
Bulls,450-600,Feeder,C,3,1,NQ,254.0,254.0,254,NQ,479.2,479.2,479.2,1206.5,1206.5,1206.5
Bulls,450-600,Feeder,D,3,3,NQ,220.0,276.0,247.33333333333334,NQ,415.1,520.8,463.8,1122.0,1451.4,1285.6000162760417
Bulls,450-600,Feeder,E,3,1,NQ,228.0,228.0,228,NQ,422.2,422.2,422.2,1322.4,1322.4,1322.4000244140625
Bulls,450-600,Live Export,C,3,1,NQ,260.0,260.0,260,NQ,490.6,490.6,490.6,1482.0,1482.0,1482
Bulls,450-600,Live Export,D,3,3,NQ,260.0,268.0,264,NQ,490.6,505.7,498.1,1326.6,1531.2,1411.9333089192708
Bulls,450-600,Processor,D,3,1,-8,204.0,204.0,204,-57.8,377.8,377.8,377.8,1040.4,1040.4,1040.4000244140625
Bulls,600+,Feeder,C,3,7,NQ,268.0,274.0,268.85714285714283,NQ,496.3,498.2,496.6,1929.6,2027.6,1943.5999407087054
Bulls,600+,Feeder,D,3,2,NQ,180.0,252.0,216,NQ,333.3,466.7,400.0,1134.0,1549.8,1341.9000244140625
Bulls,600+,Live Export,C,3,10,NQ,268.0,278.0,274.8,NQ,496.3,514.8,503.3,1695.8,1904.4,1846.2800537109374
Bulls,600+,Processor,B,3,3,NQ,238.0,238.0,238,NQ,432.7,432.7,432.7,1737.4,1737.4,1737.4000651041667
Bulls,600+,Processor,C,3,6,-2,240.0,246.0,241,0.5,436.4,447.3,438.2,1704.0,1857.3,1729.5500081380208
