Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Bairnsdale
Report Date: 06/06/2024
Comparison Date: 30/05/2024
Total Yarding: 497 (+37)
Commentary
"There were approximately 380 export and 120 young cattle penned representing an increase of 40 head week-on-week. Most of the usual buying group was present and operating in a dearer market in places. Quality improved with more prime cattle and fewer cows. Trade cattle sold to stronger demand however there were too few yarded previously for comparison. Grown steers and bullocks sold firm. Manufacturing steers sold up to 30c/kg dearer. Cows kicked 20c to 40c/kg. Heavy bulls sold firm. 

Vealers sold from 244c to 322c/kg. A sprinkling of yearling trade steers reached 330c/kg. A small but good selection of yearling heifers to the trade made between 290c and 310c/kg. Grown steers and bullocks sold between 270c and 331c/kg. A good quality selection of grown heifers with finish made from 280c to 320c/kg. 

Heavy manufacturing steers sold from 250c to 322c/kg. Most light and medium weight cows made between 155c and 242c/kg. Heavy weight cows sold mostly between 192c and 285c/kg. Heavy bulls sold between 212c and 247c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,400-520,Processor,C,2,3,NQ,255.0,255.0,255,NQ,542.6,542.6,542.6,1275.0,1275.0,1275
Cows,400-520,Processor,D,1,25,-9,166.0,222.0,210.96,41.5,368.9,493.3,468.8,693.9,1105.6,1020.524833984375
Cows,400-520,Processor,D,2,10,1,213.0,242.0,234.5,38.3,453.2,510.6,495.7,1082.0,1222.1,1168.0479858398437
Cows,400-520,Processor,E,1,27,-5,160.0,170.0,166.40740740740742,21.7,381.0,404.8,391.5,652.8,823.0,734.3336769386574
Cows,400-520,Restocker,D,1,3,-2,185.0,204.0,197.66666666666666,17.7,411.1,443.5,432.7,906.5,999.6,968.566650390625
Cows,400-520,Restocker,E,1,26,9,226.0,226.0,226,86.9,513.6,513.6,513.6,998.9,998.9,998.9199969951923
Cows,520+,Dairy,D,1,5,-29,192.0,192.0,192,13.4,426.7,426.7,426.7,1142.4,1142.4,1142.4
Cows,520+,Dairy,E,1,6,1,182.0,182.0,182,21.2,433.3,433.3,433.3,997.4,997.4,997.3600260416666
Cows,520+,Processor,C,2,1,NQ,260.0,260.0,260,NQ,520.0,520.0,520.0,1612.0,1612.0,1612
Cows,520+,Processor,C,3,1,NC,280.0,280.0,280,30.0,538.5,538.5,538.5,1666.0,1666.0,1666
Cows,520+,Processor,D,1,21,2,200.0,214.0,208.95238095238096,36.5,434.8,475.6,458.7,1098.3,1191.1,1163.2571382068452
Cows,520+,Processor,D,2,13,-17,225.0,245.0,243.15384615384616,35.3,478.7,508.3,500.1,1336.5,1489.6,1450.0076434795674
Cows,520+,Processor,D,3,19,-6,252.0,278.0,261.05263157894734,33.4,504.0,556.0,527.6,1461.6,1723.6,1602.20947265625
Cows,520+,Processor,D,4,24,-2,270.0,285.0,278.0416666666667,37.9,519.2,548.1,536.4,1520.4,2050.7,1863.2170511881511
Bulls,600+,Processor,B,2,1,NQ,247.0,247.0,247,NQ,425.9,425.9,425.9,2136.6,2136.6,2136.550048828125
Bulls,600+,Processor,C,2,8,2,212.0,228.0,219.75,-0.6,378.6,414.5,397.8,1505.0,2272.5,1836.1937408447266
