Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Heifer,200-280,Processor,C,2,42,NQ,180.0,240.0,218.23809523809524,NQ,346.2,461.5,419.7,420.0,672.0,557.3142903645834
Vealer Heifer,200-280,Processor,D,2,1,NQ,180.0,180.0,180,NQ,346.2,346.2,346.2,468.0,468.0,468
Vealer Heifer,200-280,Restocker,C,2,41,NQ,228.0,270.0,249.70731707317074,NQ,438.5,519.2,480.2,513.0,702.0,617.2585315239139
Vealer Heifer,200-280,Restocker,D,2,37,1,208.0,242.0,225.2972972972973,35.2,400.0,465.4,433.3,468.0,590.0,515.5945945945946
Manufacturing Steer,0-540,Feeder,C,3,2,NQ,292.0,292.0,292,NQ,540.7,540.7,540.7,1562.2,1562.2,1562.199951171875
Manufacturing Steer,0-540,Feeder,D,2,1,NC,238.0,238.0,238,-24.0,457.7,457.7,457.7,1166.2,1166.2,1166.199951171875
Manufacturing Steer,0-540,Live Export,D,2,1,NQ,284.0,284.0,284,NQ,535.8,535.8,535.8,1434.2,1434.2,1434.199951171875
Manufacturing Steer,0-540,Processor,C,3,2,NQ,280.0,280.0,280,NQ,518.5,518.5,518.5,1442.0,1442.0,1442
Manufacturing Steer,0-540,Processor,D,3,8,NQ,274.0,280.0,277.25,NQ,517.0,520.8,519.4,1283.4,1484.0,1383.1500091552734
Manufacturing Steer,0-540,Restocker,C,2,6,NQ,270.0,270.0,270,NQ,509.4,509.4,509.4,1390.5,1390.5,1390.5
Manufacturing Steer,540+,Live Export,C,3,1,NQ,303.0,303.0,303,NQ,561.1,561.1,561.1,1696.8,1696.8,1696.800048828125
Manufacturing Steer,540+,Live Export,C,4,9,NQ,302.0,306.0,302.8888888888889,NQ,549.1,566.7,553.0,1866.6,2083.8,2035.5333930121528
Manufacturing Steer,540+,Live Export,D,3,6,NQ,280.0,280.0,280,NQ,518.5,518.5,518.5,1764.0,1764.0,1764
Manufacturing Steer,540+,Processor,C,3,1,NQ,270.0,270.0,270,NQ,500.0,500.0,500.0,1539.0,1539.0,1539
Manufacturing Steer,540+,Processor,C,4,12,NQ,310.0,310.0,310,NQ,563.6,563.6,563.6,1875.5,1875.5,1875.5
Manufacturing Steer,540+,Processor,C,5,10,NQ,280.0,280.0,280,NQ,509.1,509.1,509.1,1666.0,1708.0,1678.6
Manufacturing Steer,540+,Processor,D,3,16,13,290.0,290.0,290,18.0,537.0,537.0,537.0,1624.0,1624.0,1624
Manufacturing Steer,540+,Processor,D,4,1,NQ,290.0,290.0,290,NQ,527.3,527.3,527.3,2001.0,2001.0,2001
Grown Steer,0-400,Feeder,D,2,1,NC,222.0,222.0,222,2.0,435.3,435.3,435.3,865.8,865.8,865.7999877929688
Grown Steer,400-500,Feeder,C,2,32,NQ,288.0,293.0,292.53125,NQ,543.4,563.5,561.6,1310.4,1318.5,1317.7406311035156
Grown Steer,400-500,Feeder,D,2,54,38,242.0,296.0,293.037037037037,27.3,474.5,569.2,563.9,1052.7,1391.2,1289.2036946614583
Grown Steer,400-500,Live Export,D,3,6,NQ,274.0,274.0,274,NQ,526.9,526.9,526.9,1328.9,1328.9,1328.9000651041667
Grown Steer,400-500,Processor,C,2,3,NQ,284.0,284.0,284,NQ,535.8,535.8,535.8,1178.6,1178.6,1178.5999348958333
Grown Steer,400-500,Processor,C,3,6,NQ,270.0,270.0,270,NQ,509.4,509.4,509.4,1296.0,1296.0,1296
Grown Steer,400-500,Processor,D,2,13,NQ,292.0,292.0,292,NQ,550.9,550.9,550.9,1270.2,1270.2,1270.199969951923
Grown Steer,400-500,Processor,D,3,8,4,272.0,272.0,272,26.0,513.2,513.2,513.2,1156.0,1156.0,1156
Grown Steer,400-500,Restocker,C,2,8,NQ,294.0,294.0,294,NQ,554.7,554.7,554.7,1352.4,1352.4,1352.4000244140625
Grown Steer,400-500,Restocker,D,3,6,NQ,286.0,286.0,286,NQ,539.6,539.6,539.6,1344.2,1344.2,1344.199951171875
Grown Steer,500-600,Feeder,D,3,7,NQ,284.0,284.0,284,NQ,535.8,535.8,535.8,1491.0,1491.0,1491
Grown Steer,500-600,Live Export,D,2,15,NQ,276.0,276.0,276,NQ,530.8,530.8,530.8,1421.4,1421.4,1421.4
Grown Steer,500-600,Processor,C,3,4,NQ,294.0,294.0,294,NQ,554.7,554.7,554.7,1572.9,1572.9,1572.9000244140625
Grown Steer,500-600,Processor,D,3,16,NQ,284.0,284.0,284,NQ,535.8,535.8,535.8,1462.6,1462.6,1462.5999755859375
Grown Heifer,0-540,Feeder,D,1,3,NQ,150.0,240.0,210,NQ,300.0,480.0,420.0,457.5,768.0,664.5
Grown Heifer,0-540,Feeder,D,2,30,27,220.0,225.0,222.16666666666666,82.2,432.7,440.0,436.8,726.0,843.8,777.025
Grown Heifer,0-540,Processor,D,2,15,12,230.0,230.0,230,-14.0,442.3,442.3,442.3,816.5,816.5,816.5
Grown Heifer,0-540,Processor,D,3,7,6,222.0,250.0,232.28571428571428,-25.7,426.9,480.8,448.0,876.9,1200.0,964.385724748884
Grown Heifer,0-540,Restocker,D,2,2,-69,220.0,220.0,220,-13.5,440.0,440.0,440.0,682.0,682.0,682
Cows,0-400,Feeder,D,1,50,42,100.0,180.0,161.96,55.2,222.2,391.3,358.9,340.0,657.0,549.8679858398438
Cows,0-400,Feeder,D,2,9,NQ,160.0,178.0,173.33333333333334,NQ,355.6,387.0,376.8,592.0,694.2,648.2777777777778
Cows,0-400,Processor,D,1,3,2,186.0,192.0,190,10.0,404.3,426.7,419.2,641.7,720.0,693.9000040690104
Cows,0-400,Processor,D,2,79,53,176.0,220.0,198.48101265822785,1.9,374.5,468.1,423.5,616.0,847.0,748.3886038864715
Cows,0-400,Restocker,D,2,39,NQ,168.0,213.0,194.89743589743588,NQ,365.2,453.2,416.1,604.8,841.3,755.1500025040065
Cows,0-400,Restocker,E,2,1,NQ,88.0,88.0,88,NQ,195.6,195.6,195.6,272.8,272.8,272.79998779296875
Cows,400-520,Feeder,D,2,1,NQ,156.0,156.0,156,NQ,331.9,331.9,331.9,717.6,717.6,717.5999755859375
Cows,400-520,Processor,C,2,8,NQ,238.0,242.0,239,NQ,495.8,504.2,497.9,1052.7,1130.5,1111.0499877929688
Cows,400-520,Processor,C,3,1,-15,242.0,242.0,242,-14.0,484.0,484.0,484.0,1149.5,1149.5,1149.5
Cows,400-520,Processor,C,4,3,NQ,232.0,232.0,232,NQ,454.9,454.9,454.9,1171.6,1171.6,1171.5999348958333
Cows,400-520,Processor,D,2,17,-13,180.0,224.0,203.64705882352942,-29.0,383.0,476.6,433.3,769.5,907.2,833.0058737362133
Cows,400-520,Processor,D,3,191,125,182.0,241.0,223.9633507853403,-27.2,379.2,491.8,459.2,764.4,1236.0,1056.6376886018284
Cows,400-520,Processor,E,2,1,NQ,150.0,150.0,150,NQ,326.1,326.1,326.1,615.0,615.0,615
Cows,400-520,Processor,E,3,2,NQ,222.0,228.0,225,NQ,472.3,475.0,473.7,1010.1,1037.4,1023.75
Cows,520+,Processor,C,3,5,-4,236.0,236.0,236,-16.0,462.7,462.7,462.7,1239.0,1239.0,1239
Cows,520+,Processor,D,4,28,NQ,240.0,250.0,244.64285714285714,NQ,461.5,490.2,474.8,1325.0,1368.0,1348.0357142857142
Calves,80+,Restocker,C,2,12,NQ,254.0,302.0,274,NQ,488.5,580.8,526.9,355.6,362.4,358.43332926432294
Calves,80+,Restocker,D,2,41,NQ,200.0,250.0,240.609756097561,NQ,384.6,480.8,462.7,266.5,437.5,366.1341463414634
Bulls,0-450,Feeder,D,1,1,NQ,150.0,150.0,150,NQ,294.1,294.1,294.1,532.5,532.5,532.5
Bulls,0-450,Feeder,D,2,14,-16,190.0,270.0,250.57142857142858,53.8,365.4,519.2,481.9,798.0,1088.0,967.3000008719308
Bulls,0-450,Feeder,E,2,1,NC,170.0,170.0,170,-18.0,333.3,333.3,333.3,416.5,416.5,416.5
Bulls,0-450,Live Export,C,2,32,NQ,260.0,276.0,270,NQ,500.0,530.8,519.2,819.0,1062.6,971.25
Bulls,0-450,Live Export,D,2,64,NQ,230.0,278.0,259.40625,NQ,442.3,534.6,499.0,701.5,1223.8,912.6812591552734
Bulls,0-450,Processor,E,2,1,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,480.0,480.0,480
Bulls,0-450,Restocker,C,2,3,NQ,260.0,260.0,260,NQ,500.0,500.0,500.0,754.0,754.0,754
Bulls,0-450,Restocker,D,2,23,-8,200.0,300.0,264.3478260869565,63.4,384.6,576.9,508.4,451.0,510.0,495.39130434782606
Bulls,450-600,Feeder,C,2,1,NQ,276.0,276.0,276,NQ,520.8,520.8,520.8,1600.8,1600.8,1600.800048828125
Bulls,450-600,Feeder,C,3,1,NQ,270.0,270.0,270,NQ,500.0,500.0,500.0,1458.0,1458.0,1458
Bulls,450-600,Feeder,D,2,9,-3,248.0,270.0,267.55555555555554,25.1,476.9,519.2,514.5,1202.8,1255.5,1249.6444498697917
Bulls,450-600,Feeder,D,3,5,1,212.0,270.0,241.4,-8.6,400.0,509.4,452.1,964.6,1326.0,1221.3199951171875
Bulls,450-600,Live Export,C,2,3,NQ,278.0,290.0,286,NQ,524.5,547.2,539.6,1473.4,1493.5,1486.8000081380208
Bulls,450-600,Live Export,C,3,9,NQ,280.0,280.0,280,NQ,518.5,518.5,518.5,1428.0,1428.0,1428
Bulls,450-600,Live Export,D,2,1,NQ,272.0,272.0,272,NQ,523.1,523.1,523.1,1237.6,1237.6,1237.5999755859375
Bulls,450-600,Processor,C,3,5,NC,286.0,286.0,286,26.0,539.6,539.6,539.6,1344.2,1344.2,1344.2
Bulls,450-600,Processor,D,3,9,NQ,260.0,260.0,260,NQ,481.5,481.5,481.5,1391.0,1391.0,1391
Bulls,600+,Live Export,C,3,20,NQ,272.0,290.0,279.2,NQ,485.7,527.3,510.0,1753.6,2244.0,1992.3399963378906
Bulls,600+,Processor,C,3,6,-2,258.0,270.0,268,11.5,469.1,490.9,487.3,1883.4,2362.5,2244.4000040690103
Bulls,600+,Processor,D,3,2,NC,262.0,267.0,264.5,10.5,485.2,494.4,489.8,1788.9,1820.9,1804.9000244140625
