Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CQLX Gracemere
Report Date: 04/12/2024
Comparison Date: 27/11/2024
Total Yarding: 3929 (+332)
Commentary
"There was further increase in numbers of 332 head, to 3929 head at CQLX Gracemere cattle sale. Cattle were again sourced from the usual draw areas with several lines on offer in most categories. One more processor operated, along with the return of one feed lot buyer. There were several different restockers also operating. There were quality related increases in most categories from last week, along with improvements in feeder steer and well finished processor cow lines above last sale rates.

Light weight yearling steers, in well bred pens, sold to 423c/kg, averaging 320c to 377c/kg for well-bred lines. Medium and heavy pens reached a top of 419c/kg, to average 357c to 389c/kg for the best-bred lots. Light weight yearling heifers averaged 252c to 281c/kg with sales reaching 320c/kg occasionally. Medium weight pens sold to 335c/kg with averages from 289c to 317c/kg attained.    

Feedlots paid to 420c/kg for their Grown steers, averaging 345c to 386c/kg for the best. A few bullocks sold to processors to average 310c to 327c/kg. The best of the trade heifers averaged 293c to 320c/kg. Feeders paid averages from 260c to 299c/kg for their grown heifers.

The best of the restocker cows made from 227c to 248c/kg, whilst, heavy, four score cows sold to 294c/kg, averaging 282c/kg. Heavy bulls averaged 281c/kg to Livex and 245c/kg to processors. Cows and calves held to sell from $1,160 to $1,500 per unit. 
Reporter: Richard Thomson."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Steer,200-280,Restocker,D,2,9,NQ,285.0,353.0,292.55555555555554,NQ,548.1,678.8,562.6,584.3,741.3,601.6999986436632
Vealer Heifer,0-200,Feeder,C,2,8,NQ,240.0,240.0,240,NQ,461.5,461.5,461.5,444.0,444.0,444
Vealer Heifer,0-200,Feeder,D,2,18,NQ,200.0,233.0,223.38888888888889,NQ,384.6,448.1,429.6,336.0,385.0,376.3416748046875
Vealer Heifer,0-200,Processor,E,2,1,NQ,120.0,120.0,120,NQ,230.8,230.8,230.8,180.0,180.0,180
Vealer Heifer,0-200,Restocker,C,2,7,NQ,237.0,251.0,247,NQ,455.8,482.7,475.0,343.6,476.9,438.8285696847098
Vealer Heifer,0-200,Restocker,D,1,3,NQ,163.0,163.0,163,NQ,313.5,313.5,313.5,203.8,203.8,203.75
Vealer Heifer,0-200,Restocker,D,2,6,4,185.0,253.0,240.66666666666666,7.7,355.8,486.5,462.8,259.0,464.4,397.62501017252606
Vealer Heifer,200-280,Feeder,D,2,1,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,460.0,460.0,460
Vealer Heifer,200-280,Processor,C,2,1,NQ,287.0,287.0,287,NQ,551.9,551.9,551.9,674.5,674.5,674.4500122070312
Vealer Heifer,200-280,Processor,D,2,1,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,500.0,500.0,500
Vealer Heifer,200-280,Restocker,C,2,1,NQ,293.0,293.0,293,NQ,563.5,563.5,563.5,630.0,630.0,629.9500122070312
Manufacturing Steer,540+,Processor,D,3,7,6,281.0,281.0,281,21.0,530.2,530.2,530.2,2107.5,2107.5,2107.5
Grown Steer,0-400,Feeder,C,2,56,15,331.0,419.0,386.30357142857144,30.8,635.8,805.8,742.5,1112.1,1612.0,1498.8892996651787
Grown Steer,0-400,Feeder,C,3,5,NQ,361.0,361.0,361,NQ,681.1,681.1,681.1,1444.0,1444.0,1444
Grown Steer,0-400,Feeder,D,2,26,-88,240.0,321.0,283.34615384615387,-34.5,461.5,617.3,544.9,636.0,1284.0,910.1269155649038
Grown Steer,0-400,Restocker,C,2,17,11,312.0,387.0,355.05882352941177,-11.9,600.0,744.2,682.8,1138.8,1373.8,1244.558837890625
Grown Steer,0-400,Restocker,D,1,1,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,798.0,798.0,798
