Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,520+,Processor,C,4,12,NQ,254.0,260.0,257,NQ,498.0,509.8,503.9,1371.6,1456.0,1396.4666341145833
Cows,520+,Processor,D,3,6,NQ,255.0,255.0,255,NQ,510.0,510.0,510.0,1402.5,1402.5,1402.5
Cows,520+,Processor,D,4,4,NQ,260.0,260.0,260,NQ,509.8,509.8,509.8,1443.0,1443.0,1443
Calves,80+,Live Export,D,2,25,NQ,46.0,46.0,46,NQ,88.5,88.5,88.5,57.5,64.4,63.572001953125
Calves,80+,Restocker,D,2,175,153,35.0,190.0,130.54285714285714,-141.5,68.6,365.4,251.2,45.5,330.6,188.86285522460938
Bulls,0-450,Feeder,C,2,29,8,200.0,238.0,201.31034482758622,-67.0,384.6,449.1,386.8,690.0,1059.1,702.7275853650324
Bulls,0-450,Feeder,D,1,5,NQ,40.0,140.0,109.2,NQ,78.4,274.5,214.1,138.0,532.0,424.8
Bulls,0-450,Feeder,D,2,11,-6,110.0,236.0,201.27272727272728,-56.4,211.5,453.8,387.1,467.5,967.6,742.30908203125
Bulls,0-450,Feeder,D,3,1,NQ,216.0,216.0,216,NQ,415.4,415.4,415.4,928.8,928.8,928.7999877929688
Bulls,0-450,Feeder,E,2,1,NQ,140.0,140.0,140,NQ,269.2,269.2,269.2,546.0,546.0,546
Bulls,0-450,Live Export,C,2,41,19,218.0,236.0,221.5609756097561,-27.0,419.2,453.8,426.1,588.6,849.6,661.3780517578125
Bulls,0-450,Live Export,C,3,3,NQ,268.0,268.0,268,NQ,505.7,505.7,505.7,1152.4,1152.4,1152.4000651041667
Bulls,0-450,Live Export,D,2,17,-2,200.0,220.0,210.58823529411765,-9.7,384.6,423.1,405.0,594.0,610.0,601.5294117647059
Bulls,0-450,Processor,C,2,29,NQ,210.0,230.0,213.72413793103448,NQ,403.8,442.3,411.0,472.5,770.5,517.9758490200701
Bulls,0-450,Processor,D,2,50,7,140.0,210.0,208.4,18.5,269.2,403.8,400.8,287.0,730.0,337.86
Bulls,0-450,Restocker,C,2,30,6,228.0,250.0,240.06666666666666,-9.9,438.5,480.8,461.7,478.8,601.8,580.1566650390625
Bulls,0-450,Restocker,D,2,87,-52,50.0,228.0,162.80459770114942,-15.8,96.2,438.5,313.1,137.5,547.2,272.45402649627334
Bulls,0-450,Restocker,E,2,10,NQ,60.0,60.0,60,NQ,115.4,115.4,115.4,84.0,84.0,84
Bulls,450-600,Feeder,C,2,1,-5,240.0,240.0,240,-23.7,452.8,452.8,452.8,1416.0,1416.0,1416
Bulls,450-600,Feeder,C,3,5,4,240.0,260.0,254.4,-13.6,444.4,481.5,471.1,1188.0,1411.2,1315.439990234375
Bulls,450-600,Feeder,D,1,1,NQ,140.0,140.0,140,NQ,274.5,274.5,274.5,728.0,728.0,728
Bulls,450-600,Feeder,D,2,2,1,110.0,130.0,120,10.0,211.5,254.9,233.2,599.5,689.0,644.25
Bulls,450-600,Feeder,D,3,1,-9,180.0,180.0,180,-61.0,333.3,333.3,333.3,1071.0,1071.0,1071
Bulls,450-600,Live Export,D,3,4,NC,266.0,266.0,266,-8.0,501.9,501.9,501.9,1423.1,1423.1,1423.0999755859375
Bulls,600+,Feeder,C,3,3,NQ,264.0,264.0,264,NQ,480.0,480.0,480.0,1821.6,1821.6,1821.5999348958333
Bulls,600+,Live Export,C,3,1,NQ,270.0,270.0,270,NQ,490.9,490.9,490.9,1687.5,1687.5,1687.5
Bulls,600+,Processor,C,2,1,NQ,220.0,220.0,220,NQ,415.1,415.1,415.1,1628.0,1628.0,1628
Bulls,600+,Processor,C,3,2,-4,220.0,232.0,226,-19.7,400.0,429.6,414.8,1507.0,1531.2,1519.0999755859375
Bulls,600+,Processor,D,3,1,NQ,198.0,198.0,198,NQ,366.7,366.7,366.7,1227.6,1227.6,1227.5999755859375
