Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 25/03/2025
Comparison Date: 18/03/2025
Total Yarding: 2788 (-254)
Commentary
"There were approximately 2440 export and 350 young cattle penned representing a decrease of 250 head week-on-week. The usual buying group was present and operating in a dearer market. Quality declined with more secondary cattle and a large proportion of cows. Young cattle lifted up to 30c/kg with processors competing for finished lots and feedlots and graziers working to secure suitable lines. Grown steers to feed lifted 10c/kg while bullocks lifted 4c/kg. Manufacturing steers sold firm to 7c/kg dearer. Cows lifted 5c to 15c/kg. Heavy bulls held firm. 

Vealers sold from 300c to 388c/kg. Yearling trade steers made between 336c and 422c/kg. Yearling heifers to the trade sold between 330c and 388c/kg. Grown steers made from 350c to 404c/kg. Bullocks sold from 372c to 418c/kg. 

Heavy Friesian manufacturing steers made between 268c and 356c with the crossbred portion between 311c and 385c/kg. Most light and medium weight cows sold between 202c and 275c/kg. Heavy weight cows made mostly from 237c to 342c/kg. Heavy bulls sold from 302c to 344c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Steer,280-330,Restocker,C,2,11,NQ,330.0,330.0,330,NQ,611.1,611.1,611.1,990.0,990.0,990
Vealer Steer,330+,Feeder,C,2,3,2,350.0,350.0,350,8.0,636.4,636.4,636.4,1260.0,1260.0,1260
Vealer Steer,330+,Processor,B,3,1,-8,388.0,388.0,388,24.3,680.7,680.7,680.7,1455.0,1455.0,1455
Vealer Steer,330+,Processor,C,3,12,3,380.0,388.0,382.6666666666667,28.3,678.6,692.9,689.5,1425.0,1520.0,1450.8333333333333
Vealer Heifer,200-280,Processor,D,2,3,NQ,262.0,262.0,262,NQ,545.8,545.8,545.8,733.6,733.6,733.5999348958334
Vealer Heifer,280-330,Processor,D,3,2,NQ,300.0,300.0,300,NQ,555.6,555.6,555.6,975.0,975.0,975
Vealer Heifer,280-330,Restocker,B,2,1,NQ,352.0,352.0,352,NQ,628.6,628.6,628.6,1144.0,1144.0,1144
Vealer Heifer,280-330,Restocker,D,2,3,NQ,298.0,298.0,298,NQ,562.3,562.3,562.3,894.0,894.0,894
Vealer Heifer,330+,Processor,B,3,4,-2,378.0,378.0,378,14.3,651.7,651.7,651.7,1417.5,1417.5,1417.5
Vealer Heifer,330+,Processor,C,3,8,2,364.0,377.0,375.375,24.0,650.0,685.5,681.0,1394.9,1456.0,1402.5374755859375
