Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Manufacturing Steer,0-540,Processor,D,2,8,NQ,258.0,296.0,291.25,NQ,496.2,569.2,560.1,1186.8,1391.2,1365.6499328613281
Manufacturing Steer,0-540,Processor,D,3,29,26,270.0,324.0,311.0344827586207,57.0,509.4,611.3,586.5,1053.0,1652.4,1495.144842739763
Manufacturing Steer,0-540,Processor,D,4,2,-5,330.0,330.0,330,42.0,611.1,611.1,611.1,1716.0,1716.0,1716
Manufacturing Steer,540+,Processor,C,4,19,13,310.0,338.0,330.3157894736842,54.3,563.6,614.5,607.0,2095.6,2449.0,2126.6842876233554
Manufacturing Steer,540+,Processor,C,5,1,NQ,282.0,282.0,282,NQ,512.7,512.7,512.7,2425.2,2425.2,2425.199951171875
Manufacturing Steer,540+,Processor,D,3,22,8,296.0,331.0,326.09090909090907,41.1,548.1,624.5,613.3,1624.1,1886.7,1865.3544367009943
Manufacturing Steer,540+,Processor,D,5,3,NQ,268.0,321.0,300.3333333333333,NQ,487.3,583.6,546.1,1527.6,2262.0,1969.4000244140625
Grown Steer,0-400,Feeder,D,2,1,NQ,188.0,188.0,188,NQ,368.6,368.6,368.6,695.6,695.6,695.5999755859375
Grown Steer,0-400,Processor,D,2,20,15,138.0,288.0,256.7,26.7,270.6,553.8,493.9,503.7,1123.2,987.2499969482421
Grown Steer,0-400,Processor,D,3,1,NQ,286.0,286.0,286,NQ,550.0,550.0,550.0,1015.3,1015.3,1015.2999877929688
Grown Steer,400-500,Feeder,C,2,48,20,316.0,326.0,321,21.9,596.2,615.1,605.7,1501.0,1564.8,1532.9000651041667
Grown Steer,400-500,Feeder,D,2,30,17,246.0,308.0,301.6,27.6,473.1,592.3,580.0,1008.6,1355.9,1302.8833455403646
Grown Steer,400-500,Feeder,D,3,1,NQ,250.0,250.0,250,NQ,471.7,471.7,471.7,1237.5,1237.5,1237.5
Grown Steer,400-500,Processor,C,2,2,1,290.0,290.0,290,20.0,547.2,547.2,547.2,1421.0,1421.0,1421
Grown Steer,400-500,Processor,D,2,32,28,268.0,296.0,292.1875,44.7,515.4,569.2,558.3,1112.2,1247.0,1218.7437591552734
Grown Steer,400-500,Processor,D,3,46,34,264.0,318.0,292.8695652173913,17.5,498.1,600.0,558.1,1186.9,1544.4,1368.800024944803
Grown Steer,400-500,Processor,E,3,2,NQ,268.0,268.0,268,NQ,505.7,505.7,505.7,1165.8,1165.8,1165.800048828125
Grown Steer,500-600,Processor,C,3,21,19,316.0,324.0,321.3333333333333,33.3,585.2,600.0,595.1,1611.6,1636.2,1627.9999534970239
Grown Heifer,0-540,Feeder,C,2,6,NQ,252.0,278.0,256.3333333333333,NQ,484.6,545.1,494.7,982.8,1098.1,1002.0166625976562
Grown Heifer,0-540,Feeder,D,2,11,NQ,258.0,262.0,258.72727272727275,NQ,516.0,524.0,517.5,1008.7,1019.1,1017.2090398615056
Grown Heifer,0-540,Feeder,D,3,5,NQ,262.0,262.0,262,NQ,503.8,503.8,503.8,1074.2,1074.2,1074.2
Grown Heifer,0-540,Processor,C,3,45,43,260.0,302.0,285.55555555555554,15.6,500.0,569.8,544.4,995.6,1419.4,1268.1444769965278
Grown Heifer,0-540,Processor,D,2,9,-176,224.0,268.0,253.33333333333334,64.3,487.0,525.5,512.6,851.2,1005.0,953.7333441840278
Grown Heifer,0-540,Processor,D,3,22,-19,250.0,282.0,266.90909090909093,19.0,480.8,564.0,535.0,911.2,1126.4,1058.1000172008169
Cows,0-400,Feeder,D,1,22,NQ,90.0,196.0,186.45454545454547,NQ,200.0,435.6,420.0,328.5,627.2,565.1681906960227
Cows,0-400,Feeder,D,2,19,NQ,176.0,198.0,190.52631578947367,NQ,382.6,430.4,419.9,660.0,714.4,707.9053248355264
Cows,0-400,Feeder,E,2,1,NQ,170.0,170.0,170,NQ,377.8,377.8,377.8,433.5,433.5,433.5
Cows,0-400,Processor,D,1,12,1,186.0,218.0,189.66666666666666,42.0,413.3,473.9,420.6,585.9,817.5,622.6000162760416
Cows,0-400,Processor,D,2,100,-10,172.0,258.0,225.26,56.4,373.9,560.9,492.9,645.0,1006.2,838.0620013427734
Cows,0-400,Processor,D,3,10,-9,230.0,238.0,234,24.5,489.4,506.4,497.9,862.5,940.1,901.3
Cows,0-400,Processor,E,1,1,NQ,196.0,196.0,196,NQ,445.5,445.5,445.5,568.4,568.4,568.4000244140625
Cows,0-400,Processor,E,2,3,-2,194.0,194.0,194,90.0,431.1,431.1,431.1,669.3,669.3,669.2999674479166
Cows,400-520,Processor,C,3,19,13,254.0,270.0,267.89473684210526,11.9,508.0,551.0,543.4,1104.9,1390.5,1348.9157907586348
Cows,400-520,Processor,D,2,55,27,212.0,258.0,248.07272727272726,29.6,451.1,560.9,530.6,858.6,1131.6,1037.9727183948864
Cows,400-520,Processor,D,3,164,-3,214.0,284.0,258.4207317073171,18.2,445.8,591.7,534.0,898.8,1430.0,1184.8817149836843
Cows,400-520,Processor,D,4,7,3,250.0,256.0,255.14285714285714,5.1,500.0,512.0,510.3,1075.0,1305.6,1272.6570870535713
Cows,520+,Processor,C,3,16,NQ,266.0,282.0,281,NQ,532.0,552.9,551.6,1409.8,1551.0,1542.1750030517578
Cows,520+,Processor,C,4,12,5,278.0,278.0,278,13.0,534.6,534.6,534.6,1584.6,1834.8,1813.9500630696614
Cows,520+,Processor,C,5,4,NQ,242.0,242.0,242,NQ,456.6,456.6,456.6,1790.8,1790.8,1790.800048828125
Cows,520+,Processor,D,3,27,NQ,270.0,286.0,272.25925925925924,NQ,540.0,563.3,544.1,1417.5,1587.3,1456.8685438368057
Calves,80+,Restocker,D,2,15,NQ,188.0,188.0,188,NQ,361.5,361.5,361.5,291.4,291.4,291.4
Bulls,0-450,Feeder,C,2,11,NC,208.0,234.0,222.54545454545453,-17.3,400.0,450.0,428.0,738.4,877.5,786.2182173295455
Bulls,0-450,Feeder,D,2,91,85,140.0,238.0,198.92307692307693,8.9,269.2,457.7,382.5,259.0,900.6,651.6747181651357
Bulls,0-450,Processor,C,2,42,NQ,226.0,238.0,229.8095238095238,NQ,434.6,457.7,441.9,571.2,631.8,620.1428629557291
Bulls,0-450,Processor,D,2,63,60,186.0,250.0,227.11111111111111,16.4,357.7,480.8,436.8,424.2,570.0,522.9095255533854
Bulls,0-450,Restocker,C,2,16,10,234.0,242.0,234.5,-13.8,450.0,465.4,451.0,479.7,496.1,480.7250003814697
Bulls,0-450,Restocker,D,2,232,159,150.0,290.0,237.08620689655172,12.7,288.5,557.7,455.9,150.0,573.3,397.7314655698579
Bulls,0-450,Restocker,E,2,6,NQ,88.0,88.0,88,NQ,169.2,169.2,169.2,132.0,132.0,132
Bulls,450-600,Feeder,C,2,4,NQ,216.0,236.0,225.5,NQ,415.4,450.0,431.5,1216.8,1309.8,1268.8500366210938
Bulls,450-600,Feeder,D,1,1,NQ,148.0,148.0,148,NQ,290.2,290.2,290.2,680.8,680.8,680.7999877929688
Bulls,450-600,Feeder,D,2,14,11,202.0,230.0,206.57142857142858,34.2,388.5,442.3,397.3,939.3,1115.5,965.4142717633929
Bulls,450-600,Feeder,D,3,3,NQ,192.0,250.0,230.66666666666666,NQ,355.6,471.7,433.0,1113.6,1225.0,1187.8666585286458
Bulls,450-600,Processor,D,2,1,NC,168.0,168.0,168,-30.0,323.1,323.1,323.1,856.8,856.8,856.7999877929688
Bulls,450-600,Processor,D,3,11,10,206.0,214.0,209.63636363636363,-12.4,381.5,403.8,391.6,1059.3,1081.5,1071.409090909091
Bulls,600+,Feeder,C,2,4,NQ,206.0,230.0,224,NQ,388.7,434.0,422.6,1266.9,1449.0,1403.4750061035156
Bulls,600+,Feeder,C,3,9,5,150.0,260.0,231.33333333333334,-16.7,277.8,481.5,425.1,975.0,1914.0,1611
Bulls,600+,Feeder,D,3,1,-12,200.0,200.0,200,-51.8,370.4,370.4,370.4,1270.0,1270.0,1270
Bulls,600+,Processor,C,3,5,NQ,260.0,260.0,260,NQ,481.5,481.5,481.5,1768.0,1768.0,1768
Bulls,600+,Processor,D,3,1,-12,268.0,268.0,268,3.1,496.3,496.3,496.3,1849.2,1849.2,1849.199951171875
Bulls,600+,Restocker,C,3,1,NQ,272.0,272.0,272,NQ,533.3,533.3,533.3,1849.6,1849.6,1849.5999755859375
