Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 21/01/2025
Comparison Date: 
Total Yarding: 2100 (NQ)
Commentary
"There were 1440 exports of that 820 cows and 735 trade cattle were penned. The beef cows had plenty of weight and condition. There were fewer good quality grown steers about this week. Feedlotter and store buyers although still very present throughout the sale were not as fierce this week resulting in prices coming back. 

The majority of buyers were at the rails but several exporters were not operating. Overall, prices came back across all export categories, the trade cattle had mixed results. The best of the finished young cattle going to processors remained firm, while plainer young cattle were all back 10c to 30c/kg.

There were larger lines of slightly under done and Euro cross cattle yarded. The best of the vealers made to 379c/kg. The yearling steers to the trade made from 330c to 370c/kg to average 336c/kg. Feeder steers made from 300c to 350c/kg. The yearling heifers to the trade made from 280c to 360c/kg. The plainer store cattle were 6c to 30c/kg cheaper.

Friesian steers made from 270c to 310c/kg. The 500 to 600kg steers ranged from 312/kg to 358c/kg, which was down 13c to 20c/kg. The 600kg plus bullocks  made from 315c to 357c/kg, which was 10c to 20c/kg cheaper. The heavy beef cows were 7c to 18c/kg lower and made from 267c to 308c/kg to av 298c/kg for the D4’s. Heavy Dairy cows ranged from 240c to 277c/kg, also selling at lower rates to last sale."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,400-520,Processor,D,3,14,-23,288.0,288.0,288,4.9,564.7,564.7,564.7,1437.1,1437.1,1437.1199776785713
Cows,520+,Dairy,D,1,77,-19,240.0,287.0,257.2077922077922,-6.6,558.1,623.9,581.2,1464.0,1879.8,1601.8538834212663
Cows,520+,Dairy,D,2,38,NQ,268.0,278.0,273.2631578947368,NQ,595.6,604.3,599.2,1718.8,1959.9,1847.4526624177631
Cows,520+,Dairy,D,3,6,-13,277.0,277.0,277,-19.0,589.4,589.4,589.4,1454.3,1454.3,1454.25
Cows,520+,Dairy,E,1,10,-23,245.0,245.0,245,11.2,569.8,569.8,569.8,1347.5,1347.5,1347.5
Cows,520+,Processor,C,4,32,-4,305.0,308.0,306.3125,-10.8,581.1,586.5,584.2,1955.8,1967.3,1962.2406616210938
Cows,520+,Processor,D,1,50,NQ,267.0,267.0,267,NQ,568.1,568.1,568.1,1401.8,1401.8,1401.75
Cows,520+,Processor,D,2,5,NQ,280.0,280.0,280,NQ,560.0,560.0,560.0,1470.0,1470.0,1470
Cows,520+,Processor,D,3,8,-17,282.0,282.0,282,-19.2,575.5,575.5,575.5,1551.0,1551.0,1551
Cows,520+,Processor,D,4,177,128,280.0,307.0,297.85310734463275,-7.3,537.7,590.4,571.6,1667.3,1949.4,1809.3197662870762
Bulls,450-600,Processor,C,1,2,NQ,295.0,295.0,295,NQ,556.6,556.6,556.6,1622.5,1622.5,1622.5
Bulls,600+,Processor,C,1,4,NQ,302.0,302.0,302,NQ,569.8,569.8,569.8,1963.0,1963.0,1963
