Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Moss Vale
Report Date: 15/01/2025
Comparison Date: 08/01/2025
Total Yarding: 1562 (+35)
Commentary
"Numbers doubled, and the market remained strong for the 1547 fair to good quality cattle. Young cattle returning to the paddock made up half of the offering. The weaner steers were up to 20c better, topping at 462c, and the heifer portion reached 364c/kg.
The limited supply of prime yearlings with shape to suit the trade, price unchanged, making from 292c to 436c/kg. Feeder steers were up to 20c cheaper, quality related, selling from 288c to 383c/kg. There was strong competition from both the feedlot buyers and restockers for some outstanding lines of yearling heifers, both averaging 327c/kg.

There were some good runs of heavy grown cattle selling to a dearer trend. Steers making from 294c to 355c, and the heifers made from 272c to 352c/kg. There was a total of 200 cows, with the 2 and 3 scores to process up to 15c dearer, ranging from 240c to 296c, and the heavy prime cows were firm, topping at 312c/kg.  Heavy bulls to process sold from 280c to 316c/kg.
David Kent Market Reporter"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,600-750,Feeder,D,3,3,NQ,294.0,294.0,294,NQ,554.7,554.7,554.7,1778.7,1778.7,1778.6998697916667
Grown Steer,600-750,Processor,C,3,40,37,326.0,355.0,342.3,2.3,603.7,657.4,633.9,1972.3,2592.6,2193.449987792969
Grown Steer,750+,Processor,C,3,1,NC,348.0,348.0,348,22.0,644.4,644.4,644.4,2940.6,2940.6,2940.60009765625
Grown Heifer,0-540,Feeder,C,2,4,NC,305.0,305.0,305,NC,575.5,575.5,575.5,1586.0,1586.0,1586
Grown Heifer,0-540,Processor,C,2,2,NQ,315.0,315.0,315,NQ,594.3,594.3,594.3,1669.5,1669.5,1669.5
Grown Heifer,0-540,Processor,C,3,2,NQ,316.0,316.0,316,NQ,596.2,596.2,596.2,1611.6,1611.6,1611.5999755859375
Grown Heifer,540+,Processor,C,3,48,29,304.0,352.0,330.875,6.6,563.0,640.0,614.9,1787.1,2499.2,2062.897923787435
Grown Heifer,540+,Processor,D,3,10,NQ,272.0,330.0,319.1,NQ,513.2,611.1,595.2,1509.6,1930.5,1853.8800170898437
Cows,400-520,Processor,D,2,6,NQ,245.0,245.0,245,NQ,544.4,544.4,544.4,992.3,992.3,992.25
Cows,400-520,Processor,D,3,30,28,240.0,292.0,270.1,15.1,533.3,621.3,583.0,1128.0,1489.2,1319.559989420573
Cows,400-520,Restocker,D,2,15,NQ,250.0,268.0,262.1333333333333,NQ,555.6,595.6,582.5,1250.0,1353.4,1312.4066731770833
Cows,520+,Processor,D,3,59,44,277.0,296.0,288.64406779661016,6.0,589.4,629.8,614.4,1468.1,1896.3,1642.064424159163
Cows,520+,Processor,D,4,84,38,298.0,312.0,305.4642857142857,0.2,616.3,646.8,628.8,1827.1,2308.8,2033.8386986142114
Cows,520+,Restocker,D,2,7,NQ,276.0,276.0,276,NQ,600.0,600.0,600.0,1614.6,1614.6,1614.6000279017858
Bulls,450-600,Processor,C,1,1,NC,290.0,290.0,290,35.0,491.5,491.5,491.5,1653.0,1653.0,1653
Bulls,600+,Processor,B,1,13,10,290.0,305.0,295.0769230769231,5.1,483.3,508.3,491.8,1947.0,2623.0,2369.761512169471
Bulls,600+,Processor,B,2,8,3,302.0,316.0,308,8.0,496.8,509.7,503.9,2165.5,3397.0,2711.7937927246094
Bulls,600+,Processor,C,2,2,NC,280.0,280.0,280,-8.0,474.6,474.6,474.6,2408.0,2408.0,2408
