Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 29/04/2024
Comparison Date: 22/04/2024
Total Yarding: 1975 (+430)
Commentary
"There was an increase in supply despite the cow numbers falling by half. Young cattle were well supplied however there was a limited supply of well finished grown steers and heifers. The quality of the offering was quite mixed with condition also varying. The majority of the buyers were in attendance with some commission orders absent.

There were varying trends through the young cattle with the lighter end of the weaner steers to restock selling to cheaper trends. The heavier weights over 280kg sold to dearer trends to show strong gains in places. There was little change in the weaner heifers to restock. Secondary quality yearling steers to restock and feed sold to cheaper trends while the higher quality lines saw a firm to dearer trend with improvements of as much as 10c/kg on the heavy weights. Quality accounted for price change in some classes. Medium and heavy weight yearling heifers sold to dearer trends despite reduced competition. The keenly sought lines saw improvements of 15c to 30c on some of the breed specific sales. Well finished heavy trade cattle sold to dearer trends on a limited supply.

There were too few heavy grown steers to quote. Well finished grown heifers to process sold to dearer trends, the lack of heavy steers contributing. There was little but quality related price change in the cow market with restockers active on the plainer condition lines."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Processor,D,3,5,NC,190.0,190.0,190,-28.4,372.5,372.5,372.5,921.5,921.5,921.5
Grown Heifer,0-540,Restocker,D,2,24,21,184.0,236.0,200.25,8.3,368.0,472.0,400.5,666.4,873.2,768.9750111897787
Grown Heifer,540+,Processor,C,3,1,NQ,270.0,270.0,270,NQ,519.2,519.2,519.2,1485.0,1485.0,1485
Grown Heifer,540+,Processor,C,4,6,3,255.0,255.0,255,3.0,481.1,481.1,481.1,1466.3,1466.3,1466.25
Cows,0-400,Processor,D,2,8,-12,120.0,120.0,120,2.9,266.7,266.7,266.7,456.0,456.0,456
Cows,0-400,Restocker,D,2,11,NQ,159.0,159.0,159,NQ,353.3,353.3,353.3,604.2,604.2,604.2000177556819
Cows,400-520,Processor,D,2,46,31,144.0,200.0,174.17391304347825,20.6,320.0,444.4,386.7,590.4,1000.0,824.0173804241678
Cows,400-520,Processor,D,3,36,-12,183.0,200.0,195.44444444444446,1.4,389.4,416.7,409.5,887.5,1040.0,985.0916612413195
Cows,400-520,Processor,D,4,1,-3,175.0,175.0,175,-15.0,372.3,372.3,372.3,910.0,910.0,910
Cows,400-520,Restocker,D,2,71,-191,180.0,205.0,190.19718309859155,7.7,400.0,455.6,422.7,768.6,963.5,897.6535180320202
