Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Blackall
Report Date: 13/06/2024
Comparison Date: 30/05/2024
Total Yarding: 5148 (-626)
Commentary
"With the inclusion of the Santa and Santa Infused Feature Sale Blackall Agents yarded 5,148 head of quality well bred cattle. All the regular feedlotters and backgrounders present with an extra processor in the export market. The market was firm to slightly dearer for the quality pens however secondary cattle struggled.

Light weight yearling steers sold from 188c to 370c/kg. Yearling steers 200 to 280kg improved almost 20c/kg and made to 382c/kg. Yearling steers 280 to 330kg also gained and sold to 368c/kg. Yearling steers 330 to 400kg with the majority selling from 160c to 332c/kg. Yearling steers 400 to 480kg topped 334c and averaged 314c and over 480kg made to 252c/kg.

Light weight yearling heifers under 200kg sold to 264c/kg. Yearling heifers 200 to 280kg improved and sold from 204c to 312c/kg. Yearling heifers 280 to 330kg sold to 276c/kg. Yearling heifers 330 to 400kg to feed made to 272c/kg. Yearling heifers 400 to 480kg also to feed made to 252c with heifers over 480kg selling to 240c/kg.

Grown steers 500 to 600kg made from 220c to 246c to processors and 304c/kg to feed. Grown steers over 600kg made to 246c/kg. Grown heifers over 540kg topped 230c/kg with the majority selling from 195c to 206c/kg.

The 2 score cows selling from 100c to 198c/kg. The 3 score cows topped 220c/kg. Bulls under 450kg sold from 220c to 318c/kg. Bulls 450 to 600kg made to 214c and bulls over 600kg made to 234c/kg.

Market Reporter David Friend"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,500-600,Processor,C,2,11,10,220.0,246.2,240.1818154074929,0.2,415.1,473.9,456.4,1211.1,1428.0,1326.778164950284
Grown Steer,500-600,Processor,C,3,22,NQ,176.2,236.2,220.92726828835228,NQ,332.5,445.7,416.8,969.1,1417.2,1305.5408380681818
Grown Steer,500-600,Processor,D,3,1,NQ,170.2,170.2,170.1999969482422,NQ,321.1,321.1,321.1,864.6,864.6,864.6160278320312
Grown Steer,600-750,Feeder,C,2,9,NC,304.2,304.2,304.20000542534723,84.0,574.0,574.0,574.0,1849.5,1849.5,1849.5360243055557
Grown Steer,600-750,Processor,C,3,124,103,225.0,246.2,238.0645140371015,-16.1,424.5,464.5,449.2,1395.0,1633.4,1559.1280970419607
Grown Steer,600-750,Processor,D,2,1,NQ,170.0,170.0,170,NQ,320.8,320.8,320.8,1105.0,1105.0,1105
Grown Heifer,0-540,Feeder,C,2,1,-115,220.0,220.0,220,-33.1,415.1,415.1,415.1,1144.0,1144.0,1144
Grown Heifer,0-540,Feeder,C,3,1,NQ,160.0,160.0,160,NQ,326.5,326.5,326.5,720.0,720.0,720
Grown Heifer,0-540,Processor,C,2,13,7,140.0,192.2,188.18460787259616,-61.8,285.7,392.2,384.1,630.0,864.9,846.8308293269231
Grown Heifer,0-540,Processor,C,3,47,NQ,195.2,206.2,203.2680832883145,NQ,398.4,420.8,414.8,1015.0,1064.2,1030.6246675531916
Grown Heifer,540+,Feeder,C,3,8,NQ,220.2,230.2,222.69999313354492,NQ,415.5,434.3,420.2,1233.1,1289.1,1247.1199645996094
Grown Heifer,540+,Processor,C,3,23,NQ,217.2,220.0,217.32173488451087,NQ,434.4,449.0,435.0,1232.0,1303.2,1300.1042798913043
