Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 17/07/2024
Comparison Date: 10/07/2024
Total Yarding: 2188 (+137)
Commentary
"Numbers increased by 137 head for a yarding of 2188 cattle. Quality was mixed comprising of some well finished bullocks and cows and several smaller lines of steers and heifers. Processor attendance included one southern operator supported by one live exporter, one feeder and opportunity backgrounders and restockers. Cattle were drawn from Burketown to Tully and south to the local area.

Demand for better quality lines was firm, with lesser quality lines difficult to sell. Steers and bullocks lifted 16c to 30c, cows improved 9c to 14c and bulls lifted by 30c to 70c/kg.

Steer calves and vealer steers returning to the paddock sold to 272c, similar heifers to processors made to 220c/kg. Yearling steers above 200kg to grass reached 258c to average 239c, those above 280kg averaged 263c and steers to feed averaged 256c/kg. Steers above 330kg to live export sold to 244c, while steers to feed averaged 242c/kg. Good quality steers to backgrounders reached 282c to average 277c/kg. Yearling heifers above 280kg to processors made to 244c to average 227c, those above 330kg averaged 233c/kg. A small sample to feed averaged 223c/kg. 

An increased number of grown steers to feed sold to 266c, better quality trade types made to 292c, most averaging 257c to 282c/kg. Grown  heifers to the trade sold to 277c, a good sample averaging from 248c to 251c/kg.

Heavy full mouthed bullocks to export slaughter topped at 290c, most averaging from 266c to 274c/kg. Medium weight 2 score cows sold to 210c to average 194c, 3 score cows topped at 260c to average from 234c to 250c/kg.  Heavy bulls to processors sold to 260c to average 246c/kg and bulls to feed destined for live export sold to 274c to average 268c/kg.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,400-500,Feeder,D,2,19,NQ,246.0,270.0,268.7368421052632,NQ,473.1,519.2,516.8,1045.5,1201.5,1193.2894736842106
Grown Steer,400-500,Processor,C,3,30,25,260.0,274.0,264.2,20.6,481.5,517.0,490.2,1205.6,1287.8,1244.446671549479
Grown Steer,400-500,Processor,C,4,20,NQ,282.0,282.0,282,NQ,522.2,522.2,522.2,1381.8,1381.8,1381.8
Grown Steer,400-500,Processor,D,2,12,8,252.0,252.0,252,23.5,484.6,484.6,484.6,1045.8,1045.8,1045.800048828125
Grown Steer,400-500,Processor,D,3,18,15,243.0,274.0,257.1111111111111,-24.9,458.5,517.0,485.1,1032.8,1300.8,1183.6111178927952
Grown Steer,500-600,Processor,C,3,5,1,274.0,292.0,288.4,16.4,507.4,540.7,534.1,1452.2,1489.2,1481.799951171875
Grown Steer,500-600,Processor,C,4,15,NQ,282.0,282.0,282,NQ,522.2,522.2,522.2,1452.3,1452.3,1452.3
Grown Heifer,0-540,Processor,C,3,33,16,230.0,277.0,247.54545454545453,-12.1,442.3,522.6,472.4,943.0,1288.1,1071.821229876894
Grown Heifer,0-540,Processor,D,2,52,7,120.0,235.0,210.25,2.5,240.0,451.9,413.8,392.0,869.5,764.2730806790865
Grown Heifer,0-540,Processor,D,3,51,41,235.0,270.0,251.35294117647058,95.8,443.4,519.2,483.0,893.0,1196.0,1052.564702052696
Cows,0-400,Feeder,D,1,13,-23,70.0,100.0,97.6923076923077,-29.3,159.1,227.3,222.0,196.0,285.0,278.15384615384613
Cows,0-400,Processor,C,2,11,NQ,190.0,190.0,190,NQ,404.3,404.3,404.3,731.5,731.5,731.5
Cows,0-400,Processor,D,1,48,NQ,80.0,162.0,123.64583333333333,NQ,181.8,360.0,275.8,252.0,575.1,412.01458231608075
Cows,0-400,Processor,D,2,197,83,80.0,220.0,185.5736040609137,9.2,173.9,468.1,399.1,284.0,869.0,692.9598952549968
Cows,0-400,Processor,D,3,18,-29,210.0,222.0,215.33333333333334,23.3,446.8,462.5,453.8,829.5,865.8,845.6333279079861
Cows,0-400,Processor,E,2,6,5,80.0,120.0,93.33333333333333,-26.7,177.8,266.7,207.4,256.0,330.0,282.6666666666667
Cows,0-400,Restocker,D,1,1,NQ,20.0,20.0,20,NQ,45.5,45.5,45.5,61.0,61.0,61
Cows,400-520,Processor,C,3,75,29,220.0,260.0,249.89333333333335,14.0,449.0,530.6,507.1,979.0,1222.0,1120.338671875
Cows,400-520,Processor,D,2,25,-10,192.0,210.0,194.16,-12.2,408.5,446.8,413.1,806.4,850.5,811.69203125
Cows,400-520,Processor,D,3,261,-37,192.0,250.0,234.22222222222223,12.2,408.5,510.2,483.9,787.2,1254.6,1027.2666679762333
Calves,80+,Restocker,D,2,22,-4,272.0,272.0,272,120.8,523.1,523.1,523.1,435.2,435.2,435.2000177556818
Bulls,0-450,Feeder,C,2,21,-6,250.0,274.0,268.2857142857143,58.3,480.8,517.0,508.4,945.3,1191.9,1128.5142851329986
Bulls,0-450,Feeder,D,2,17,-107,220.0,272.0,257.6470588235294,36.8,423.1,523.1,494.4,897.9,1054.1,933.058837890625
Bulls,0-450,Live Export,C,2,22,20,244.0,260.0,248.54545454545453,-2.5,469.2,500.0,478.0,728.0,905.2,812.1091086647727
Bulls,0-450,Live Export,D,2,19,18,192.0,246.0,220.31578947368422,70.3,369.2,473.1,423.7,604.8,750.2,674.6421026932566
Bulls,0-450,Processor,C,3,3,NQ,270.0,270.0,270,NQ,500.0,500.0,500.0,1174.5,1174.5,1174.5
Bulls,0-450,Processor,D,1,2,NQ,170.0,170.0,170,NQ,333.3,333.3,333.3,663.0,663.0,663
Bulls,0-450,Processor,D,2,43,-24,160.0,230.0,189.86046511627907,-3.6,307.7,442.3,365.1,272.0,524.7,397.8279092478198
Bulls,0-450,Restocker,C,2,24,9,250.0,250.0,250,-6.0,480.8,480.8,480.8,637.5,700.0,663.5416666666666
Bulls,0-450,Restocker,D,2,139,129,80.0,258.0,178.6474820143885,-23.4,153.8,496.2,343.6,116.0,541.8,311.4172635524393
Bulls,450-600,Feeder,C,2,6,5,252.0,266.0,263.6666666666667,33.7,484.6,501.9,499.0,1276.8,1285.2,1278.1999918619792
Bulls,450-600,Feeder,C,3,1,-1,268.0,268.0,268,13.0,496.3,496.3,496.3,1527.6,1527.6,1527.5999755859375
Bulls,450-600,Feeder,D,2,1,-21,110.0,110.0,110,-99.5,211.5,211.5,211.5,561.0,561.0,561
Bulls,450-600,Feeder,D,3,10,NQ,240.0,246.0,241,NQ,444.4,464.2,447.2,1156.2,1416.0,1375.3
Bulls,450-600,Live Export,C,2,4,NQ,256.0,256.0,256,NQ,492.3,492.3,492.3,1203.2,1203.2,1203.199951171875
Bulls,450-600,Live Export,D,2,1,NC,152.0,152.0,152,-111.0,323.4,323.4,323.4,737.2,737.2,737.2000122070312
Bulls,450-600,Live Export,D,3,4,NQ,274.0,274.0,274,NQ,507.4,507.4,507.4,1534.4,1534.4,1534.4000244140625
Bulls,450-600,Processor,C,2,3,NQ,254.0,272.0,266,NQ,488.5,513.2,505.0,1155.7,1237.6,1210.2999674479167
Bulls,450-600,Processor,D,1,1,NC,162.0,162.0,162,22.0,317.6,317.6,317.6,793.8,793.8,793.7999877929688
Bulls,600+,Processor,C,3,6,4,180.0,260.0,245.66666666666666,45.7,327.3,481.5,453.9,1386.0,1754.4,1680.2000325520833
