Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 01/05/2024
Comparison Date: 24/04/2024
Total Yarding: 1768 (-1383)
Commentary
"Charters Towers Combined Agents penned 1768 cattle in a prime only sale, the largest prime offering in more than 18 months.  Quality was mostly good throughout, with several good quality heavy cattle on offer, with more than 300 bullocks and 1,100 cows penned. Processor attendance was good with all regular export processors in attendance, supported by one southern operator for the first time this year, along with one live exporter and one local feeder operator and opportunity restockers.
 
Values for most categories were firm on last week, despite the increased supply, however plainer conditioned lines of cows eased 14c to 20c while prime heavyweight cows lifted by 4c/kg.

Yearling steers above 400kg to feed destined for live export sold to 256c to average 237c, steers to the trade sold to and averaged 240c/kg. Yearling heifers above 400kg to the trade made to 230c to average 227c/kg. A small sample of heavy grown steers to the trade averaged 262c/kg. Grown heifers to processors reached 234c to average from 200c to 228c/kg.

An increased number of heavy full mouthed bullocks to export slaughter topped at 264c to average from 242c to 263c/kg. Medium weight 2 score cows to processors reached 160c to average 15 5c and 3 scores sold to 225c to average from 192c to 199c/kg.  A large sample of prime heavyweight 3 and 4 score cows topped at 224c to average 214c to 221c/kg.

Heavy bulls to feed destined for live export sold to 242c to average 232c, bulls to processors averaged 214c/kg.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,0-400,Feeder,D,3,1,NQ,100.0,100.0,100,NQ,217.4,217.4,217.4,385.0,385.0,385
Cows,0-400,Processor,D,1,2,NQ,130.0,130.0,130,NQ,288.9,288.9,288.9,468.0,468.0,468
Cows,0-400,Processor,D,2,114,-11,140.0,179.0,155.33333333333334,-20.4,304.3,373.9,335.2,476.0,707.0,586.3140344452439
Cows,0-400,Processor,D,3,110,64,136.0,184.0,161.14545454545456,-14.3,295.7,391.5,345.7,496.4,717.6,621.3072676225142
Cows,0-400,Restocker,D,1,20,13,70.0,120.0,98.25,-71.8,159.1,266.7,219.7,217.0,402.0,322.1375
Cows,0-400,Restocker,D,2,24,NQ,70.0,128.0,119.08333333333333,NQ,155.6,278.3,259.3,227.5,462.0,421.8874918619792
Cows,0-400,Restocker,D,3,3,NQ,100.0,184.0,156,NQ,208.3,391.5,330.4,390.0,717.6,608.3999837239584
Cows,0-400,Restocker,E,1,2,NQ,30.0,30.0,30,NQ,68.2,68.2,68.2,87.0,87.0,87
Cows,0-400,Restocker,E,2,10,NQ,50.0,80.0,77,NQ,111.1,181.8,174.7,155.0,244.0,235.1
Cows,400-520,Feeder,D,2,2,NQ,128.0,128.0,128,NQ,278.3,278.3,278.3,582.4,582.4,582.4000244140625
Cows,400-520,Feeder,D,3,19,NQ,200.0,200.0,200,NQ,416.7,416.7,416.7,870.0,870.0,870
Cows,400-520,Processor,C,2,3,NQ,170.0,170.0,170,NQ,361.7,361.7,361.7,714.0,714.0,714
Cows,400-520,Processor,C,3,47,5,194.0,205.0,199.61702127659575,1.1,395.9,410.0,403.5,872.2,1014.8,944.9425698138298
Cows,400-520,Processor,D,2,59,24,100.0,160.0,154.64406779661016,-39.5,217.4,347.8,336.2,420.0,688.0,632.9220343121027
Cows,400-520,Processor,D,3,523,125,150.0,225.0,192.4187380497132,-4.6,319.1,459.2,399.6,607.5,1132.2,874.557355074764
Cows,400-520,Processor,D,4,7,NQ,194.0,196.0,195.42857142857142,NQ,388.0,400.0,396.6,999.6,1008.8,1002.2285679408482
Cows,400-520,Restocker,D,3,10,NQ,100.0,156.0,139.2,NQ,217.4,331.9,297.6,410.0,678.6,606.019970703125
Cows,520+,Processor,C,3,1,-28,221.0,221.0,221,6.2,425.0,425.0,425.0,1392.3,1392.3,1392.300048828125
Cows,520+,Processor,C,4,40,17,208.0,214.0,213.7,5.2,400.0,428.0,426.6,1155.6,1164.8,1156.0600219726562
Cows,520+,Processor,D,3,2,-20,221.0,221.0,221,3.6,442.0,442.0,442.0,1160.3,1160.3,1160.25
Cows,520+,Processor,D,4,46,38,202.0,224.0,217.7826086956522,7.3,396.1,448.0,431.7,1090.8,1318.9,1198.1348293138587
Bulls,0-450,Feeder,C,2,17,11,190.0,218.0,200.76470588235293,11.8,365.4,411.3,383.3,748.3,904.7,843.9088350183823
Bulls,0-450,Feeder,D,2,7,-5,182.0,236.0,212.85714285714286,-7.6,350.0,453.8,409.3,482.3,967.6,759.6142578125
Bulls,0-450,Live Export,C,2,2,NQ,232.0,232.0,232,NQ,446.2,446.2,446.2,962.8,962.8,962.7999877929688
Bulls,0-450,Live Export,D,2,17,NQ,224.0,235.0,233.76470588235293,NQ,430.8,451.9,449.5,873.6,982.8,952.976469152114
Bulls,0-450,Restocker,D,2,2,-63,100.0,172.0,136,-70.2,192.3,330.8,261.5,355.0,739.6,547.2999877929688
Bulls,450-600,Feeder,C,2,2,NQ,232.0,232.0,232,NQ,429.6,429.6,429.6,1252.8,1252.8,1252.800048828125
Bulls,450-600,Feeder,C,3,7,6,186.0,222.0,196.28571428571428,-17.7,344.4,411.1,363.5,892.8,1243.2,992.9142717633929
Bulls,450-600,Feeder,D,1,8,NQ,180.0,180.0,180,NQ,352.9,352.9,352.9,1008.0,1008.0,1008
Bulls,450-600,Feeder,D,2,10,2,110.0,232.0,198.2,-40.2,211.5,446.2,381.2,528.0,1229.6,962.6800048828125
