Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Naracoorte
Report Date: 15/04/2025
Comparison Date: 08/04/2025
Total Yarding: 613 (-308)
Commentary
"Cattle numbers were back this week with 613 head penned, made up of 368 young cattle, 219 cows, 22 grown bulls and a few pens of open auction young cattle. The quality was mixed with cows making up a third of the offering. Most of the regular buying group attended and operated in a market similar to last week. A few cents dearer on medium weight grown steers, to 10c/kg easier on heavy grown heifers, 10c to 20c/kg easier on yearling trade heifers and similar on the cows. Bulls sold 8c to 10c/kg dearer. 

Young cattle sold to the trade from 236 to 380c and feeders paid from 232c to 380c/kg. Plainer types sold from 180c to 190c/kg. 

Medium grown steers sold from 348c to 410c, with heavier weights selling from 303 to 374c/kg. Feeders paid from 266c to 380c/kg. Heavy weight heifers sold from 320c to 380c with feeders and restockers paying from 272c to 364c/kg. 

Medium weight cows sold from 180c to 210c. Heavy 3 and 4 score cows sold from 300c to 335c, with the plainer types selling from 265c to 288c/kg. Feeders paid 180c/kg for cows. Bulls sold from 200c to 320c, feeders paid from 210c to 310c/kg for young bulls. 


Market Reporter - Graham Pymer."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,540+,Feeder,D,2,6,NQ,318.0,362.0,333.3333333333333,NQ,611.5,683.0,630.9,1796.7,1972.9,1893.2666625976562
Grown Heifer,540+,Processor,C,3,27,-44,320.0,360.0,336.85185185185185,-12.2,603.8,679.2,632.9,1872.0,2106.0,1975.0796440972222
Grown Heifer,540+,Processor,C,4,37,35,330.0,380.0,355.0810810810811,-4.9,600.0,703.7,657.3,2128.5,2337.5,2207.4324324324325
Grown Heifer,540+,Processor,D,2,5,NQ,335.0,335.0,335,NQ,632.1,632.1,632.1,1959.8,1959.8,1959.75
Grown Heifer,540+,Processor,D,3,8,NQ,160.0,315.0,295.625,NQ,296.3,594.3,551.6,1000.0,1968.8,1800.40625
Grown Heifer,540+,Processor,D,4,7,NQ,335.0,365.0,356.42857142857144,NQ,620.4,675.9,660.1,2098.8,2127.3,2106.8928571428573
Cows,400-520,Feeder,D,1,3,NQ,180.0,180.0,180,NQ,400.0,400.0,400.0,918.0,918.0,918
Cows,400-520,Processor,D,1,2,NQ,110.0,110.0,110,NQ,244.4,244.4,244.4,550.0,550.0,550
Cows,400-520,Processor,D,2,4,-6,180.0,210.0,195,-58.6,375.0,420.0,397.5,837.0,997.5,917.25
Cows,520+,Feeder,D,2,3,-10,265.0,265.0,265,-15.0,552.1,552.1,552.1,1523.8,1523.8,1523.75
Cows,520+,Processor,C,2,12,7,274.0,288.0,286.8333333333333,21.2,548.0,553.8,553.4,1602.9,1728.0,1717.5750020345051
