Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 15/02/2024
Comparison Date: 01/02/2024
Total Yarding: 1600 (-380)
Commentary
"There was a lot less competition in front of a slightly reduced penning. Both young cattle and grown cattle were evenly represented with a great variation in quality and condition. Differing from the previous sale was the lack of good quality straight lines. The regular processors were in attendance with the reduced attendance coming from the large field of feedlot and restockers present at the previous sale.

Trends were cheaper through all classes of young cattle with a fortnight of falling markets contributing to some large price changes.there was also quality related change. Crossbred yearling steers heading to Northern paddocks and feed yards held up reasonably well. In a falling market the secondary quality yearling heifers attracted some of the larger price corrections.

Despite all being in attendance processor demand was weaker through all classes of grown cattle with the well finished heavy steers down by 16c to 20c/kg. The well finished grown heifers were less affected. Cows and bulls felt the brunt of the cheaper market with the well finished heavy weights as much as 35c/kg cheaper while the plainer conditioned cows experienced greater falls. Heavy bulls were also significantly cheaper with falls in excess of those of the cows."
Yearling Heifer,330-400,Restocker,C,2,15,-34,280.0,324.0,309.3333333333333,-41.2,538.5,623.1,594.9,938.0,1198.8,1111.8666666666666
Yearling Heifer,400+,Feeder,C,3,17,-11,280.0,300.0,282.3529411764706,-54.0,528.3,566.0,532.7,1204.0,1320.0,1239.0588235294117
Vealer Steer,0-200,Restocker,C,2,30,23,372.0,434.0,407.8,6.4,715.4,834.6,784.2,558.0,729.6,673.1399739583334
Vealer Steer,0-200,Restocker,D,2,3,NQ,362.0,362.0,362,NQ,724.0,724.0,724.0,724.0,724.0,724
Vealer Steer,200-280,Restocker,C,2,46,-22,332.0,412.0,372.9130434782609,-60.9,638.5,792.3,717.1,697.2,1005.0,887.508693529212
Vealer Heifer,0-200,Restocker,C,2,35,30,273.0,334.0,303.8857142857143,-27.7,525.0,642.3,584.4,434.2,600.0,523.1514299665179
Vealer Heifer,200-280,Processor,C,2,10,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,588.0,672.0,663.6
Vealer Heifer,200-280,Restocker,C,2,23,-97,240.0,299.0,280.3739172894022,-76.9,461.5,575.0,535.7,552.0,687.7,635.1834876019021
Vealer Heifer,200-280,Restocker,C,3,6,NQ,286.0,286.0,286,NQ,539.6,539.6,539.6,686.4,686.4,686.4000651041666
Manufacturing Steer,540+,Dairy,D,3,17,NQ,262.0,262.0,262,NQ,524.0,524.0,524.0,1650.6,1650.6,1650.5999540441176
Grown Steer,0-400,Feeder,C,2,12,NQ,280.0,310.0,302.5,NQ,538.5,596.2,581.7,1078.0,1147.0,1129.75
Grown Steer,400-500,Feeder,C,2,62,9,273.0,361.0,342.2096774193548,-48.5,525.0,694.2,658.1,1181.5,1660.6,1525.6653501449093
Grown Steer,400-500,Feeder,C,3,8,6,350.0,350.0,350,30.0,648.1,648.1,648.1,1750.0,1750.0,1750
Grown Steer,400-500,Processor,C,2,10,NQ,231.0,261.0,255,NQ,444.2,501.9,490.4,1120.3,1305.0,1268.0699951171875
Grown Steer,500-600,Feeder,C,2,6,NQ,327.0,327.0,327,NQ,628.8,628.8,628.8,1700.4,1700.4,1700.4000651041667
Grown Steer,500-600,Feeder,C,3,8,-19,300.0,316.0,305.75,-19.7,555.6,585.2,566.2,1620.0,1706.4,1651.0500030517578
Grown Steer,500-600,Processor,C,2,3,NQ,275.0,275.0,275,NQ,528.8,528.8,528.8,1457.5,1457.5,1457.5
Grown Steer,500-600,Processor,C,3,12,6,289.0,307.0,292.3333333333333,-20.7,535.2,568.5,541.4,1560.6,1688.5,1612.8749898274739
Grown Steer,500-600,Restocker,C,2,1,NQ,255.0,255.0,255,NQ,490.4,490.4,490.4,1300.5,1300.5,1300.5
Grown Steer,600-750,Processor,C,3,6,-6,272.0,308.0,296,-27.7,503.7,570.4,548.1,1659.2,1940.4,1846.6666666666667
Grown Steer,600-750,Processor,C,4,3,NQ,296.0,296.0,296,NQ,548.1,548.1,548.1,1983.2,1983.2,1983.1998697916667
Grown Heifer,0-540,Feeder,C,2,15,-16,260.0,268.0,264.4,-60.4,500.0,536.0,526.1,982.5,1092.0,1044.5800130208333
Grown Heifer,0-540,Feeder,C,3,16,-97,270.0,300.0,280.625,-27.3,509.4,566.0,529.5,1309.5,1455.0,1324.28125
Grown Heifer,0-540,Feeder,D,2,6,NC,254.0,262.0,260.6666666666667,-47.3,508.0,524.0,521.3,943.2,1041.4,959.5666707356771
Grown Heifer,0-540,Processor,C,2,6,NQ,230.0,240.0,231.66666666666666,NQ,442.3,461.5,445.5,1012.0,1140.0,1033.3333333333333
Grown Heifer,0-540,Processor,C,3,53,34,260.0,288.0,277.22641509433964,-6.0,490.6,543.4,526.8,988.0,1519.4,1379.6924473024765
Grown Heifer,0-540,Processor,D,2,3,NQ,210.0,210.0,210,NQ,420.0,420.0,420.0,882.0,882.0,882
Grown Heifer,0-540,Processor,D,3,8,-1,230.0,260.0,247.375,-13.1,451.0,509.8,485.0,1025.2,1237.6,1148.9874877929688
Grown Heifer,0-540,Restocker,D,2,5,NC,190.0,220.0,208,-41.6,395.8,440.0,422.3,814.0,836.0,822.8
Grown Heifer,0-540,Restocker,D,3,6,NQ,242.0,242.0,242,NQ,474.5,474.5,474.5,1210.0,1210.0,1210
Grown Heifer,540+,Processor,C,4,6,NC,279.0,279.0,279,-14.2,526.4,526.4,526.4,1534.5,1534.5,1534.5
Cows,400-520,Processor,D,2,24,14,160.0,220.0,179.58333333333334,-60.2,355.6,468.1,397.3,688.0,1045.0,818.5833333333334
Cows,400-520,Processor,D,3,36,8,180.0,230.0,214.77777777777777,-38.7,400.0,485.1,457.8,873.0,1196.0,1088.7611083984375
Cows,400-520,Processor,D,4,2,NQ,237.0,237.0,237,NQ,474.0,474.0,474.0,1185.0,1185.0,1185
Cows,400-520,Restocker,D,2,19,5,140.0,186.0,169.05263157894737,-58.9,311.1,413.3,375.7,574.0,837.0,740.1052631578947
Cows,520+,Processor,D,3,48,7,210.0,241.0,229.66666666666666,-27.8,446.8,495.8,474.9,1113.0,1397.8,1253.375
Cows,520+,Processor,D,4,48,-80,223.0,246.0,241.72916666666666,-29.7,468.0,492.0,485.7,1204.2,1764.0,1424.9791666666667
Cows,520+,Processor,D,5,9,-23,243.0,248.0,247.44444444444446,-17.0,486.0,496.0,494.9,1530.9,1612.0,1602.9888916015625
Cows,520+,Restocker,D,2,6,NQ,236.0,236.0,236,NQ,524.4,524.4,524.4,1250.8,1250.8,1250.800048828125
Bulls,0-450,Processor,C,2,4,NQ,238.0,238.0,238,NQ,457.7,457.7,457.7,999.6,999.6,999.5999755859375
Bulls,450-600,Processor,C,2,4,3,224.0,240.0,236,-12.0,430.8,444.4,441.0,1064.0,1200.0,1166
Bulls,600+,Processor,B,2,24,-22,250.0,265.0,256.5,-25.7,446.4,473.2,458.0,1720.4,2610.3,2038.2083435058594
Bulls,600+,Processor,C,2,31,9,223.0,250.0,244.16129032258064,-22.2,413.0,463.0,452.2,1442.7,2065.5,1803.4258088142642
