Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 01/04/2025
Comparison Date: 25/03/2025
Total Yarding: 2869 (+81)
Commentary
"There were approximately 2470 export and 400 young cattle penned representing an increase of 80 head week-on-week. All of the regular export and domestic orders were active and competing in a dearer market. Quality was mixed with plenty of manufacturing steers in the grown and more finish in the trade cattle. Most trade cattle sold 10c to 30c/kg dearer with some isolated sales even higher. Grown steers and bullocks gained 10c to 20c/kg. Heavy Grown heifers showing good finish improved 20c/kg. Manufacturing steers lifted 20c to 30c/kg. Cows kicked 20c to 30c and up to 45c/kg in places. Heavy bulls gained 5c/kg. 

Vealers sold from 340c to 434c/kg. Yearling trade steers made between 350c and 401c/kg. Yearling heifers to the trade sold between 348c and 398c after a top of 430c/kg. Grown steers made from 374c to 420c/kg. Bullocks sold from 385c to 425c/kg. Heavy grown heifers made between 355c and 392c/kg. 

Heavy Friesian manufacturing steers sold between 285c and 377c with the crossbred portion between 345c and 408c/kg. Most light and medium weight cows made from 246c to 314c/kg. Heavy weight cows sold mostly from 282c to 360c/kg. Heavy bulls made between 310c and 365c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Manufacturing Steer,0-540,Processor,D,1,2,NQ,295.0,295.0,295,NQ,614.6,614.6,614.6,1548.8,1548.8,1548.75
Manufacturing Steer,0-540,Processor,D,3,5,NQ,386.0,386.0,386,NQ,714.8,714.8,714.8,1930.0,1930.0,1930
Manufacturing Steer,0-540,Processor,E,2,2,NQ,308.0,308.0,308,NQ,684.4,684.4,684.4,1309.0,1309.0,1309
Manufacturing Steer,0-540,Restocker,D,2,5,NQ,320.0,376.0,353.6,NQ,615.4,723.1,680.0,1520.0,1974.0,1792.4
Manufacturing Steer,540+,Dairy,D,1,47,-11,285.0,332.0,314.78723404255317,31.0,619.6,687.5,653.3,1596.0,2158.0,1869.158514793883
Manufacturing Steer,540+,Dairy,D,2,123,24,320.0,377.0,345.6991869918699,21.1,615.4,711.3,661.8,2056.3,2677.5,2365.70325203252
Manufacturing Steer,540+,Dairy,E,2,3,NQ,326.0,326.0,326,NQ,679.2,679.2,679.2,1825.6,1825.6,1825.5999348958333
Manufacturing Steer,540+,Feeder,D,2,4,NQ,380.0,380.0,380,NQ,730.8,730.8,730.8,2090.0,2090.0,2090
Manufacturing Steer,540+,Processor,C,3,13,NQ,405.0,405.0,405,NQ,736.4,736.4,736.4,2430.0,2430.0,2430
Manufacturing Steer,540+,Processor,D,1,3,-5,320.0,320.0,320,30.0,640.0,640.0,640.0,1760.0,1760.0,1760
Manufacturing Steer,540+,Processor,D,2,85,-39,345.0,392.0,363.6,25.9,656.6,739.6,688.0,1932.0,2775.0,2294.9529411764706
Manufacturing Steer,540+,Processor,D,3,93,-25,366.0,408.0,386.76344086021504,23.9,685.2,755.6,718.2,2139.0,2902.5,2645.978494623656
Manufacturing Steer,540+,Processor,D,4,9,7,365.0,392.0,374,34.0,675.9,725.9,692.6,2920.0,3332.0,3057.3333333333335
Manufacturing Steer,540+,Processor,D,5,5,NQ,274.0,274.0,274,NQ,498.2,498.2,498.2,2603.0,2603.0,2603
Manufacturing Steer,540+,Restocker,D,2,12,8,382.0,382.0,382,57.0,720.8,720.8,720.8,2139.2,2139.2,2139.1998697916665
Grown Steer,500-600,Feeder,C,2,34,-21,392.0,401.0,396.97058823529414,8.9,725.9,742.6,735.1,2172.5,2406.0,2303.247012867647
Grown Steer,500-600,Processor,B,2,4,NQ,370.0,382.0,379,NQ,660.7,682.1,676.8,1998.0,2196.5,2146.875
Grown Steer,500-600,Processor,C,2,11,9,375.0,405.0,394.54545454545456,21.0,694.4,750.0,730.6,2156.3,2430.0,2358.75
Grown Steer,500-600,Processor,C,3,24,13,406.0,420.0,410.0833333333333,17.2,738.2,750.0,745.0,2296.0,2436.0,2359.5
Grown Steer,500-600,Restocker,C,2,2,NQ,374.0,374.0,374,NQ,692.6,692.6,692.6,1963.5,1963.5,1963.5
Grown Steer,600-750,Processor,B,3,8,NQ,395.0,395.0,395,NQ,705.4,705.4,705.4,2567.5,2567.5,2567.5
Grown Steer,600-750,Processor,C,2,34,23,385.0,410.0,399.52941176470586,17.5,713.0,759.3,739.9,2535.0,2665.0,2619.5882352941176
Grown Steer,600-750,Processor,C,3,8,7,405.0,410.0,405.625,30.6,736.4,745.5,737.5,2632.5,2665.0,2636.5625
Grown Steer,600-750,Processor,C,4,65,-11,400.0,424.0,418.83076923076925,12.8,727.3,760.0,754.1,2704.0,3180.0,2927.5307692307692
Grown Steer,600-750,Processor,D,3,7,-1,407.0,407.0,407,2.0,753.7,753.7,753.7,2849.0,2849.0,2849
Grown Steer,750+,Processor,C,4,20,14,425.0,425.0,425,40.0,758.9,758.9,758.9,3400.0,3400.0,3400
Grown Heifer,0-540,Processor,D,2,29,23,280.0,330.0,308.58620689655174,38.6,583.3,666.7,635.4,1120.0,1732.5,1487.5258620689656
Grown Heifer,0-540,Processor,D,3,11,5,355.0,370.0,361.27272727272725,1.3,669.8,688.5,680.5,1633.0,1998.0,1774.0454545454545
Grown Heifer,0-540,Processor,E,1,6,NQ,270.0,270.0,270,NQ,600.0,600.0,600.0,972.0,972.0,972
Grown Heifer,0-540,Restocker,D,2,7,6,360.0,360.0,360,60.0,692.3,692.3,692.3,1710.0,1710.0,1710
Grown Heifer,0-540,Restocker,E,1,5,NQ,250.0,250.0,250,NQ,555.6,555.6,555.6,950.0,950.0,950
Grown Heifer,540+,Dairy,D,2,3,-10,318.0,328.0,321.3333333333333,41.3,656.0,662.5,660.3,1886.0,1908.0,1900.6666666666667
Grown Heifer,540+,Processor,D,2,17,6,306.0,335.0,323.7647058823529,22.9,634.6,670.0,653.6,1683.0,2010.0,1877.6470588235295
Grown Heifer,540+,Processor,D,3,76,61,355.0,392.0,371.61842105263156,20.3,666.7,725.9,691.9,1952.5,2660.0,2229.3052528782896
Grown Heifer,540+,Processor,E,2,1,NQ,294.0,294.0,294,NQ,612.5,612.5,612.5,1646.4,1646.4,1646.4000244140625
Cows,0-400,Dairy,E,1,71,56,182.0,236.0,206.98591549295776,15.0,455.0,590.0,521.2,682.5,896.8,779.6704170334507
Cows,0-400,Dairy,E,2,10,NQ,280.0,280.0,280,NQ,622.2,622.2,622.2,1120.0,1120.0,1120
Cows,0-400,Processor,E,1,24,NQ,220.0,220.0,220,NQ,523.8,523.8,523.8,836.0,880.0,852.5
Cows,0-400,Restocker,E,1,1,-23,230.0,230.0,230,21.5,575.0,575.0,575.0,862.5,862.5,862.5
Cows,400-520,Dairy,D,1,11,NQ,280.0,280.0,280,NQ,622.2,622.2,622.2,1456.0,1456.0,1456
Cows,400-520,Dairy,E,1,96,30,246.0,275.0,262.9166666666667,43.1,590.5,654.8,626.9,1091.2,1375.0,1261.6260375976562
Cows,400-520,Dairy,E,2,26,24,273.0,290.0,275.7307692307692,23.7,608.9,630.4,620.7,1233.0,1450.0,1362.8461538461538
Cows,400-520,Processor,D,1,85,71,255.0,290.0,278.2,26.8,566.7,631.1,613.5,1147.5,1420.0,1283.6306066176471
Cows,400-520,Processor,D,2,23,-29,306.0,314.0,309.4782608695652,45.0,651.1,668.1,658.5,1468.8,1570.0,1512.8000169836957
Cows,400-520,Processor,D,3,4,NQ,322.0,325.0,323.5,NQ,650.0,657.1,653.6,1610.0,1625.0,1617.5
Cows,400-520,Processor,E,1,49,35,256.0,267.0,259.7755102040816,33.3,581.8,635.7,596.9,1096.5,1335.0,1157.620416135204
Cows,520+,Dairy,D,1,81,-29,282.0,294.0,286.3703703703704,31.8,613.0,639.1,624.4,1590.4,1974.0,1720.155562789352
Cows,520+,Dairy,D,2,99,70,290.0,325.0,306.85858585858585,27.8,617.0,668.1,645.4,1576.8,2480.0,2009.3505070233587
Cows,520+,Dairy,E,1,130,70,255.0,284.0,276,32.0,579.5,643.2,628.3,1402.5,1620.0,1540.0076923076922
