Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Gunnedah
Report Date: 04/02/2025
Comparison Date: 28/01/2025
Total Yarding: 2590 (+240)
Commentary
"There was a small increase in numbers following the short week. Yearlings were well supplied. Apart from cows there were limited numbers of export cattle. The quality and condition of the offering varied with some of the young cattle looking to have slipped in the heat and deteriorating seasonal conditions. Not all processors participated and some of the feeder orders were subdued.

Restockers were active on the good quality light weight young cattle with the  better quality vealers to restock selling to a slightly dearer trend. Medium and heavy weight yearling steers to restock and feed improved slightly. The price gap between breeds minimal on the good quality lots, particularly the heavier weight feeders. Demand for heifer yearlings to restock and feed was weaker throughout. This resulted in cheaper trends with significant falls in places, more so on the secondary lots.

The weaker processor demand for export cattle resulted in the well finished heavy grown steers selling to cheaper trends. Those trends carried into the grown heifers. There were quality related price variations in some cow classes, most noticeable on the plainer condition lots to process. Overall however the trend was slightly cheaper, up to 13c on the well finished heavy weights. Heavy bulls were as much as 14c/kg cheaper on an improved quality offering."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,400-520,Processor,D,2,13,-40,220.0,254.0,246.15384615384616,51.6,488.9,540.4,528.5,1067.0,1270.0,1223.1538461538462
Cows,400-520,Processor,D,3,17,-239,249.0,271.0,264.52941176470586,-4.0,529.8,564.6,554.3,1245.0,1382.1,1341.776424632353
Cows,400-520,Restocker,D,2,14,NQ,249.0,249.0,249,NQ,553.3,553.3,553.3,1207.7,1207.7,1207.6499720982142
Cows,520+,Feeder,D,3,6,NQ,250.0,250.0,250,NQ,531.9,531.9,531.9,1325.0,1325.0,1325
Cows,520+,Processor,D,2,16,13,278.0,278.0,278,38.0,579.2,579.2,579.2,1529.0,1529.0,1529
Cows,520+,Processor,D,3,25,-20,248.0,272.0,263.76,6.5,527.7,560.4,551.3,1388.8,1523.2,1455.536015625
Cows,520+,Processor,D,4,160,-91,262.0,282.0,273.3,-7.2,524.0,579.2,550.4,1431.0,2035.0,1721.7925109863281
Cows,520+,Processor,D,5,19,14,265.0,274.0,267.3157894736842,9.3,546.0,558.3,554.5,1696.0,2000.2,1839.4894505550988
Calves,0-80,Restocker,C,1,4,NQ,344.0,344.0,344,NQ,661.5,661.5,661.5,258.0,258.0,258
Calves,80+,Restocker,C,1,13,-8,352.0,396.0,375.6923076923077,23.4,676.9,761.5,722.5,404.8,495.0,453.3692157451923
Bulls,0-450,Processor,C,2,26,22,248.0,328.0,275.6923076923077,-10.3,476.9,630.8,530.2,984.0,992.0,989.2307692307693
Bulls,450-600,Processor,B,2,1,NQ,240.0,240.0,240,NQ,428.6,428.6,428.6,1344.0,1344.0,1344
Bulls,450-600,Processor,C,2,3,-26,282.0,282.0,282,20.6,522.2,522.2,522.2,1297.2,1297.2,1297.199951171875
Bulls,600+,Processor,B,2,22,21,270.0,276.0,271.90909090909093,-3.1,482.1,492.9,485.6,2025.0,2428.8,2153.4818004261365
Bulls,600+,Processor,B,3,13,7,265.0,275.0,273.84615384615387,-3.5,473.2,491.1,489.0,1925.0,2517.5,2432.5
Bulls,600+,Processor,B,4,1,NQ,275.0,275.0,275,NQ,491.1,491.1,491.1,3162.5,3162.5,3162.5
Bulls,600+,Processor,C,2,5,-9,245.0,255.0,253,1.2,453.7,472.2,468.5,1837.5,2167.5,2004.6
Bulls,600+,Processor,C,3,1,NC,270.0,270.0,270,30.0,490.9,490.9,490.9,2430.0,2430.0,2430
Bulls,600+,Processor,C,4,1,NQ,220.0,220.0,220,NQ,407.4,407.4,407.4,1848.0,1848.0,1848
