Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Warwick
Report Date: 28/01/2025
Comparison Date: 21/01/2025
Total Yarding: 1427 (-676)
Commentary
"Warwick agents penned 1,427 cattle down by 676 head. All the regular buyers attended and operated on a softer market across all classes with grown steers back 30c/kg cows eased from 4c to 14c/kg heavy feeder steers back by 33c/kg and domestic feeders reduced from 28c to 33c/kg with the better quality lines of restocker yearlings the least effected.

Light weight yearling steers to restockers made 399c to average 340c with those over 280kg at 400c to average 365c/kg. Yearling steers to feed for the domestic market made 376c with restockers paying 396c to average 374c/kg. Heavy yearling steers to feed sold to 350c and averaged from 335c to 338c/kg. Light weight yearling heifers to background made 320c to average 283c/kg. Yearling heifers to feed for the domestic market sold to 366c and averaged 320c/kg. Heavy yearling heifers to the wholesale meat trade made 382c to average 333c/kg.

Grown steers to processors made 345c to average 328c/kg. Grown heifers to processors sold to 336c/kg. Light weight cows to processors made 268c to average 239c/kg. Good heavy score 3 cows to processors sold to 287c with the best cows topping at 293c to average 285c/kg. Light weight bulls to restockers made 340c to average 308c/kg. Heavy bulls to processors made 297c to average 282c/kg.

Market Reporter Errol Luck."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Feeder,C,2,5,4,244.0,281.0,251.4,-44.6,451.9,520.4,465.6,1281.0,1447.2,1314.2300048828124
Grown Heifer,0-540,Feeder,D,2,2,NQ,232.0,232.0,232,NQ,429.6,429.6,429.6,1148.4,1148.4,1148.4000244140625
Grown Heifer,0-540,Processor,C,2,1,-2,242.0,242.0,242,-53.7,448.1,448.1,448.1,1028.5,1028.5,1028.5
Grown Heifer,0-540,Processor,C,3,18,NC,262.0,316.0,270.8888888888889,-30.4,485.2,585.2,501.6,1321.7,1627.4,1409.522196451823
Grown Heifer,0-540,Processor,D,2,10,9,191.0,240.0,212.5,-17.5,353.7,444.4,393.5,869.0,1188.0,1013.675
Grown Heifer,540+,Processor,C,2,7,NQ,240.0,279.0,273.42857142857144,NQ,444.4,516.7,506.3,1332.0,1520.6,1493.6143973214287
Grown Heifer,540+,Processor,C,3,22,-15,280.0,336.0,310.6363636363636,-15.3,518.5,622.2,575.3,1554.0,2066.4,1758.8227428089488
Cows,400-520,Dairy,D,2,5,3,197.0,210.0,202.2,-6.8,410.4,437.5,421.3,1014.5,1039.5,1024.52998046875
Cows,400-520,Processor,C,2,15,NQ,210.0,240.0,218.93333333333334,NQ,437.5,480.0,450.9,1081.5,1236.0,1124.5599772135417
Cows,400-520,Processor,D,2,59,19,205.0,268.0,239.33898305084745,-4.0,427.1,536.0,481.4,1014.8,1380.2,1210.6431988215043
Cows,400-520,Processor,D,3,3,-3,270.0,270.0,270,-8.0,540.0,540.0,540.0,1390.5,1390.5,1390.5
Cows,400-520,Restocker,D,2,8,-3,110.0,259.0,240.375,23.1,229.2,539.6,500.8,500.5,1256.2,1161.6937255859375
