Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Moss Vale
Report Date: 19/02/2025
Comparison Date: 12/02/2025
Total Yarding: 1908 (+1140)
Commentary
"High yielding yearling steers reaching 457c, and cows up to 30c/kg dearer, were the highlights of the 1900 mostly good quality cattle, an increase of 1140. There were some good pens of feeder steers, along with some good runs of yearling heifers and some outstanding lines of weaner heifers..There was an increased number of grown cattle and 375 cows. All the usual buyers, with the return of a Southern buyer, resulted in another strong market.

Yearlings to suit the trade lifted 5c, selling from 295c to 457c/kg. Feeder steers were also 5c better, making from 295c to 370c,/kg. Medium weight yearling heifers to feed were up to 8c dearer, averaging 324c, and those returning to the paddock reached 352c/kg. Lightweight weaners suiting the restockers continue to attract strong competition, with the steers ranging from 295c to 480c, and the heifers ranged from 242c to 418c/kg.

Heavy grown cattle were firm to a few cents dearer, with the steers selling from 295c to 350c, and the heifers made from 282c to 330c/kg. Cows were up to 30c dearer, with the 3 scores reaching 315c, and heavy 4 scores made from 298c to 334c/kg. Heavy bulls to process lifted 4c, topping at 316c/kg.
David Kent Market Reporter"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,400-500,Feeder,C,2,8,NQ,318.0,336.0,322.5,NQ,588.9,610.9,594.4,1383.3,1646.4,1449.0751037597656
Grown Steer,400-500,Feeder,D,2,5,NQ,280.0,300.0,292,NQ,528.3,566.0,550.9,1232.0,1305.0,1275.8
Grown Steer,400-500,Processor,C,3,3,NQ,315.0,320.0,318.3333333333333,NQ,583.3,592.6,589.5,1559.3,1568.0,1565.0833333333333
Grown Steer,500-600,Dairy,D,2,8,NQ,274.0,282.0,277,NQ,552.9,608.9,587.9,1424.8,1480.5,1445.6875
Grown Steer,500-600,Feeder,C,2,28,22,308.0,348.0,336.42857142857144,25.6,570.4,632.7,613.5,1709.4,1977.3,1846.44287109375
Grown Steer,500-600,Processor,C,3,11,NQ,318.0,338.0,328.3636363636364,NQ,588.9,614.8,607.0,1709.8,1943.5,1813.5545099431818
Grown Steer,500-600,Processor,D,3,6,NQ,295.0,308.0,303.6666666666667,NQ,581.1,627.7,596.6,1578.3,1586.2,1583.5499674479167
Grown Steer,600-750,Dairy,D,2,4,3,300.0,300.0,300,30.0,625.0,625.0,625.0,1995.0,1995.0,1995
Grown Steer,600-750,Processor,C,3,52,29,328.0,350.0,344.7692307692308,8.4,596.4,638.9,630.8,2093.8,2432.5,2317.4288423978364
Grown Steer,600-750,Processor,D,3,1,NQ,310.0,310.0,310,NQ,584.9,584.9,584.9,2139.0,2139.0,2139
Grown Heifer,0-540,Feeder,C,2,2,NQ,320.0,320.0,320,NQ,592.6,592.6,592.6,1680.0,1680.0,1680
Grown Heifer,0-540,Processor,C,3,19,NQ,315.0,330.0,319.8421052631579,NQ,583.3,611.1,592.3,1529.5,1701.0,1599.8947368421052
Grown Heifer,0-540,Processor,D,2,1,-7,282.0,282.0,282,24.5,542.3,542.3,542.3,1381.8,1381.8,1381.800048828125
Grown Heifer,0-540,Processor,D,3,8,4,302.0,319.0,310.5,28.0,569.8,601.9,585.8,1600.6,1674.8,1637.6749877929688
Grown Heifer,540+,Processor,C,3,14,-9,316.0,330.0,324.57142857142856,0.7,581.8,611.1,598.0,1753.8,2161.5,1905.028564453125
Grown Heifer,540+,Processor,D,3,17,11,306.0,326.0,321.05882352941177,26.2,577.4,603.7,597.7,1774.8,2249.4,2051.7764533547793
Cows,0-400,Restocker,D,2,20,NQ,280.0,280.0,280,NQ,622.2,622.2,622.2,1120.0,1120.0,1120
Cows,400-520,Feeder,D,2,1,NQ,300.0,300.0,300,NQ,576.9,576.9,576.9,1425.0,1425.0,1425
Cows,400-520,Processor,D,2,13,NQ,258.0,270.0,264.46153846153845,NQ,573.3,613.6,589.8,1152.4,1264.2,1207.1077223557693
Cows,400-520,Processor,D,3,22,18,255.0,316.0,284.72727272727275,41.0,554.3,672.3,612.5,1236.8,1595.8,1401.3000044389205
Cows,400-520,Processor,D,4,9,NQ,290.0,320.0,315.3333333333333,NQ,604.2,680.9,664.8,1348.5,1616.0,1558.477756076389
Cows,400-520,Restocker,D,2,25,NQ,272.0,275.0,273.08,NQ,597.8,604.4,602.1,1101.6,1278.8,1165.373984375
Cows,520+,Dairy,D,2,3,NQ,255.0,255.0,255,NQ,566.7,566.7,566.7,1695.8,1695.8,1695.75
Cows,520+,Processor,C,4,9,3,315.0,334.0,319.6666666666667,18.5,630.0,654.9,637.9,1886.2,2535.8,2153.9611545138887
Cows,520+,Processor,D,3,24,15,300.0,318.0,306.375,29.9,635.4,672.3,648.5,1590.0,1987.5,1762.6312408447266
Cows,520+,Processor,D,4,276,208,298.0,328.0,321.17028985507244,30.6,620.8,679.2,656.4,1801.8,2447.2,2165.162667094797
Cows,520+,Processor,D,5,2,NQ,320.0,320.0,320,NQ,640.0,640.0,640.0,2624.0,2624.0,2624
Bulls,0-450,Processor,C,1,1,NQ,230.0,230.0,230,NQ,410.7,410.7,410.7,977.5,977.5,977.5
Bulls,450-600,Processor,C,2,4,NQ,265.0,280.0,272.5,NQ,456.9,482.8,469.8,1444.3,1554.0,1499.125
Bulls,600+,Dairy,C,2,2,NQ,292.0,292.0,292,NQ,503.4,503.4,503.4,3139.0,3139.0,3139
Bulls,600+,Dairy,D,2,1,NQ,220.0,220.0,220,NQ,407.4,407.4,407.4,2145.0,2145.0,2145
Bulls,600+,Processor,B,1,5,3,295.0,310.0,301.2,9.2,483.9,501.7,497.1,1888.0,2895.0,2323.9
Bulls,600+,Processor,B,2,12,7,298.0,316.0,308.3333333333333,4.1,500.0,511.5,503.4,1950.0,3681.6,2651.3458251953125
Bulls,600+,Processor,C,1,2,1,240.0,275.0,257.5,17.5,428.6,482.5,455.5,1668.0,2035.0,1851.5
