Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CQLX Gracemere
Report Date: 05/02/2025
Comparison Date: 29/01/2025
Total Yarding: 1248 (-2051)
Commentary
"Numbers at CQLX Gracemere Sale decreased following useful falls of rain in some coastal areas with 1248 head penned - some 2051 less than last week. Most cattle came from local areas to the west and coastal districts south to Miriamvale and included a draft from one recently sold property. Quality and condition varied as did the prices realised, however well presented lines sold at, or above last sale rates, despite some regular buyers not operating.

Light weight yearling steers sold to 445c/kg with well-bred pens averaging 408c/kg. Medium weight pens topped at 437c/kg to return averages from 367c to 428c/kg. Light weight yearling heifers averaged 237c to 321c/kg with the best making 355c/kg. Medium weight lines topped at 341c/kg, averaging 280c to 289c/kg for best-bred pens.

A few grown steers to processors sold from 314c to 349c/kg, whilst feeder weight pens. made from 325c to 354c/kg average. Trade weight grown heifers, well finished rose to a top price of 331c/kg, averaging 297c to 315c/kg.         

Processor cows made to 297c/kg, averaging 285c to 288c/kg - an improvement of 14 to 19c/kg on last sale. Heavy bulls to livex averaged 229c to 235c/kg. Cows and calves made $1,200 to $1,820 per unit.  Reporter: Richard Thomson"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,500-600,Processor,D,3,2,NQ,340.0,340.0,340,NQ,641.5,641.5,641.5,1853.0,1853.0,1853
Grown Steer,600-750,Processor,C,3,1,NQ,314.0,314.0,314,NQ,592.5,592.5,592.5,2025.3,2025.3,2025.300048828125
Grown Heifer,0-540,Feeder,C,2,27,NC,283.0,331.0,319.0740740740741,31.4,544.2,636.5,613.6,963.2,1224.7,1139.033295808015
Grown Heifer,0-540,Feeder,C,3,9,NQ,327.0,327.0,327,NQ,617.0,617.0,617.0,1455.2,1455.2,1455.1500651041667
Grown Heifer,0-540,Feeder,D,2,33,-80,241.0,305.0,280.6969696969697,-10.5,463.5,586.5,539.8,602.5,1082.8,840.2287671638258
Grown Heifer,0-540,Feeder,D,3,16,12,287.0,289.0,287.75,17.8,541.5,545.3,542.9,1054.8,1119.3,1095.1312561035156
Grown Heifer,0-540,Processor,C,3,8,-56,279.0,279.0,279,-11.0,526.4,526.4,526.4,1492.7,1492.7,1492.6500244140625
Grown Heifer,0-540,Processor,C,5,22,NQ,313.0,317.0,315,NQ,590.6,598.1,594.3,1439.8,1474.1,1456.9250710227273
Grown Heifer,0-540,Processor,D,2,14,-26,200.0,281.0,271.2857142857143,20.9,384.6,540.4,521.7,690.0,1320.7,1021.6356724330357
Grown Heifer,0-540,Processor,D,3,43,1,263.0,314.0,291.86046511627904,14.1,505.8,592.5,556.7,912.0,1428.7,1120.9313737736193
Grown Heifer,0-540,Processor,D,4,2,NQ,297.0,297.0,297,NQ,550.0,550.0,550.0,1158.3,1158.3,1158.300048828125
Grown Heifer,0-540,Restocker,C,2,2,-9,289.0,289.0,289,16.2,555.8,555.8,555.8,1098.2,1098.2,1098.199951171875
