Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 15/04/2024
Comparison Date: 08/04/2024
Total Yarding: 2725 (+1360)
Commentary
"The numbers more than double in what was a very mixed quality penning. Young cattle were well supplied along with cows. There were limited supplies of well finished heavy grown steers and heifers.The usual processors were in attendance however there were several of the regular restocker and feedlot orders absence.

Demand was weaker through the young cattle to restock and feed with quality also having an impact on the negative market trends. Weaner steers to restockers saw a cheaper trend of 10c/kg and more in places. The heifer weaners lost all of last weeks strong gains to show a cheaper trend of at least 30c/kg. Cheaper trends also for medium and heavy weight yearling feeder steers with the heavy weights least affected. Light weight yearling heifers were much cheaper with most of the plainer quality lines selling for less than 200c/kg. Medium and heavy weight yearling heifers also sold to cheaper trends. It should be noted that selected pens of well bred yearling steers and heifers in the heavy weight classes remained firm.

Heavy grown steers and heifers to process met with weaker demand to sell to cheaper trends. The cow market met with reduced demand from processors and very little restocker competition. As a result trends were 20c to 30c/kg cheaper."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,400-500,Processor,C,2,3,NQ,200.0,232.0,221.33333333333334,NQ,384.6,429.6,414.6,940.0,1090.4,1040.2666829427083
Grown Steer,500-600,Feeder,C,3,5,-9,328.0,328.0,328,-12.9,607.4,607.4,607.4,1918.8,1918.8,1918.8
Grown Steer,500-600,Processor,C,3,1,-2,220.0,220.0,220,-64.0,407.4,407.4,407.4,1276.0,1276.0,1276
Grown Steer,600-750,Processor,C,2,3,NQ,190.0,236.0,220.66666666666666,NQ,351.9,437.0,408.6,1330.0,1486.8,1434.5333658854167
Grown Steer,600-750,Processor,C,3,1,-2,250.0,250.0,250,-40.0,463.0,463.0,463.0,1625.0,1625.0,1625
Grown Steer,600-750,Processor,C,4,1,NQ,279.0,279.0,279,NQ,516.7,516.7,516.7,1911.2,1911.2,1911.1500244140625
Grown Heifer,0-540,Feeder,D,2,20,17,194.0,194.0,194,-41.0,388.0,388.0,388.0,727.5,727.5,727.5
Grown Heifer,0-540,Processor,C,2,3,-2,160.0,160.0,160,-84.8,307.7,307.7,307.7,640.0,640.0,640
Grown Heifer,0-540,Processor,C,3,15,2,225.0,278.0,260.1333333333333,-11.2,432.7,524.5,493.6,945.0,1390.0,1259.4666666666667
Grown Heifer,0-540,Processor,D,2,3,NC,198.0,198.0,198,-20.0,396.0,396.0,396.0,792.0,792.0,792
Grown Heifer,0-540,Restocker,C,2,4,NQ,239.0,239.0,239,NQ,459.6,459.6,459.6,1051.6,1051.6,1051.5999755859375
Grown Heifer,0-540,Restocker,D,2,4,NQ,166.0,166.0,166,NQ,345.8,345.8,345.8,747.0,747.0,747
Grown Heifer,540+,Processor,C,4,4,3,258.0,275.0,270.75,-7.3,486.8,518.9,510.8,1444.8,1650.0,1598.7000122070312
Cows,400-520,Processor,D,2,68,-69,138.0,180.0,162.05882352941177,-36.4,306.7,400.0,360.1,665.0,918.0,769.3022030101102
Cows,400-520,Processor,D,3,24,-77,155.0,212.0,201.25,-28.5,329.8,441.7,423.1,744.0,1102.4,1019.2583516438802
Cows,400-520,Processor,D,4,9,NQ,225.0,225.0,225,NQ,450.0,450.0,450.0,1170.0,1170.0,1170
Cows,400-520,Restocker,D,2,24,-111,146.0,165.0,161.04166666666666,-42.7,324.4,366.7,357.9,627.8,800.3,740.2604166666666
Cows,520+,Processor,C,3,1,NQ,217.0,217.0,217,NQ,434.0,434.0,434.0,1388.8,1388.8,1388.800048828125
Cows,520+,Processor,D,2,10,NQ,187.0,200.0,189.6,NQ,415.6,444.4,421.3,991.1,1160.0,1024.87998046875
Cows,520+,Processor,D,3,100,52,180.0,218.0,204.99,-34.8,375.0,441.7,427.9,972.0,1280.0,1175.0809924316407
Cows,520+,Processor,D,4,30,-40,200.0,230.0,212.13333333333333,-32.1,416.0,460.0,430.5,1140.0,1495.0,1279.3066650390624
Cows,520+,Processor,D,5,5,2,182.0,212.0,196.8,-13.2,379.2,424.0,406.5,1183.0,1484.0,1354.6
Bulls,0-450,Processor,C,2,10,6,170.0,230.0,210.5,-59.5,326.9,426.9,401.5,660.0,828.0,729.8649963378906
Bulls,450-600,Processor,C,2,6,5,210.0,230.0,217.5,27.5,388.9,425.9,402.8,1008.0,1288.0,1141.1666666666667
Bulls,600+,Processor,B,2,2,NC,225.0,226.0,225.5,-9.5,401.8,403.6,402.7,1469.0,1980.0,1724.5
Bulls,600+,Processor,C,2,13,7,180.0,236.0,206.6153846153846,-15.1,333.3,437.0,382.6,1153.2,1888.0,1541.3384634164663
Bulls,600+,Processor,D,2,3,NQ,160.0,160.0,160,NQ,307.7,307.7,307.7,1120.0,1120.0,1120
