Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Muchea
Report Date: 06/01/2025
Comparison Date: 16/12/2024
Total Yarding: 624 (-598)
Commentary
"The first sale for 2025 presented light supplies made up mostly of mixed quality local cattle and very few pastoral stocks.  Local cattle showing good fat cover and weight along with a breeding component were sought after by the reasonably full buying gallery however store cattle lacking condition or breeding or both were difficult to sell.
Vealer steers in store condition or with smaller frames were selling cheap from 80c to 192c however with more weight and better breeding rates improved dramatically to sell from 242c up to 336c/kg. It was a similar story with vealer heifers lacking weight, size or condition ranging from 40c to 158c and with weight and frame sold from 220c to 262c/kg. Store yearling steers again showing poor breeding or condition sold from 50c to 200c and with more weight and fat cover returned 220c to 366c/kg. Lighter yearling heifers sold from 78c to 190c while better heifers sold to a top of 282c/kg.
Grown steers sold well returning 248c to 310c while grown heifers also held firm making 218c to 258c/kg.  Light framed plain cows struggled to attract bids starting from 20c to 100c while bigger framed store condition cows ranged from 132c to 188c and medium to prime cows sold from 192c to 236c/kg. 
Bulls returning to the paddock sold from 50c to 150c while shipping bulls made 180c to 304c and slaughter bulls returned 162c to 216c/kg.
Terry Birkin MLA."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,0-400,Feeder,D,2,35,19,132.0,188.0,166,18.9,275.0,376.0,340.9,471.2,714.4,603.697705078125
Cows,0-400,Processor,D,1,2,NQ,20.0,50.0,35,NQ,43.5,108.7,76.1,67.2,162.0,114.5999984741211
Cows,0-400,Processor,D,2,2,-11,60.0,100.0,80,-13.2,125.0,217.4,171.2,193.2,336.0,264.5999984741211
Cows,0-400,Processor,D,3,9,NQ,184.0,188.0,185.33333333333334,NQ,368.0,391.7,375.9,688.2,752.0,709.4399956597222
Cows,0-400,Restocker,D,1,1,NQ,28.0,28.0,28,NQ,60.9,60.9,60.9,86.2,86.2,86.23999786376953
Cows,0-400,Restocker,D,2,15,6,78.0,178.0,128.4,8.4,162.5,370.8,268.9,229.3,699.5,457.61598714192706
Cows,400-520,Feeder,D,2,25,-10,172.0,190.0,185.52,25.8,344.0,391.7,380.9,784.0,946.2,821.8079907226562
Cows,400-520,Feeder,D,3,2,-17,192.0,192.0,192,17.5,384.0,384.0,384.0,867.8,867.8,867.8400268554688
Cows,400-520,Processor,D,1,1,NQ,50.0,50.0,50,NQ,108.7,108.7,108.7,235.0,235.0,235
Cows,400-520,Processor,D,2,7,-8,188.0,188.0,188,38.0,376.0,376.0,376.0,767.0,767.0,767.0399693080357
Cows,400-520,Processor,D,3,10,-7,180.0,220.0,204.4,16.6,360.0,440.0,408.8,858.0,1108.8,956.9959899902344
Cows,400-520,Restocker,D,1,1,NQ,50.0,50.0,50,NQ,108.7,108.7,108.7,249.0,249.0,249
Cows,520+,Processor,D,2,1,-17,184.0,184.0,184,3.4,368.0,368.0,368.0,1159.2,1159.2,1159.199951171875
Cows,520+,Processor,D,3,110,-14,198.0,236.0,223.34545454545454,12.8,396.0,472.0,446.7,1039.5,1743.4,1402.6467151988636
Bulls,0-450,Live Export,C,2,10,-4,150.0,200.0,179,51.0,283.0,377.4,337.7,438.0,886.0,625.2400024414062
Bulls,0-450,Live Export,C,3,17,-71,220.0,304.0,278,22.7,400.0,552.7,505.5,506.8,1000.2,776.85057516659
Bulls,0-450,Live Export,D,2,9,NQ,150.0,220.0,212.22222222222223,NQ,288.5,415.1,401.0,521.4,636.0,534.1333550347222
