Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 21/01/2025
Comparison Date: 14/01/2025
Total Yarding: 3256 (-414)
Commentary
"There were approximately 2660 export and 600 young cattle penned representing a decrease of 410 head week-on-week. The usual buying group was present and operating in a cheaper market in places. Quality was good with plenty of finish throughout. Trade cattle eased 5c to 15c while feeder steers sold close to firm. Grown steers and bullocks sold firm. Heavy Grown heifers lost 17c/kg. Manufacturing steers eased 5c to 10c/kg. Heavy beef cows eased 2c while the remainder of the cows gave back 5c to 10c/kg. Heavy bulls lost 10c/kg. 

Vealers sold from 280c to 388c/kg. Yearling trade steers made between 340c and 385c/kg. Yearling heifers to the trade sold between 310c and 373c/kg. Grown steers made from 344c to 386c/kg. Bullocks sold from 375c to 400c/kg. Heavy grown heifers showing good finish made between 305c and 337c/kg. 

Heavy Friesian manufacturing steers sold between 286c and 320c with the crossbred portion between 306c and 384c/kg. Most light and medium weight cows made from 210c to 296c/kg. Heavy weight cows sold mostly from 250c to 320c/kg. Heavy bulls made mostly between 260c and 312c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,750+,Processor,D,4,14,NQ,316.0,316.0,316,NQ,607.7,607.7,607.7,2449.0,2449.0,2449
Grown Heifer,0-540,Dairy,D,2,1,NQ,278.0,278.0,278,NQ,591.5,591.5,591.5,1112.0,1112.0,1112
Grown Heifer,0-540,Dairy,E,2,6,NQ,284.0,288.0,285.3333333333333,NQ,600.0,617.4,611.6,1224.0,1278.0,1260
Grown Heifer,0-540,Processor,D,2,5,1,272.0,290.0,280.4,0.4,566.7,604.2,584.2,1156.0,1450.0,1319.2
Grown Heifer,0-540,Processor,D,3,6,3,325.0,332.0,328.5,0.5,601.9,614.8,608.3,1706.3,1792.8,1749.5250651041667
Grown Heifer,540+,Dairy,D,2,3,NQ,310.0,310.0,310,NQ,620.0,620.0,620.0,2325.0,2325.0,2325
Grown Heifer,540+,Processor,C,2,10,NQ,325.0,325.0,325,NQ,601.9,601.9,601.9,1868.8,1868.8,1868.75
Grown Heifer,540+,Processor,D,2,16,3,304.0,304.0,304,-19.1,633.3,633.3,633.3,1702.4,1702.4,1702.4000244140625
Grown Heifer,540+,Processor,D,3,22,-18,305.0,337.0,322.6363636363636,-17.8,586.5,624.1,606.4,1753.8,1937.8,1840.159090909091
Grown Heifer,540+,Processor,D,4,5,-15,324.0,324.0,324,-4.9,623.1,623.1,623.1,1863.0,1863.0,1863
Cows,0-400,Dairy,E,1,20,-17,200.0,200.0,200,-9.6,500.0,526.3,511.8,750.0,760.0,755.5
Cows,0-400,Restocker,E,1,9,4,188.0,188.0,188,-14.0,470.0,470.0,470.0,752.0,752.0,752
Cows,400-520,Dairy,D,1,15,-4,242.0,255.0,250.73333333333332,-8.5,537.8,566.7,557.2,1041.3,1275.0,1229.1666666666667
Cows,400-520,Dairy,D,2,5,NQ,296.0,296.0,296,NQ,629.8,629.8,629.8,1480.0,1480.0,1480
Cows,400-520,Dairy,E,1,60,-24,210.0,240.0,225.78333333333333,-6.4,519.0,571.4,537.9,1008.0,1200.0,1117.906669108073
Cows,400-520,Dairy,E,2,9,2,235.0,235.0,235,-25.0,534.1,534.1,534.1,1057.5,1057.5,1057.5
Cows,400-520,Processor,D,1,1,-20,245.0,245.0,245,-35.0,544.4,544.4,544.4,1041.3,1041.3,1041.25
Cows,400-520,Processor,D,2,33,17,260.0,285.0,273.42424242424244,5.9,553.2,606.4,579.5,1235.0,1445.6,1387.0787760416667
Cows,400-520,Processor,E,1,16,13,235.0,248.0,244.75,4.8,551.1,559.5,553.2,1081.0,1178.0,1153.75
Cows,400-520,Restocker,D,1,16,6,228.0,230.0,228.875,-13.1,500.0,506.7,503.8,1035.0,1048.8,1042.7625122070312
Cows,400-520,Restocker,E,1,25,-6,212.0,240.0,225.88,-25.1,519.0,571.4,549.8,901.0,1200.0,1019.64
Cows,520+,Dairy,D,1,63,4,242.0,268.0,259.3333333333333,-6.9,526.1,582.6,562.2,1355.2,1742.0,1528.6571335565477
Cows,520+,Dairy,D,2,72,12,260.0,291.0,275.9166666666667,-5.3,553.2,606.3,581.1,1495.0,2130.0,1805.2263997395833
Cows,520+,Dairy,E,1,83,-2,230.0,263.0,238.78313253012047,-13.8,529.5,584.4,543.8,1242.0,1420.2,1326.2337396460844
Cows,520+,Dairy,E,2,14,-22,260.0,278.0,269.35714285714283,-3.7,576.1,604.3,590.9,1404.0,1529.0,1470.3214285714287
Cows,520+,Processor,C,2,2,NQ,300.0,300.0,300,NQ,600.0,600.0,600.0,1650.0,1650.0,1650
Cows,520+,Processor,C,3,18,11,315.0,325.0,316.55555555555554,11.6,588.9,594.3,592.3,2205.0,2275.0,2215.8888888888887
Cows,520+,Processor,D,1,32,18,266.0,274.0,270.375,1.9,578.3,587.0,583.0,1458.0,1507.0,1477.78125
Cows,520+,Processor,D,2,104,-72,260.0,298.0,280.4230769230769,-10.8,553.2,616.7,586.1,1372.8,1740.0,1589.6649169921875
Cows,520+,Processor,D,3,109,-89,292.0,308.0,299,-5.1,592.0,618.4,602.3,1606.0,2149.0,1832.9330293147937
Cows,520+,Processor,D,4,141,-157,294.0,320.0,311.56028368794324,-1.8,588.0,624.0,609.9,1725.0,2424.0,2128.148936170213
Cows,520+,Restocker,D,1,11,10,250.0,250.0,250,-18.0,543.5,543.5,543.5,1437.5,1437.5,1437.5
Cows,520+,Restocker,E,1,9,NQ,252.0,252.0,252,NQ,572.7,572.7,572.7,1386.0,1386.0,1386
Bulls,0-450,Dairy,D,2,2,1,260.0,276.0,268,12.0,541.7,575.0,558.3,1170.0,1173.0,1171.5
Bulls,0-450,Processor,C,2,1,-2,280.0,280.0,280,NC,518.5,518.5,518.5,1260.0,1260.0,1260
Bulls,0-450,Restocker,C,2,2,NQ,256.0,256.0,256,NQ,474.1,474.1,474.1,704.0,704.0,704
Bulls,0-450,Restocker,D,2,9,NQ,255.0,345.0,325,NQ,490.4,663.5,625.0,701.3,1121.3,1027.9166666666667
Bulls,450-600,Dairy,D,2,6,-7,257.0,288.0,282.8333333333333,22.1,494.2,576.0,562.4,1477.8,1656.0,1626.2916666666667
Bulls,450-600,Processor,B,2,2,NQ,282.0,298.0,290,NQ,503.6,513.8,508.7,1621.5,1788.0,1704.75
Bulls,450-600,Processor,C,2,3,-9,276.0,290.0,283.3333333333333,-15.8,501.8,527.3,515.2,1587.0,1740.0,1653.3333333333333
Bulls,450-600,Processor,C,3,1,NC,288.0,288.0,288,-22.0,514.3,514.3,514.3,1656.0,1656.0,1656
Bulls,450-600,Processor,D,2,4,NQ,260.0,260.0,260,NQ,490.6,490.6,490.6,1495.0,1495.0,1495
Bulls,600+,Dairy,D,2,16,-9,260.0,280.0,272.625,-1.1,494.3,538.5,521.2,1904.0,2240.0,2073.40625
Bulls,600+,Processor,B,2,6,-3,285.0,312.0,301.8333333333333,-14.8,491.4,537.9,518.9,1852.5,2325.0,2114.9166666666665
Bulls,600+,Processor,C,2,28,21,275.0,300.0,287.9642857142857,-7.5,492.9,535.7,513.9,1852.5,2612.5,2097.6428571428573
Bulls,600+,Processor,C,3,34,18,280.0,306.0,293.44117647058823,-10.8,491.2,527.6,511.1,1885.0,3355.0,2452.1323529411766
Bulls,600+,Processor,C,4,1,NQ,270.0,270.0,270,NQ,473.7,473.7,473.7,2160.0,2160.0,2160
