Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Echuca
Report Date: 06/11/2024
Comparison Date: 23/10/2024
Total Yarding: 1850 (+110)
Commentary
"Numbers remained high with another 1850 cattle filling the yards to near capacity. There was some stand-out trade steers and heifers of a higher standard than a fortnight ago, while the export run included the usual mix of cows, manufacturing and grown steers. Demand from domestic processors was more energetic, and helped by some outstanding quality, prices averaged dearer after reaching a top of 411c/kg. The main grades of heavy beef cows sold at modestly dearer levels by 3-10c/kg. But there was still some dull spots in the sale, with grown steers, grown heifers and any secondary bred or shaped cattle averaging cheaper compared to the last market at Echuca on October 23.

Competition was keener on good trade cattle, with the lead run mostly in the range of 350c to 380c/kg but with some exceptional Limousin steers and heifers offering high carcass yields pushing above 390c to a top of 411c/kg. The best run of yearling steers in the 400-480kg weight range averaged 365c/kg. Buyers did tend to be weight sensitive and bidding wasn’t as strong on cattle weighing over 520kg. Well bred yearlings and vealers with not quite as much carcass potential or finish from 310c to 345c/kg, with restockers and feeders operating in this price band. Young cattle which sold under 300c/kg tended to be lighter or lack breed quality at 240c to 290c/kg.

The best heavy grown steers were similar to 9c/kg off on some of the bigger types at 320c to 355.6c/kg.  Grown heifers performed around quality at 260 to 320c/kg for most - but noting buyers were selective on plainer shaped grassy types or young females showing signs of being in calf which were discounted down to 240c/kg. 

The cow marked showed consistency at 270c to 290c/kg for most of the lead beef pens, with just occasional sales higher to 306c/kg.  Leaner beef cows 240c to 280c/kg; plainest cows down to 168.6c.

Market reporter: Jenny Kelly"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Manufacturing Steer,540+,Processor,D,2,14,NC,274.6,305.0,278.94287109375,-17.5,518.1,575.5,526.3,1493.8,1708.0,1524.420619419643
Manufacturing Steer,540+,Processor,D,3,139,78,260.0,330.6,304.2791405547437,-2.3,490.6,623.8,572.5,1443.0,2092.7,1816.9035381070144
Manufacturing Steer,540+,Processor,D,4,1,-3,254.0,254.0,254,-56.6,479.2,479.2,479.2,2286.0,2286.0,2286
Manufacturing Steer,540+,Restocker,D,2,12,9,304.6,304.6,304.6000162760417,39.6,585.8,585.8,585.8,1675.3,1675.3,1675.3001302083333
Grown Steer,400-500,Feeder,C,2,1,-2,310.2,310.2,310.20001220703125,-11.1,585.3,585.3,585.3,1349.4,1349.4,1349.3699951171875
Grown Steer,400-500,Processor,C,3,6,3,318.0,340.0,321.6666666666667,-20.4,578.2,629.6,590.3,1496.0,1583.6,1569.0333251953125
Grown Steer,400-500,Restocker,C,2,10,-1,330.6,330.6,330.6,21.0,623.8,623.8,623.8,1540.6,1540.6,1540.59609375
Grown Steer,400-500,Restocker,D,3,1,NC,310.0,310.0,310,-6.6,584.9,584.9,584.9,1534.5,1534.5,1534.5
Grown Steer,500-600,Feeder,C,2,12,NQ,332.6,332.6,332.6000162760417,NQ,627.5,627.5,627.5,1929.1,1929.1,1929.0799153645833
Grown Steer,500-600,Feeder,C,3,12,NQ,342.0,342.0,342,NQ,633.3,633.3,633.3,1990.4,1990.4,1990.43994140625
Grown Steer,500-600,Processor,C,2,1,NQ,322.0,322.0,322,NQ,596.3,596.3,596.3,1642.2,1642.2,1642.199951171875
Grown Steer,500-600,Processor,C,3,42,-2,320.0,348.0,339.1761910574777,-0.2,581.8,632.7,617.2,1704.9,2053.2,1899.7347586495537
Grown Steer,500-600,Processor,C,4,24,12,338.2,345.0,339.7250061035156,-5.7,614.9,627.3,617.7,1863.0,2029.2,1971.0499369303386
