Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Shepparton
Report Date: 29/10/2024
Comparison Date: 22/10/2024
Total Yarding: 1800 (-200)
Commentary
"The numbers were back slightly, however the quality of the export run improved significantly as greater numbers of finished heavy bullocks were offered. There were 1300 exports and 565 trade cattle penned. Returning export operators kept the bidding spirited and prices for the majority of the heavy cattle showed a firm to dearer trend. 

The trade cattle were a mix of both finished and under done types. Feedlotters and store buyers picked through the offering. The best of the vealers made to 387c/kg. The yearling steers to the trade ranged from 325c to 370c/kg. The yearling heifer portion made from 265c to 345c/kg to average 326c/kg. 

The 500 to 600kg steers attracted both the feedlotter and processor interest and prices strengthened for the better bred and finished lines. The C3 and C4’s made from 305c to 370c/kg, while the heavy bullocks over 600kg, with several lots well over the 700kg mark, making from 280c to 370c/kg, with the majority around 340c/kg. The grown heifers reached 344c/kg. There were greater numbers of Friesian steers and the heavier end made from 254c to 301c/kg. Heavy beef cows made from 280c to 298c/kg. The dairy portion ranged from 235c to 266c/kg."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,400-520,Dairy,E,1,12,-35,180.0,190.0,185,-21.0,450.0,500.0,475.0,765.0,864.5,814.75
Cows,400-520,Processor,D,2,33,NQ,241.0,276.0,256,NQ,502.1,563.3,534.3,1084.5,1393.8,1193.4000059185605
Cows,400-520,Processor,D,3,17,NQ,265.0,265.0,265,NQ,540.8,540.8,540.8,1338.3,1338.3,1338.25
Cows,520+,Dairy,D,1,48,-79,235.0,258.0,247.83333333333334,4.5,522.2,573.3,550.7,1292.5,1531.3,1434.7552083333333
Cows,520+,Dairy,D,2,12,NQ,266.0,266.0,266,NQ,578.3,578.3,578.3,1529.5,1529.5,1529.5
Cows,520+,Processor,D,3,9,-54,280.0,280.0,280,2.3,560.0,560.0,560.0,1470.0,1470.0,1470
Cows,520+,Processor,D,4,127,62,282.0,298.0,290.6692913385827,-2.2,542.3,562.3,550.9,1536.9,2197.8,1929.6767962598426
Bulls,0-450,Processor,B,1,5,NQ,270.0,270.0,270,NQ,500.0,500.0,500.0,1174.5,1174.5,1174.5
Bulls,450-600,Processor,B,2,12,NQ,280.0,280.0,280,NQ,518.5,518.5,518.5,1540.0,1540.0,1540
Bulls,600+,Processor,B,2,6,NQ,305.0,305.0,305,NQ,554.5,554.5,554.5,2409.5,2409.5,2409.5
Bulls,600+,Processor,C,1,3,NQ,290.0,295.0,293.3333333333333,NQ,547.2,567.3,560.6,2256.8,2421.5,2311.6666666666665
Bulls,600+,Processor,C,2,5,NQ,300.0,322.0,317.6,NQ,555.6,596.3,588.1,2850.0,3155.6,3094.480078125
Bulls,600+,Processor,C,3,2,NQ,266.0,290.0,284,NQ,492.6,547.2,535.8,1729.0,2320.0,2202.5
Bulls,600+,Processor,C,4,2,NQ,308.0,308.0,308,NQ,570.4,570.4,570.4,2710.4,3080.0,2895.199951171875
