Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Muchea
Report Date: 11/11/2024
Comparison Date: 04/11/2024
Total Yarding: 1958 (+684)
Commentary
"It was a larger sale with 1958 today at Muchea. The sale comprised of several excellent runs of European and British bred weaners, healthy stocks of grown and yearling cattle and again large lines of pastoral steers, cows and bulls. A full buying field were in attendance and were keen on weaners lifting steers up 20c and heifers up 10c while Yearlings generally eased around 10c/kg. Store and medium cows were also slightly softer and Live exporters were strong on bulls over a wide weight range.
Weaner steers showing leaner fat cover were selling from 220c to 292c and with better cover from 300c to 366c and plainer weaner heifers from 170c to 210c and in better condition up to 298c/kg. Apart from the odd plain body yearling steers were mostly in feedlot or slaughter condition and sold consistently from 280c to 340c while yearling heifers started from 180c up to 288c depending on quality.
    Grown steers remained firm selling from 200c up to 288c while grown heifers lifted 10c making 216c to 272c/kg. store cows eased 10c selling from 50c to 138c while medium cows were slightly softer returning 140c to 200c and heavy cows peaked at 220c/kg.
Shipping bulls ranged from 160c to 264c and slaughter bulls were a little softer selling from 170c to 212c/kg
Terry Birkin NLIS."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,0-400,Feeder,D,3,3,1,152.0,176.0,160,NC,316.7,352.0,328.4,525.9,647.7,566.5066528320312
Cows,0-400,Pastoral Cattle,D,1,3,NQ,50.0,84.0,71.33333333333333,NQ,108.7,182.6,155.1,163.0,305.8,251.1866658528646
Cows,0-400,Pastoral Cattle,D,2,23,-12,114.0,174.0,136.17391304347825,2.0,237.5,362.5,283.7,411.5,628.1,478.99219015370244
Cows,0-400,Pastoral Cattle,D,3,6,NQ,160.0,160.0,160,NQ,333.3,333.3,333.3,588.8,588.8,588.7999674479166
Cows,0-400,Processor,D,1,10,NQ,50.0,50.0,50,NQ,108.7,108.7,108.7,161.0,161.0,161
Cows,0-400,Processor,D,2,8,6,120.0,138.0,135.75,5.8,250.0,287.5,282.8,436.8,532.7,520.6949996948242
Cows,0-400,Processor,D,3,7,NQ,176.0,200.0,179.42857142857142,NQ,352.0,400.0,358.9,686.4,780.0,699.771484375
Cows,0-400,Restocker,D,2,1,NQ,122.0,122.0,122,NQ,254.2,254.2,254.2,431.9,431.9,431.8800048828125
Cows,400-520,Feeder,D,2,14,-16,150.0,172.0,162.85714285714286,7.5,312.5,358.3,339.3,711.0,776.0,757.8571428571429
Cows,400-520,Feeder,D,3,21,9,170.0,196.0,173.8095238095238,-3.2,344.0,392.0,351.7,696.6,1019.2,769.8323625837054
