Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,400-500,Processor,D,3,9,-39,214.0,215.0,214.44444444444446,-34.6,398.1,403.8,401.3,973.7,1021.3,994.8333333333334
Grown Steer,400-500,Processor,E,2,5,4,192.0,192.0,192,-8.0,369.2,369.2,369.2,787.2,787.2,787.2
Grown Steer,400-500,Processor,E,3,60,NQ,212.0,218.0,214.3,NQ,407.7,419.2,409.2,911.6,1079.1,985.4700002034505
Grown Steer,500-600,Processor,C,3,12,-4,242.0,244.0,243,-27.0,448.1,451.9,450.0,1258.4,1390.8,1324.60009765625
Grown Steer,500-600,Processor,D,3,38,NQ,232.0,238.0,235.1578947368421,NQ,437.7,449.1,443.7,1171.6,1213.8,1193.8104954769738
Grown Heifer,0-540,Feeder,C,2,10,NQ,226.0,226.0,226,NQ,426.4,426.4,426.4,915.3,915.3,915.3
Grown Heifer,0-540,Feeder,D,2,2,NQ,140.0,140.0,140,NQ,280.0,280.0,280.0,448.0,448.0,448
Grown Heifer,0-540,Processor,C,2,6,NQ,170.0,186.0,178,NQ,333.3,372.0,352.7,586.5,697.5,642
Grown Heifer,0-540,Processor,C,3,21,NQ,214.0,214.0,214,NQ,411.5,411.5,411.5,909.5,909.5,909.5
Grown Heifer,0-540,Processor,C,5,2,NQ,238.0,238.0,238,NQ,440.7,440.7,440.7,1225.7,1225.7,1225.699951171875
Grown Heifer,0-540,Processor,D,2,19,-2,172.0,210.0,193.47368421052633,-16.7,337.3,404.0,385.7,613.8,777.0,698.7894801089639
Grown Heifer,0-540,Processor,D,3,14,-6,180.0,220.0,200.28571428571428,-30.4,360.0,428.0,398.2,657.0,946.0,797.3285435267857
Grown Heifer,0-540,Restocker,D,2,11,NQ,110.0,130.0,115.45454545454545,NQ,220.0,260.0,230.9,297.0,403.0,325.90909090909093
Cows,0-400,Feeder,D,1,27,25,110.0,130.0,122.03703703703704,-33.0,250.0,288.9,270.4,357.5,409.5,386.6296296296296
Cows,0-400,Feeder,D,2,62,61,100.0,148.0,133.83870967741936,-38.2,217.4,321.7,291.0,345.0,532.8,478.6048347719254
Cows,0-400,Processor,C,2,20,19,188.0,190.0,189.8,-0.2,361.5,404.3,400.0,703.0,733.2,706.0200012207031
Cows,0-400,Processor,D,2,117,NC,130.0,188.0,157.12820512820514,-28.4,288.9,408.7,339.9,461.5,733.2,586.4213741987179
Cows,0-400,Processor,D,3,89,34,146.0,180.0,170.3932584269663,-32.5,310.6,383.0,360.1,525.0,695.2,653.7432641875878
Cows,0-400,Processor,E,3,3,-2,170.0,170.0,170,NC,369.6,369.6,369.6,620.5,620.5,620.5
Cows,0-400,Restocker,D,1,54,37,140.0,150.0,147.14814814814815,-8.4,318.2,333.3,324.3,406.0,510.6,485.25926378038196
Cows,0-400,Restocker,D,2,151,124,50.0,178.0,147.57615894039736,-31.9,111.1,378.7,321.1,175.0,658.6,525.6562904206332
Cows,400-520,Feeder,D,2,1,NQ,124.0,124.0,124,NQ,269.6,269.6,269.6,508.4,508.4,508.3999938964844
Cows,400-520,Feeder,D,3,1,NQ,140.0,140.0,140,NQ,269.2,269.2,269.2,630.0,630.0,630
Cows,400-520,Processor,C,3,106,98,182.0,238.0,195.67924528301887,-22.1,371.4,476.0,394.6,841.0,1118.6,943.5217031802771
Cows,400-520,Processor,D,2,68,57,172.0,182.0,177.2058823529412,-10.8,358.3,379.2,371.6,713.8,828.1,769.7455767463235
Cows,400-520,Processor,D,3,715,387,150.0,214.0,182.22237762237762,-29.8,312.5,436.7,377.8,607.5,1091.4,823.9086040790264
Cows,400-520,Restocker,D,2,19,8,158.0,158.0,158,-46.4,336.2,336.2,336.2,655.7,655.7,655.6999897203947
Cows,520+,Processor,C,3,35,24,196.0,202.0,197.2,-23.9,384.3,396.1,386.7,1048.6,1131.2,1061.5542619977678
Cows,520+,Processor,D,3,21,2,190.0,190.0,190,-33.6,387.8,387.8,387.8,997.5,997.5,997.5
Calves,80+,Restocker,D,2,14,NQ,146.0,146.0,146,NQ,280.8,280.8,280.8,204.4,204.4,204.39998953683036
Bulls,0-450,Feeder,C,2,19,NQ,190.0,234.0,196,NQ,365.4,450.0,375.7,665.0,892.5,703.5263157894736
Bulls,0-450,Feeder,D,1,3,2,80.0,140.0,100,-82.0,156.9,274.5,197.1,352.0,588.0,432
Bulls,0-450,Feeder,D,2,24,-6,160.0,200.0,188.41666666666666,-46.1,307.7,384.6,362.3,504.0,850.0,732.9249954223633
Bulls,0-450,Live Export,C,2,3,NQ,222.0,226.0,224.66666666666666,NQ,426.9,434.6,432.1,779.7,976.8,845.4000040690104
Bulls,0-450,Live Export,D,2,34,-22,200.0,232.0,217.41176470588235,-31.7,384.6,446.2,418.1,660.0,823.6,743.8705875172335
Bulls,0-450,Processor,C,2,26,NQ,180.0,210.0,191.92307692307693,NQ,346.2,403.8,369.1,324.0,472.5,388.8076923076923
Bulls,0-450,Processor,D,2,30,NQ,140.0,170.0,142.33333333333334,NQ,269.2,326.9,273.7,336.0,592.0,352.5833333333333
Bulls,0-450,Restocker,C,2,97,NQ,138.0,208.0,194.5979381443299,NQ,265.4,400.0,374.2,252.0,572.0,407.5072096991785
Bulls,0-450,Restocker,D,2,208,NQ,150.0,218.0,192.95192307692307,NQ,288.5,419.2,371.1,316.8,620.0,401.0889446551983
Bulls,450-600,Feeder,C,2,2,-8,200.0,200.0,200,-36.8,377.4,377.4,377.4,1080.0,1080.0,1080
Bulls,450-600,Feeder,D,1,1,NQ,150.0,150.0,150,NQ,294.1,294.1,294.1,690.0,690.0,690
Bulls,450-600,Feeder,D,2,15,-24,100.0,210.0,191.2,-45.1,192.3,403.8,367.2,530.0,1040.0,918.0266276041667
Bulls,450-600,Live Export,C,3,8,6,194.0,250.0,230,-20.0,352.7,454.5,418.2,1105.8,1390.8,1289.4249877929688
Bulls,450-600,Live Export,D,2,1,NQ,234.0,234.0,234,NQ,450.0,450.0,450.0,1123.2,1123.2,1123.199951171875
Bulls,450-600,Live Export,D,3,1,-34,240.0,240.0,240,6.9,452.8,452.8,452.8,1416.0,1416.0,1416
Bulls,450-600,Processor,C,3,3,-2,210.0,238.0,219.33333333333334,-19.5,381.8,440.7,401.5,1197.0,1332.8,1242.2666829427083
Bulls,450-600,Processor,D,2,3,2,130.0,180.0,163.33333333333334,-8.7,250.0,346.2,311.9,611.0,1008.0,857.6666666666666
Bulls,450-600,Processor,D,3,1,NC,180.0,180.0,180,4.0,333.3,333.3,333.3,963.0,963.0,963
Bulls,600+,Feeder,C,3,7,NC,208.0,208.0,208,-28.9,378.2,378.2,378.2,1580.8,1580.8,1580.800083705357
Bulls,600+,Feeder,D,2,3,NQ,222.0,222.0,222,NQ,418.9,418.9,418.9,1387.5,1387.5,1387.5
Bulls,600+,Feeder,D,3,6,5,222.0,222.0,222,122.0,411.1,411.1,411.1,1387.5,1387.5,1387.5
Bulls,600+,Live Export,C,3,7,NQ,226.0,226.0,226,NQ,410.9,410.9,410.9,1536.8,1536.8,1536.800083705357
Bulls,600+,Processor,C,3,15,1,180.0,230.0,214.66666666666666,-21.3,327.3,425.9,394.4,1320.0,1633.0,1521.0666666666666
Bulls,600+,Processor,D,3,3,2,180.0,210.0,190,54.0,333.3,388.9,351.9,1296.0,1512.0,1368
