Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Heifer,200-280,Feeder,C,2,3,NQ,248.0,248.0,248,NQ,476.9,476.9,476.9,558.0,558.0,558
Vealer Heifer,200-280,Feeder,D,2,7,1,180.0,180.0,180,-60.0,346.2,346.2,346.2,468.0,468.0,468
Vealer Heifer,200-280,Processor,C,2,88,54,220.0,260.0,241.3409090909091,11.3,423.1,500.0,464.1,484.0,676.0,555.6784113103694
Vealer Heifer,200-280,Processor,D,2,27,18,180.0,232.0,220.88888888888889,-15.1,346.2,446.2,424.8,414.0,498.8,483.15183738425924
Vealer Heifer,200-280,Restocker,C,2,53,-33,240.0,256.0,249.62264150943398,5.4,461.5,492.3,480.0,504.3,601.6,562.62451171875
Vealer Heifer,200-280,Restocker,D,2,18,-56,210.0,246.0,244,7.9,403.8,473.1,469.2,441.0,504.3,500.78331163194446
Vealer Heifer,280-330,Processor,C,2,3,NQ,236.0,236.0,236,NQ,453.8,453.8,453.8,684.4,684.4,684.4000651041666
Manufacturing Steer,0-540,Processor,C,3,6,3,320.0,320.0,320,-4.0,592.6,592.6,592.6,1712.0,1712.0,1712
Manufacturing Steer,0-540,Processor,D,2,2,-6,246.0,284.0,265,-26.3,473.1,546.2,509.6,959.4,1391.6,1175.5
Manufacturing Steer,0-540,Processor,D,3,64,35,296.0,326.0,311.90625,0.9,558.5,615.1,588.5,1406.0,1760.4,1581.332820892334
Manufacturing Steer,540+,Processor,C,4,13,-6,324.0,324.0,324,-6.3,600.0,600.0,600.0,2057.4,2057.4,2057.399939903846
Manufacturing Steer,540+,Processor,D,3,12,-10,304.0,327.0,324.5,-1.6,573.6,605.6,601.8,1672.0,1952.0,1855.25
Manufacturing Steer,540+,Processor,D,4,7,NQ,328.0,328.0,328,NQ,607.4,607.4,607.4,1902.4,1902.4,1902.3999720982142
Grown Steer,0-400,Feeder,D,2,7,6,235.0,235.0,235,47.0,451.9,451.9,451.9,740.3,740.3,740.25
Grown Steer,0-400,Processor,C,2,1,NQ,266.0,266.0,266,NQ,511.5,511.5,511.5,917.7,917.7,917.7000122070312
Grown Steer,0-400,Processor,D,2,15,-5,200.0,308.0,275.6,18.9,392.2,592.3,530.5,620.0,1216.6,1012.5199951171875
Grown Steer,0-400,Processor,D,3,7,6,248.0,248.0,248,-38.0,476.9,476.9,476.9,793.6,793.6,793.5999581473214
Grown Steer,400-500,Feeder,C,2,6,-42,300.0,300.0,300,-21.0,576.9,576.9,576.9,1410.0,1410.0,1410
Grown Steer,400-500,Processor,C,3,13,NQ,318.0,324.0,320.3076923076923,NQ,588.9,600.0,593.2,1400.7,1577.8,1488.4000338040864
Grown Steer,400-500,Processor,D,2,2,-30,262.0,262.0,262,-30.2,503.8,503.8,503.8,1074.2,1074.2,1074.199951171875
Grown Steer,400-500,Processor,D,3,58,12,292.0,328.0,310.36206896551727,17.5,550.9,618.9,585.6,1283.5,1574.4,1364.568971831223
Grown Steer,500-600,Processor,C,3,1,-20,324.0,324.0,324,2.7,600.0,600.0,600.0,1652.4,1652.4,1652.4000244140625
Grown Heifer,0-540,Feeder,D,2,6,-5,276.0,276.0,276,17.3,530.8,530.8,530.8,1021.2,1021.2,1021.2000325520834
Grown Heifer,0-540,Feeder,D,3,5,NC,268.0,268.0,268,6.0,515.4,515.4,515.4,1005.0,1005.0,1005
Grown Heifer,0-540,Processor,D,2,12,3,222.0,258.0,244.33333333333334,-9.0,444.0,504.0,483.7,710.4,894.6,836.9916483561198
Grown Heifer,0-540,Processor,D,3,68,46,274.0,296.0,289.5,22.6,526.9,567.3,550.1,1164.5,1391.2,1283.4411585190717
Grown Heifer,0-540,Processor,E,2,8,NQ,226.0,226.0,226,NQ,452.0,452.0,452.0,734.5,734.5,734.5
Cows,0-400,Feeder,D,1,19,-3,160.0,230.0,200,13.5,363.6,511.1,448.1,432.0,862.5,581.8684210526316
Cows,0-400,Feeder,E,1,4,NQ,146.0,188.0,177.5,NQ,331.8,427.3,403.4,394.2,535.8,500.3999786376953
Cows,0-400,Processor,D,1,82,70,140.0,250.0,212.58536585365854,22.9,311.1,543.5,472.7,385.0,925.0,677.3804946527248
Cows,0-400,Processor,D,2,167,67,170.0,262.0,242.5748502994012,17.3,369.6,560.9,520.7,603.5,998.4,903.3359290939605
Cows,0-400,Processor,D,3,42,32,252.0,268.0,257.8095238095238,23.8,525.0,570.2,542.3,941.7,1019.1,984.4761904761905
Cows,0-400,Processor,E,2,12,9,211.0,238.0,215.66666666666666,21.7,458.7,517.4,470.5,657.2,821.1,703.5499979654948
Cows,400-520,Feeder,D,2,2,NQ,245.0,245.0,245,NQ,471.2,471.2,471.2,1016.8,1016.8,1016.75
Cows,400-520,Processor,C,2,1,NQ,244.0,244.0,244,NQ,469.2,469.2,469.2,1146.8,1146.8,1146.800048828125
Cows,400-520,Processor,C,3,7,-12,270.0,284.0,274.85714285714283,7.0,540.0,571.4,553.0,1336.5,1476.8,1382.6857212611608
Cows,400-520,Processor,C,4,4,NQ,270.0,270.0,270,NQ,529.4,529.4,529.4,1323.0,1323.0,1323
Cows,400-520,Processor,D,2,47,-8,242.0,262.0,256.97872340425533,8.9,465.4,557.4,547.6,1020.9,1234.2,1083.153211228391
Cows,400-520,Processor,D,3,360,196,248.0,276.0,264.80833333333334,6.4,506.1,574.5,550.1,1012.5,1366.8,1171.4047173394097
Cows,520+,Processor,C,3,26,10,287.0,288.0,287.34615384615387,6.3,574.0,576.0,574.7,1535.4,1540.8,1537.3018704927886
Cows,520+,Processor,C,4,69,57,266.0,294.0,286.95652173913044,9.0,521.6,576.5,558.5,1409.8,1696.5,1643.962303272192
Cows,520+,Processor,D,3,40,13,266.0,293.0,286.825,14.6,542.9,586.0,573.9,1396.5,1655.4,1561.501220703125
Cows,520+,Processor,D,4,8,NQ,276.0,276.0,276,NQ,541.2,541.2,541.2,1462.8,1462.8,1462.800048828125
Calves,80+,Restocker,C,2,14,NQ,236.0,236.0,236,NQ,453.8,453.8,453.8,377.6,377.6,377.59999302455356
Calves,80+,Restocker,D,2,2,-13,150.0,150.0,150,-38.0,288.5,288.5,288.5,165.0,165.0,165
Bulls,0-450,Feeder,C,2,54,43,246.0,256.0,248.55555555555554,26.0,473.1,492.3,477.8,787.5,1126.4,859.7036969220197
Bulls,0-450,Feeder,D,1,1,NQ,190.0,190.0,190,NQ,372.5,372.5,372.5,741.0,741.0,741
Bulls,0-450,Feeder,D,2,129,38,190.0,262.0,236.48062015503876,37.6,365.4,503.8,453.5,399.0,1019.1,764.5437248289123
Bulls,0-450,Feeder,E,2,3,NQ,200.0,200.0,200,NQ,384.6,384.6,384.6,420.0,420.0,420
Bulls,0-450,Processor,C,2,13,-29,240.0,270.0,253.84615384615384,24.0,461.5,509.4,479.6,552.0,1057.8,947.8154109074519
Bulls,0-450,Processor,C,3,1,NQ,270.0,270.0,270,NQ,500.0,500.0,500.0,1201.5,1201.5,1201.5
Bulls,0-450,Processor,D,2,33,-30,208.0,250.0,235.15151515151516,8.0,400.0,480.8,452.5,588.0,1059.1,762.8030192057291
Bulls,0-450,Processor,D,3,5,NQ,230.0,270.0,262,NQ,434.0,509.4,494.3,897.0,1201.5,1129.8
