Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Leongatha
Report Date: 04/02/2025
Comparison Date: 28/01/2025
Total Yarding: 2946 (+379)
Commentary
"There were approximately 2540 export and 400 young cattle penned representing an increase of 380 head week-on-week. The usual buying group was present and operating in a cheaper market in places. Quality was good in the lead pens while secondary and plainer cattle made up a larger proportion of the sale. Well finished trade cattle held firm while the larger offering of secondary and plainer lots sold to weaker competition. Grown steers and bullocks sold firm. Manufacturing steers lost 10c to 25c/kg. Heavy grown heifers eased 5c/kg. Heavy beef cows lost 5c to 15c while most dairy lots gave back 10c to 20c/kg. Restockers were attracted to the lower prices in the cow sale with a number of select pens returning to the paddock. Heavy beef bred bulls sold firm while dairy lots slipped 20c/kg. 

Vealers sold from 263c to 380c/kg. Yearling trade steers made between 320c and 350c/kg. Yearling heifers to the trade sold between 300c and 346c/kg. Grown steers made from 320c to 388c/kg. Bullocks sold from 335c to 406c/kg. Heavy grown heifers showing good finish made between 298c and 350c/kg. 

Heavy Friesian manufacturing steers sold between 220c and 318c with the crossbred portion between 248c and 370c/kg. Most light and medium weight cows made from 165c to 264c/kg. Heavy weight cows sold mostly from 220c to 396c/kg. Restocking cows made between 110c and 220c/kg. Heavy bulls sold between 238c and 322c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Manufacturing Steer,0-540,Restocker,D,1,9,4,336.0,336.0,336,56.0,700.0,700.0,700.0,1680.0,1680.0,1680
Manufacturing Steer,0-540,Restocker,D,2,3,-1,284.0,284.0,284,-27.0,568.0,568.0,568.0,1278.0,1278.0,1278
Manufacturing Steer,540+,Dairy,D,1,104,8,248.0,281.0,264.41346153846155,-25.4,500.0,562.0,539.1,1364.0,1862.0,1615.6033653846155
Manufacturing Steer,540+,Dairy,D,2,295,116,264.0,318.0,281.0440677966102,-24.6,520.8,600.0,542.4,1512.0,2146.5,1898.207627118644
Manufacturing Steer,540+,Dairy,D,3,48,-13,220.0,285.0,262.8333333333333,-16.9,415.1,538.5,496.8,1760.0,2208.8,2049.5625
Manufacturing Steer,540+,Dairy,E,2,10,-21,260.0,275.0,264,-35.1,541.7,572.9,550.0,1430.0,1581.3,1465.75
Manufacturing Steer,540+,Processor,C,2,5,NQ,330.0,330.0,330,NQ,611.1,611.1,611.1,1897.5,1897.5,1897.5
Manufacturing Steer,540+,Processor,C,3,11,NQ,358.0,358.0,358,NQ,650.9,650.9,650.9,2864.0,2864.0,2864
Manufacturing Steer,540+,Processor,D,2,83,-7,248.0,325.0,315.7951807228916,-4.4,467.9,621.6,600.3,1852.5,2385.0,2059.870481927711
Manufacturing Steer,540+,Processor,D,3,86,-7,323.0,370.0,342.4767441860465,-11.4,598.1,685.2,638.5,1815.0,2775.0,2334.8720930232557
Manufacturing Steer,540+,Processor,D,4,15,14,250.0,325.0,300.8,8.8,463.0,601.9,557.0,1932.0,2600.0,2181.266666666667
Manufacturing Steer,540+,Restocker,D,2,17,11,270.0,325.0,307,-19.7,509.4,625.0,586.4,1485.0,1830.0,1763.141170726103
Manufacturing Steer,540+,Restocker,D,3,3,NQ,350.0,350.0,350,NQ,660.4,660.4,660.4,2012.5,2012.5,2012.5
Grown Steer,500-600,Processor,C,2,11,NQ,355.0,358.0,356.90909090909093,NQ,657.4,663.0,660.9,2041.3,2148.0,2109.181818181818
Grown Steer,500-600,Processor,C,3,31,25,360.0,388.0,377.16129032258067,-7.8,654.5,705.5,685.7,1980.0,2231.0,2168.9193548387098
Grown Steer,500-600,Processor,C,4,2,NQ,330.0,340.0,335,NQ,589.3,607.1,598.2,1897.5,2040.0,1968.75
Grown Steer,500-600,Restocker,C,2,32,29,320.0,342.0,337.9375,1.3,592.6,633.3,625.8,1680.0,2052.0,1965.453125
Grown Steer,500-600,Restocker,C,3,3,NQ,360.0,360.0,360,NQ,654.5,654.5,654.5,1980.0,1980.0,1980
Grown Steer,600-750,Feeder,C,2,5,NQ,345.0,345.0,345,NQ,638.9,638.9,638.9,2242.5,2242.5,2242.5
Grown Steer,600-750,Processor,C,2,1,-28,335.0,335.0,335,-32.6,620.4,620.4,620.4,2345.0,2345.0,2345
Grown Steer,600-750,Processor,C,3,4,NQ,370.0,370.0,370,NQ,672.7,672.7,672.7,2405.0,2405.0,2405
Grown Steer,600-750,Processor,C,4,143,47,366.0,406.0,387.965034965035,-2.4,660.7,725.0,693.5,2528.5,2943.5,2788.958041958042
Grown Steer,600-750,Processor,D,3,7,3,368.0,368.0,368,-12.0,681.5,681.5,681.5,2668.0,2668.0,2668
Grown Steer,750+,Processor,C,4,3,-47,355.0,375.0,361.6666666666667,-22.2,633.9,669.6,645.8,3000.0,3017.5,3011.6666666666665
Grown Heifer,0-540,Dairy,D,1,4,-24,184.0,184.0,184,-77.4,400.0,400.0,400.0,736.0,736.0,736
Grown Heifer,0-540,Dairy,D,2,8,NQ,256.0,280.0,262,NQ,544.7,583.3,554.3,1152.0,1400.0,1214
Grown Heifer,0-540,Dairy,E,2,3,2,258.0,258.0,258,-6.0,548.9,548.9,548.9,1032.0,1032.0,1032
Grown Heifer,0-540,Processor,D,2,11,-14,258.0,270.0,264,-14.6,516.0,587.0,550.5,1003.2,1096.5,1024.30908203125
Grown Heifer,0-540,Processor,D,3,6,3,310.0,316.0,314,-5.0,596.2,632.0,620.1,1501.0,1627.5,1543.1666666666667
Grown Heifer,0-540,Processor,D,4,1,-2,305.0,305.0,305,15.0,586.5,586.5,586.5,1601.3,1601.3,1601.25
Grown Heifer,0-540,Restocker,D,2,1,-1,290.0,290.0,290,-2.5,580.0,580.0,580.0,1566.0,1566.0,1566
Grown Heifer,540+,Processor,B,3,2,NQ,350.0,350.0,350,NQ,614.0,614.0,614.0,2100.0,2100.0,2100
Grown Heifer,540+,Processor,D,2,1,-19,308.0,308.0,308,22.6,592.3,592.3,592.3,1771.0,1771.0,1771
Grown Heifer,540+,Processor,D,3,62,12,298.0,335.0,314.56451612903226,-5.4,573.1,620.4,590.9,1705.0,2177.5,1899.991935483871
Grown Heifer,540+,Processor,D,4,13,-13,280.0,312.0,300.9230769230769,-10.3,538.5,596.2,573.6,1650.0,2015.0,1849.5384615384614
Grown Heifer,540+,Restocker,D,3,1,NQ,305.0,305.0,305,NQ,586.5,586.5,586.5,1753.8,1753.8,1753.75
Cows,0-400,Dairy,E,1,2,NQ,154.0,154.0,154,NQ,405.3,405.3,405.3,577.5,577.5,577.5
Cows,0-400,Processor,D,1,5,NQ,180.0,210.0,198,NQ,409.1,477.3,450.0,648.0,798.0,738
Cows,0-400,Restocker,D,1,1,-1,200.0,200.0,200,-18.0,476.2,476.2,476.2,800.0,800.0,800
Cows,0-400,Restocker,E,1,49,44,110.0,182.0,134.75510204081633,-19.2,289.5,455.0,350.9,387.0,682.5,487.7122478874362
Cows,400-520,Dairy,D,1,5,NQ,210.0,210.0,210,NQ,466.7,466.7,466.7,1050.0,1050.0,1050
Cows,400-520,Dairy,E,1,93,63,165.0,212.0,189.752688172043,-28.1,395.2,504.8,456.4,748.0,1007.0,920.8279569892474
Cows,400-520,Dairy,E,2,22,16,215.0,225.0,218.77272727272728,-26.2,477.8,500.0,486.2,918.0,1035.0,1012.1704545454545
Cows,400-520,Processor,D,1,4,NQ,242.0,242.0,242,NQ,537.8,537.8,537.8,1210.0,1210.0,1210
Cows,400-520,Processor,D,2,2,-4,240.0,264.0,252,-15.0,510.6,561.7,536.2,1188.0,1200.0,1194
Cows,400-520,Processor,D,3,13,8,268.0,275.0,273.9230769230769,-30.1,546.9,561.2,559.0,1340.0,1375.0,1369.6153846153845
Cows,400-520,Processor,E,1,9,NQ,210.0,210.0,210,NQ,500.0,500.0,500.0,1050.0,1050.0,1050
Cows,400-520,Restocker,E,1,103,85,165.0,220.0,205,-0.8,412.5,523.8,492.6,742.5,1080.0,982.6796116504854
Cows,520+,Dairy,D,1,60,41,220.0,245.0,232.28333333333333,-7.6,488.9,532.6,506.0,1243.0,1592.5,1319.8950032552084
Cows,520+,Dairy,D,2,50,14,242.0,288.0,267.66,-1.5,514.9,583.3,558.4,1391.5,2304.0,1853.26
Cows,520+,Dairy,E,1,133,98,190.0,228.0,215.21804511278197,-16.3,475.0,518.2,494.3,1045.0,1482.0,1273.389097744361
Cows,520+,Dairy,E,2,4,-2,233.0,256.0,244.5,-0.5,517.8,544.7,531.2,1258.2,1536.0,1397.0999755859375
Cows,520+,Processor,C,2,7,NQ,277.0,277.0,277,NQ,565.3,565.3,565.3,1592.8,1592.8,1592.75
Cows,520+,Processor,D,1,17,7,258.0,258.0,258,-4.0,548.9,548.9,548.9,1444.8,1444.8,1444.8000919117646
Cows,520+,Processor,D,2,105,11,248.0,280.0,264.84761904761905,-12.4,527.7,577.1,556.0,1364.0,1610.0,1497.770470610119
Cows,520+,Processor,D,3,46,-31,268.0,287.0,274.69565217391306,-12.4,546.9,571.4,559.9,1500.8,1960.0,1691.381538722826
Cows,520+,Processor,D,4,138,-4,277.0,296.0,290.0289855072464,-5.5,536.5,584.0,567.2,1722.0,2220.0,1936.1847826086957
Cows,520+,Processor,D,5,4,-4,270.0,270.0,270,-25.0,540.0,540.0,540.0,1755.0,1755.0,1755
Cows,520+,Restocker,E,1,1,NQ,195.0,195.0,195,NQ,464.3,464.3,464.3,1092.0,1092.0,1092
Bulls,0-450,Processor,C,1,18,NQ,208.0,214.0,210.33333333333334,NQ,400.0,411.5,404.5,770.4,832.0,808.0444607204861
Bulls,0-450,Processor,C,2,9,2,265.0,290.0,270.55555555555554,27.7,490.7,527.3,498.9,1007.0,1305.0,1073.2222222222222
Bulls,0-450,Restocker,B,2,2,NQ,270.0,270.0,270,NQ,482.1,482.1,482.1,891.0,891.0,891
Bulls,0-450,Restocker,C,2,2,NQ,240.0,248.0,244,NQ,444.4,459.3,451.9,744.0,780.0,762
Bulls,450-600,Dairy,D,1,3,NQ,248.0,253.0,250.33333333333334,NQ,496.0,527.1,507.7,1315.6,1488.0,1392.8666585286458
Bulls,450-600,Dairy,D,2,10,5,232.0,268.0,248.5,-30.3,446.2,515.4,481.6,1276.0,1541.0,1459.975
Bulls,450-600,Processor,B,2,4,2,280.0,320.0,301.5,10.5,482.8,534.5,515.2,1406.0,1920.0,1660.25
Bulls,450-600,Processor,C,2,32,20,240.0,290.0,283,-3.2,436.4,533.3,509.3,1140.0,1728.0,1460.8046875
Bulls,450-600,Restocker,C,2,1,NQ,302.0,302.0,302,NQ,549.1,549.1,549.1,1510.0,1510.0,1510
Bulls,600+,Dairy,D,1,1,-4,238.0,238.0,238,-25.4,476.0,476.0,476.0,1547.0,1547.0,1547
Bulls,600+,Dairy,D,2,16,1,240.0,280.0,264,-20.4,459.3,524.5,497.6,1638.0,2286.0,1960.53125
Bulls,600+,Processor,B,2,7,2,300.0,322.0,309.57142857142856,0.0,517.2,536.7,523.4,2025.0,2826.0,2413.785714285714
Bulls,600+,Processor,C,2,8,4,280.0,296.0,289.625,-1.4,500.0,528.6,517.2,1820.0,2465.0,2155.625
Bulls,600+,Processor,C,3,5,-6,290.0,296.0,294.2,-6.5,500.0,517.5,512.6,2507.5,2960.0,2618.5
Bulls,600+,Processor,C,4,3,NQ,260.0,295.0,280,NQ,448.3,517.5,485.7,2655.0,3135.0,2970
