Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CQLX Gracemere
Report Date: 29/01/2025
Comparison Date: 
Total Yarding: 3299 (NQ)
Commentary
"CQLX vendors offered 3299 head this week at Gracemere - 741 less than last sale. Quality was variable throughout the sale with several drafts of plain conditioned cross bred grown steers for feeders along with smaller runs of restocker and feeder steers and heifers present. Competition came from a smaller feeder gallery, the usual processors panel of buyers and an ever-changing restockers buying group. Price variations were mostly in line with quality.

Vealer steers sold to 425c/kg, whilst vealer heifers topped at 317c/kg to average 250c to 284c/kg.

Light weight pens of Yearling steers saw the best-bred lines sell to 447c/kg with averages from 385c to 412c/kg. Medium weight lines made to 425c/kg, averaging 380c to 407c/kg. Light weight pens of yearling heifers, selling to 331c/kg, averaged 253c to 296c/kg, whilst the medium weights reached a 337c/kg top to average 263c to 315c/kg.

Grown steers in plain condition, with Brahman content averaged from 308c to 341c/kg with better cross bred feeders selling to 415c/kg to average 374c to 386c/kg. A few bullocks offered sold to average 338c/kg. Grown heifers to trade buyers sold to average 272c to 296c/kg, topping at 312c/kg.

Several lines of store conditioned cows went back to restockers, making to 251c/kg, while prime, score four cows made to 295c/kg to return a 275c/kg average.  Again, heavy bulls sold to processors at a reduced average of 244c/kg. Good average cows and calves sold from $1,200 to $1,500 per unit."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Steer,400-500,Restocker,E,3,1,NQ,255.0,255.0,255,NQ,472.2,472.2,472.2,1071.0,1071.0,1071
Grown Steer,500-600,Feeder,C,3,34,-25,340.0,360.0,352.5882352941176,10.2,641.5,679.2,665.3,1836.0,1904.0,1883.5411305147059
Grown Steer,500-600,Processor,C,4,11,3,331.0,343.0,337.54545454545456,-23.5,613.0,635.2,625.1,1936.3,2023.7,1983.9953835227273
Grown Heifer,0-540,Feeder,C,2,27,-136,265.0,297.0,287.7037037037037,-23.7,509.6,571.2,553.3,1054.3,1247.4,1096.2351888020833
Grown Heifer,0-540,Feeder,D,2,113,-156,224.0,307.0,291.16814159292034,-3.9,487.0,590.4,560.9,874.5,1166.6,1067.6402242204783
Grown Heifer,0-540,Feeder,D,3,4,-8,270.0,270.0,270,-47.5,519.2,519.2,519.2,985.5,985.5,985.5
Grown Heifer,0-540,Feeder,E,2,3,-1,180.0,180.0,180,-40.0,346.2,346.2,346.2,594.0,594.0,594
Grown Heifer,0-540,Processor,C,2,39,25,269.0,275.0,272.53846153846155,-34.7,517.3,528.8,524.1,955.5,981.8,971.5884415064103
Grown Heifer,0-540,Processor,C,3,64,49,257.0,303.0,290,-16.7,484.9,571.7,547.2,1035.7,1410.0,1291.5031623840332
Grown Heifer,0-540,Processor,C,4,11,8,290.0,312.0,296.1818181818182,-4.8,538.9,577.8,554.0,1251.3,1482.0,1327.69091796875
Grown Heifer,0-540,Processor,D,2,40,-46,180.0,263.0,250.375,-24.3,346.2,505.8,481.5,630.0,1100.0,914.26875
Grown Heifer,0-540,Processor,D,3,42,29,250.0,299.0,277.8095238095238,-31.2,480.8,564.2,524.6,862.5,1405.3,1218.5940813337054
Grown Heifer,0-540,Processor,E,2,3,NQ,170.0,250.0,220,NQ,361.7,520.8,448.0,467.5,950.0,736.5
Grown Heifer,0-540,Restocker,C,2,11,-85,267.0,275.0,272.8181818181818,-45.1,513.5,528.8,524.7,935.0,1148.1,993.1181640625
Grown Heifer,0-540,Restocker,C,3,15,NQ,279.0,279.0,279,NQ,526.4,526.4,526.4,1129.9,1129.9,1129.95
Grown Heifer,0-540,Restocker,D,2,68,-148,221.0,283.0,256.86764705882354,-18.3,459.6,544.2,498.9,648.0,953.8,871.2514792049633
Cows,0-400,Feeder,D,1,1,NQ,180.0,180.0,180,NQ,428.6,428.6,428.6,666.0,666.0,666
Cows,0-400,Processor,D,2,2,NQ,230.0,230.0,230,NQ,442.3,442.3,442.3,920.0,920.0,920
Cows,0-400,Restocker,D,2,10,NQ,213.0,251.0,221.8,NQ,484.1,570.5,501.9,820.0,903.6,841.37998046875
Cows,400-520,Processor,D,2,38,-7,227.0,255.0,236.81578947368422,-23.7,493.5,542.6,515.9,987.5,1326.0,1074.2052499871504
Cows,400-520,Processor,D,3,40,-61,233.0,291.0,260.225,-8.8,475.5,619.1,544.1,1020.6,1364.8,1222.9162689208983
Cows,400-520,Processor,D,4,7,-40,247.0,259.0,253.85714285714286,-31.0,494.0,518.0,507.7,1197.9,1204.3,1201.6071079799108
Cows,400-520,Restocker,D,2,120,112,207.0,265.0,236.475,-18.5,454.3,576.1,525.5,879.8,1192.5,1011.0616678873698
Cows,400-520,Restocker,D,3,5,NQ,247.0,247.0,247,NQ,574.4,574.4,574.4,1099.2,1099.2,1099.15
