Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Roma Store
Report Date: 25/02/2025
Comparison Date: 
Total Yarding: 6745 (NQ)
Commentary
"Roma Agents yarded 6,745 head. All the regular processors feedlotters and backgrounders and present but selective. The market could not maintain the levels of last sale. A quality yarding of heavy heifers and cows penned.

Yearling steers under 200g made to 330c/kg. Yearling steers 200 to 280kg topped 488c/kg. Yearling steers 280 to 330kg with the majority selling from 302c to 452c/kg. Yearling steers 330 to 400kg made from 354c to 428c/kg for the better pens. Yearling steers 400 to 480kg sold from 314c to 382c to feed and 386c/kg to restockers. Yearling steers over 480kg made from 324c to 408c/kg to feed.

Yearling heifers under 200kg topped 326c/kg. Yearling heifers 200 to 280kg made from 210c for the plainer types to 364c/kg. Yearling heifers 280 to 330kg sold from 210 to 354c/kg. Yearling heifers 330 to 400kg made to 364c/kg to restockers. Yearling heifers 400 to 480kg made to 362c/kg. Yearling heifers over 480kg topped 336c/kg to processors.

Bullocks over 600kg topped 340c with grown heifers over 540kg 337c/kg to processors. A quality yarding of cows penned and improved marginally. The 2 score cows 400 to 520kg sold from 200c to 276c/kg. The 3 score cows over 520kg topped 318c and sold from 270c/kg. Bulls over 600kg topped 308c/kg. Bulls 450 to 600kg to 320c and young bulls under 450kg made 412c/kg to restockers.

Market Reporter David Friend."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Processor,D,2,1,NQ,150.0,150.0,150,NQ,300.0,300.0,300.0,780.0,780.0,780
Grown Heifer,0-540,Processor,D,3,1,NQ,150.0,150.0,150,NQ,300.0,300.0,300.0,780.0,780.0,780
Grown Heifer,0-540,Restocker,C,2,1,NQ,240.0,240.0,240,NQ,480.0,480.0,480.0,792.0,792.0,792
Grown Heifer,0-540,Restocker,C,3,18,-31,326.2,326.2,326.20000542534723,29.9,652.4,652.4,652.4,1565.8,1565.8,1565.759982638889
Grown Heifer,540+,Processor,C,2,1,NQ,210.0,210.0,210,NQ,420.0,420.0,420.0,1218.0,1218.0,1218
Grown Heifer,540+,Processor,C,3,125,57,280.2,337.2,318.64801123046874,-5.5,560.4,674.4,637.3,1740.0,2177.4,1846.35994140625
Grown Heifer,540+,Processor,D,3,5,NQ,307.2,307.2,307.2,NQ,614.4,614.4,614.4,2089.0,2089.0,2088.96015625
Grown Heifer,540+,Restocker,C,3,1,NQ,250.0,250.0,250,NQ,500.0,500.0,500.0,1375.0,1375.0,1375
Cows,400-520,Processor,D,1,2,NC,160.0,180.0,170,18.9,320.0,360.0,340.0,832.0,900.0,866
Cows,400-520,Processor,D,2,26,NC,200.0,260.0,225.6230750450721,-4.0,400.0,520.0,451.2,1000.0,1320.8,1131.6384652944712
Cows,400-520,Processor,D,3,9,NQ,244.2,276.2,269.08890448676215,NQ,488.4,552.4,538.2,1221.0,1436.2,1388.4088541666667
Cows,400-520,Restocker,D,1,14,7,160.0,180.0,172.85714285714286,4.0,320.0,360.0,345.7,800.0,900.0,864.2857142857143
Cows,400-520,Restocker,D,2,8,-28,210.0,216.2,214.42499542236328,-9.6,420.0,432.4,428.8,1092.0,1113.8,1105.281005859375
Cows,520+,Processor,C,3,2,NQ,285.0,288.2,286.6000061035156,NQ,570.0,576.4,573.2,2882.0,3135.0,3008.5
Cows,520+,Processor,D,1,3,NC,140.2,140.2,140.1999969482422,-19.8,280.4,280.4,280.4,841.2,841.2,841.2000122070312
Cows,520+,Processor,D,2,140,-17,200.0,305.0,252.88714239937917,0.0,400.0,610.0,505.8,1200.0,2548.4,1518.6753635951452
Cows,520+,Processor,D,3,658,-343,270.0,318.0,290.76474611230174,-1.3,540.0,636.0,581.5,1501.2,2226.0,1861.3850971442225
Cows,520+,Restocker,D,1,3,NQ,180.0,198.2,192.13333129882812,NQ,360.0,396.4,384.3,1189.2,1224.0,1200.7999674479167
Cows,520+,Restocker,D,2,11,-7,210.0,242.2,235.2727286598899,5.2,420.0,484.4,470.5,1218.0,1404.8,1351.8800159801137
Bulls,0-450,Feeder,C,2,9,-9,300.2,300.2,300.20000542534723,8.2,566.4,566.4,566.4,960.6,960.6,960.6399739583334
Bulls,0-450,Restocker,C,2,63,-25,222.2,412.2,322.2254103403243,-30.0,444.4,777.7,608.4,577.7,1162.5,940.0644337487599
Bulls,0-450,Restocker,D,2,3,NQ,120.2,120.2,120.19999186197917,NQ,226.8,226.8,226.8,360.6,360.6,360.6000162760417
Bulls,450-600,Feeder,C,2,2,NC,298.2,298.2,298.20001220703125,-2.6,562.6,562.6,562.6,1514.9,1514.9,1514.8560791015625
Bulls,450-600,Processor,C,2,55,41,268.2,320.0,319.05818204012786,27.1,506.0,603.8,602.0,1287.4,1446.4,1443.5083939985795
Bulls,600+,Processor,C,2,3,-33,280.2,280.2,280.20001220703125,-8.4,528.7,528.7,528.7,2802.0,2802.0,2802
Bulls,600+,Processor,C,3,103,54,100.0,308.2,281.4446668902647,5.1,200.0,616.4,562.9,1100.0,3390.2,3026.181977207221
Bulls,600+,Processor,D,2,2,NQ,260.0,260.0,260,NQ,520.0,520.0,520.0,2600.0,2600.0,2600
