Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Manufacturing Steer,0-540,Processor,E,3,1,NQ,266.0,266.0,266,NQ,511.5,511.5,511.5,1343.3,1343.3,1343.300048828125
Manufacturing Steer,0-540,Restocker,D,2,38,NQ,248.0,276.0,270.2105263157895,NQ,486.3,530.8,519.9,1103.6,1342.6,1279.1579300729852
Manufacturing Steer,540+,Processor,C,3,19,NQ,295.0,300.0,298.94736842105266,NQ,546.3,555.6,553.6,1829.0,1830.0,1829.7894736842106
Manufacturing Steer,540+,Processor,C,4,1,-8,286.0,286.0,286,-44.0,529.6,529.6,529.6,1801.8,1801.8,1801.800048828125
Manufacturing Steer,540+,Processor,D,3,22,21,270.0,296.0,291.3636363636364,-39.6,500.0,558.5,548.9,1539.0,1629.6,1613.909090909091
Grown Steer,0-400,Feeder,D,2,26,17,220.0,280.0,259.9230769230769,47.6,423.1,538.5,499.9,781.0,1092.0,969.2076932466947
Grown Steer,0-400,Processor,E,3,7,6,172.0,230.0,217.71428571428572,21.7,330.8,442.3,418.7,670.8,874.0,818.2285679408482
Grown Steer,0-400,Restocker,D,2,24,NQ,256.0,286.0,274.75,NQ,492.3,550.0,528.4,985.6,1058.2,1030.9749348958333
Grown Steer,400-500,Feeder,C,2,1,NQ,282.0,282.0,282,NQ,532.1,532.1,532.1,1198.5,1198.5,1198.5
Grown Steer,400-500,Feeder,D,2,15,NQ,260.0,284.0,268.6666666666667,NQ,500.0,546.2,516.7,1090.6,1325.4,1187.8266764322916
Grown Steer,400-500,Processor,C,3,1,-3,282.0,282.0,282,-36.0,522.2,522.2,522.2,1297.2,1297.2,1297.199951171875
Grown Steer,400-500,Processor,D,3,17,13,254.0,286.0,263.52941176470586,-28.0,472.2,539.6,493.0,1079.5,1372.8,1198.2529440487133
Grown Steer,400-500,Processor,E,3,10,NQ,236.0,236.0,236,NQ,445.3,445.3,445.3,979.4,979.4,979.4
Grown Steer,400-500,Restocker,D,2,12,NQ,262.0,282.0,267,NQ,503.8,542.3,513.5,1074.2,1240.8,1114.6749877929688
Grown Steer,400-500,Restocker,D,3,8,NQ,278.0,278.0,278,NQ,524.5,524.5,524.5,1292.7,1292.7,1292.699951171875
Grown Steer,500-600,Processor,D,3,15,5,283.0,283.0,283,-58.0,534.0,534.0,534.0,1485.8,1485.8,1485.75
Grown Heifer,0-540,Feeder,C,2,22,NQ,240.0,254.0,252.27272727272728,NQ,461.5,488.5,485.1,866.2,1068.0,948.3318370472301
Grown Heifer,0-540,Feeder,C,3,10,NQ,263.0,263.0,263,NQ,505.8,505.8,505.8,1025.7,1025.7,1025.7
Grown Heifer,0-540,Feeder,D,1,1,NQ,176.0,176.0,176,NQ,359.2,359.2,359.2,475.2,475.2,475.20001220703125
Grown Heifer,0-540,Feeder,D,2,48,36,220.0,253.0,223.875,-15.1,440.0,486.5,445.0,759.0,1062.6,804.0416666666666
Grown Heifer,0-540,Feeder,D,3,9,NQ,222.0,282.0,268.8888888888889,NQ,444.0,542.3,519.0,899.1,1099.8,1071.6778157552083
Grown Heifer,0-540,Processor,C,2,1,NQ,246.0,246.0,246,NQ,473.1,473.1,473.1,873.3,873.3,873.2999877929688
Grown Heifer,0-540,Processor,C,3,21,14,256.0,276.0,272.76190476190476,-2.1,492.3,520.8,513.7,998.4,1397.4,1212.8142961774554
Grown Heifer,0-540,Processor,D,2,9,NQ,176.0,242.0,214.44444444444446,NQ,359.2,484.0,430.5,545.6,893.2,760.1555514865452
Grown Heifer,0-540,Processor,D,3,24,16,252.0,278.0,270.6666666666667,9.2,475.5,530.8,518.1,990.6,1348.3,1137.8041687011719
Grown Heifer,0-540,Restocker,D,2,2,-9,260.0,260.0,260,-4.0,500.0,500.0,500.0,936.0,936.0,936
Cows,0-400,Feeder,D,1,30,15,140.0,178.0,166.93333333333334,-8.3,311.1,395.6,371.0,477.4,623.0,579.6533325195312
Cows,0-400,Feeder,D,2,27,-20,170.0,212.0,173.1851851851852,-21.7,361.7,460.9,369.8,586.5,773.8,646.5925925925926
Cows,0-400,Feeder,E,1,8,-11,40.0,150.0,113.75,32.1,90.9,340.9,254.3,122.0,585.0,348.3125
Cows,0-400,Feeder,E,2,1,NC,168.0,168.0,168,26.0,373.3,373.3,373.3,495.6,495.6,495.6000061035156
Cows,0-400,Processor,D,2,164,NQ,180.0,226.0,203.08536585365854,NQ,391.3,487.0,438.5,657.0,858.8,769.7219469023914
Cows,0-400,Processor,D,3,53,42,210.0,230.0,221.69811320754718,-14.3,446.8,479.2,468.8,798.0,920.0,869.2830188679245
Cows,0-400,Processor,E,2,28,NQ,142.0,224.0,209.64285714285714,NQ,308.7,487.0,455.7,475.7,795.2,741.8607286725726
Cows,0-400,Restocker,D,2,12,7,192.0,192.0,192,-12.0,426.7,426.7,426.7,681.6,681.6,681.5999755859375
Cows,400-520,Feeder,D,2,6,-3,110.0,210.0,190.66666666666666,-24.3,234.0,456.5,413.6,473.0,861.0,778.5333251953125
Cows,400-520,Processor,C,3,92,72,238.0,268.0,250.5326086956522,-14.2,476.0,536.0,509.4,1023.4,1366.8,1223.9576044497283
Cows,400-520,Processor,D,2,56,50,170.0,236.0,221.46428571428572,-10.5,369.6,500.0,470.2,697.0,1121.0,933.4499947684152
Cows,400-520,Processor,D,3,399,332,210.0,255.0,236.11027568922304,-11.8,437.5,525.0,491.0,861.0,1326.0,1078.4132350835584
Cows,400-520,Processor,E,3,9,NQ,180.0,196.0,185.33333333333334,NQ,383.0,417.0,394.3,729.0,793.8,750.5999891493055
Cows,400-520,Restocker,D,2,1,NQ,242.0,242.0,242,NQ,526.1,526.1,526.1,1028.5,1028.5,1028.5
Cows,520+,Processor,C,3,25,NQ,250.0,264.0,260.96,NQ,490.2,530.6,521.7,1378.0,1465.2,1436.84796875
Cows,520+,Processor,C,4,16,5,250.0,270.0,256.25,-10.1,500.0,509.4,502.9,1362.5,1768.5,1489.375
Cows,520+,Processor,D,3,17,15,242.0,256.0,252.94117647058823,16.9,484.0,522.4,515.0,1270.5,1382.4,1352.6471162683824
Bulls,0-450,Feeder,C,2,40,32,240.0,278.0,260.85,71.6,461.5,534.6,501.2,576.0,1139.8,806.0975036621094
Bulls,0-450,Feeder,C,3,2,NQ,270.0,270.0,270,NQ,509.4,509.4,509.4,1174.5,1174.5,1174.5
