Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,0-540,Feeder,D,2,16,15,100.0,222.0,214.375,108.4,208.3,426.9,413.3,255.0,788.1,754.78125
Grown Heifer,0-540,Feeder,E,2,2,NQ,50.0,50.0,50,NQ,98.0,98.0,98.0,132.5,132.5,132.5
Grown Heifer,0-540,Processor,C,3,26,-22,260.0,288.0,268.84615384615387,0.5,490.6,543.4,509.1,917.7,1310.4,1104.8692439152644
Grown Heifer,0-540,Processor,D,2,24,-11,200.0,248.0,223.91666666666666,-9.2,400.0,496.0,450.9,627.2,1054.0,699.2208379109701
Grown Heifer,0-540,Processor,D,3,3,-66,248.0,262.0,254.66666666666666,-10.9,486.3,503.8,492.9,892.8,1155.7,1062.7332967122395
Grown Heifer,0-540,Processor,E,2,13,12,200.0,200.0,200,NC,384.6,384.6,384.6,620.0,620.0,620
Cows,0-400,Feeder,D,1,10,NQ,105.0,150.0,145.5,NQ,238.6,333.3,323.9,388.5,487.5,477.6
Cows,0-400,Feeder,E,1,17,16,120.0,120.0,120,-14.0,266.7,266.7,266.7,354.0,354.0,354
Cows,0-400,Feeder,E,2,1,NQ,186.0,186.0,186,NQ,413.3,413.3,413.3,567.3,567.3,567.2999877929688
Cows,0-400,Processor,D,1,42,-32,174.0,204.0,194.23809523809524,26.4,386.7,453.3,429.5,582.9,717.1,665.3309413364956
Cows,0-400,Processor,D,2,41,-422,195.0,240.0,217.73170731707316,17.8,423.9,510.6,476.1,721.5,960.0,827.1219571741616
Cows,0-400,Processor,D,3,60,52,190.0,250.0,236.06666666666666,17.1,404.3,531.9,502.3,608.0,979.6,912.9266469319662
Cows,0-400,Processor,E,2,10,6,188.0,188.0,188,8.0,417.8,417.8,417.8,611.0,611.0,611
Cows,0-400,Restocker,D,1,72,NQ,140.0,220.0,185.83333333333334,NQ,311.1,488.9,412.8,420.0,803.0,639.8194376627604
Cows,0-400,Restocker,D,2,25,NQ,196.0,202.0,198.88,NQ,426.1,439.1,432.3,686.8,695.8,691.4799609375
Cows,0-400,Restocker,E,1,2,1,24.0,24.0,24,-36.0,53.3,53.3,53.3,67.2,67.2,67.19999694824219
Cows,400-520,Feeder,D,1,3,NQ,186.0,186.0,186,NQ,413.3,413.3,413.3,781.2,781.2,781.2000325520834
Cows,400-520,Processor,C,3,45,44,258.0,268.0,264.1777777777778,-3.8,526.5,546.9,538.9,1082.4,1366.8,1307.2222249348958
Cows,400-520,Processor,D,2,64,NQ,210.0,250.0,230.15625,NQ,446.8,520.8,485.2,850.5,1137.5,985.2000198364258
Cows,400-520,Processor,D,3,115,-234,228.0,264.0,252.10434782608695,1.9,479.2,545.8,523.4,957.6,1275.0,1089.4530475118886
Cows,520+,Processor,C,3,16,NQ,258.0,258.0,258,NQ,526.5,526.5,526.5,1496.4,1496.4,1496.4000244140625
Cows,520+,Processor,C,4,2,-27,268.0,268.0,268,4.6,536.0,536.0,536.0,1420.4,1420.4,1420.4000244140625
Cows,520+,Processor,D,3,10,NQ,260.0,268.0,266.4,NQ,520.0,558.3,550.7,1407.0,1456.0,1416.8
Calves,80+,Restocker,D,1,2,NQ,200.0,200.0,200,NQ,392.2,392.2,392.2,220.0,220.0,220
Bulls,0-450,Feeder,C,2,22,9,226.0,294.0,239.54545454545453,-24.5,434.6,554.7,458.7,519.8,984.9,620.4681784889915
Bulls,0-450,Feeder,D,1,20,NQ,100.0,180.0,104,NQ,196.1,352.9,203.9,235.0,558.0,251.15
Bulls,0-450,Feeder,D,2,176,-21,120.0,252.0,222.5681818181818,36.8,235.3,484.6,428.0,330.0,1083.6,536.7721623507413
