Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CQLX Gracemere
Report Date: 05/03/2025
Comparison Date: 26/02/2025
Total Yarding: 3137 (+84)
Commentary
"There was only a small increase in numbers of 84 head to 3137 head at CQLX Gracemere sale. Cattle were drawn from all local districts. North and south coastal vendors and a large draft from North Queensland. Quality, as usual was mixed, although there were several lines of well-bred, well-presented cattle. Although some buyers were not operating due to the prevailing weather conditions to the south, most of the usual panel was present and operating, albeit on reduced limits. The few classes that saw increases were quality related, with the sale easier than last week.

The few vealer steers sold to 377c/kg to average 307c to 362c/kg. Vealer heifers recorded averages from 250c to 291c/kg.

Light weight yearling steers sold to 415c/kg with large samples of well-bred lines averaging 355c/kg and plain lines 305c/kg. Medium weight lines averaged 335c to 366c/kg for the best bred pens. Light weight yearling heifers sold to 302c/kg, averaging 264c to 286c/kg for the best. Medium weight pens averaged 255c to 295c/kg.

The few bullocks and grown steers to processors made to 343c/kg, averaging 304c to 337c/kg. Large samples to feed and restockers averaged 325c to 365c/kg. Grown heifers to the trade saw the tops make 304c/kg and averages from 280c to 297c/kg. Those to feed averaged 265c to 299c/kg.

A few restocker cows averaged 236c to 243c/kg in what was generally a better conditioned offering of cows than previous weeks. Best conditioned, heavy, four score cows eased to average 270c/kg to processors. Heavy bulls to processors averaged 244c/kg and to Livex 254c/kg, again a considerable easing on last sale.  Reporter: Richard Thomson."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Cows,400-520,Processor,E,3,9,NQ,235.0,238.0,236.33333333333334,NQ,500.0,506.4,502.8,1198.5,1225.7,1210.5888671875
Cows,400-520,Restocker,D,2,5,-1,235.0,241.0,236.2,-29.5,510.9,523.9,513.5,998.8,1144.8,1027.95
Cows,400-520,Restocker,D,4,1,NQ,243.0,243.0,243,NQ,528.3,528.3,528.3,1227.2,1227.2,1227.1500244140625
Cows,520+,Processor,C,4,3,NQ,277.0,277.0,277,NQ,522.6,522.6,522.6,2022.1,2022.1,2022.0999348958333
Cows,520+,Processor,D,3,7,-1,256.0,269.0,263.42857142857144,-18.2,533.3,538.0,536.0,1497.6,1600.6,1556.4285714285713
Cows,520+,Processor,D,4,115,48,255.0,276.0,269.55652173913046,-23.1,510.0,540.0,526.7,1396.5,1748.5,1534.5194208559783
Cows,520+,Processor,D,5,6,NQ,254.0,254.0,254,NQ,518.4,518.4,518.4,1841.5,1841.5,1841.5
Calves,80+,Processor,D,2,7,NQ,288.0,288.0,288,NQ,553.8,553.8,553.8,345.6,345.6,345.59999302455356
Bulls,0-450,Feeder,C,2,3,-10,291.0,291.0,291,-36.0,559.6,559.6,559.6,1018.5,1018.5,1018.5
Bulls,0-450,Feeder,D,2,15,14,220.0,265.0,257.8,-29.2,423.1,509.6,495.8,484.0,815.3,773.3933268229167
Bulls,0-450,Live Export,C,2,2,NQ,263.0,263.0,263,NQ,505.8,505.8,505.8,999.4,999.4,999.4000244140625
Bulls,0-450,Live Export,D,2,9,NQ,247.0,247.0,247,NQ,475.0,475.0,475.0,876.8,876.8,876.8499891493055
Bulls,0-450,Processor,C,2,4,-14,265.0,295.0,285,-46.9,509.6,567.3,548.1,768.5,899.8,845.0625
